gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3
('io_io_PRON', 'non_non_ADV', 'voglio_volere_AUX')	508	io non voglio	io	non	voglio	io	non	volere	PRON	ADV	AUX
('questa_questo_PRON', 'è_essere_AUX', 'la_il_DET')	502	questa è la	questa	è	la	questo	essere	il	PRON	AUX	DET
('sono_essere_AUX', 'sicuro_sicuro_ADJ', 'che_che_SCONJ')	500	sono sicuro che	sono	sicuro	che	essere	sicuro	che	AUX	ADJ	SCONJ
('è_essere_AUX', 'la_il_DET', 'mia_mio_DET')	492	è la mia	è	la	mia	essere	il	mio	AUX	DET	DET
('ho_avere_AUX', 'detto_dire_VERB', 'che_che_SCONJ')	479	ho detto che	ho	detto	che	avere	dire	che	AUX	VERB	SCONJ
('io_io_PRON', 'non_non_ADV', 'posso_potere_AUX')	478	io non posso	io	non	posso	io	non	potere	PRON	ADV	AUX
('lo_lo_PRON', 'so_sapere_VERB', 'che_che_SCONJ')	473	lo so che	lo	so	che	lo	sapere	che	PRON	VERB	SCONJ
('sono_essere_AUX', 'sicura_sicuro_ADJ', 'che_che_SCONJ')	473	sono sicura che	sono	sicura	che	essere	sicuro	che	AUX	ADJ	SCONJ
('è_essere_AUX', 'quello_quello_PRON', 'che_che_PRON')	467	è quello che	è	quello	che	essere	quello	che	AUX	PRON	PRON
('a_a_ADP', 'che_che_DET', 'ora_ora_NOUN')	465	a che ora	a	che	ora	a	che	ora	ADP	DET	NOUN
('in_in_ADP', 'questo_questo_DET', 'momento_momento_NOUN')	461	in questo momento	in	questo	momento	in	questo	momento	ADP	DET	NOUN
('andare_andare_VERB', 'a_a_ADP', 'casa_casa_NOUN')	459	andare a casa	andare	a	casa	andare	a	casa	VERB	ADP	NOUN
"(""dov'_dove_ADV"", 'è_essere_AUX', 'il_il_DET')"	458	dov'è il	dov'	è	il	dove	essere	il	ADV	AUX	DET
('penso_pensare_VERB', 'che_che_SCONJ', 'sia_essere_AUX')	456	penso che sia	penso	che	sia	pensare	che	essere	VERB	SCONJ	AUX
"(""d'_di_ADP"", 'accordo_accordo_NOUN', 'con_con_ADP')"	448	d'accordo con	d'	accordo	con	di	accordo	con	ADP	NOUN	ADP
('questo_questo_PRON', 'è_essere_AUX', 'un_uno_DET')	448	questo è un	questo	è	un	questo	essere	uno	PRON	AUX	DET
('ha_avere_AUX', 'detto_dire_VERB', 'a_a_ADP')	446	ha	ha	detto	a	avere	dire	a	AUX	VERB	ADP
('non_non_ADV', 'ha_avere_AUX', 'mai_mai_ADV')	440	non ha mai	non	ha	mai	non	avere	mai	ADV	AUX	ADV
('questo_questo_PRON', 'è_essere_AUX', 'il_il_DET')	422	questo è il	questo	è	il	questo	essere	il	PRON	AUX	DET
('è_essere_AUX', 'il_il_DET', 'vostro_vostro_DET')	421	è il vostro	è	il	vostro	essere	il	vostro	AUX	DET	DET
('è_essere_AUX', 'andato_andare_VERB', 'a_a_ADP')	405	è a	è	andato	a	essere	andare	a	AUX	VERB	ADP
('detto_dire_VERB', 'che_che_SCONJ', 'erano_essere_AUX')	396	detto che erano	detto	che	erano	dire	che	essere	VERB	SCONJ	AUX
('il_il_DET', 'suo_suo_DET', 'nome_nome_NOUN')	392	il suo nome	il	suo	nome	il	suo	nome	DET	DET	NOUN
('mi_mi_PRON', 'hanno_avere_AUX', 'detto_dire_VERB')	392	mi hanno detto	mi	hanno	detto	mi	avere	dire	PRON	AUX	VERB
('dissero_dire_VERB', 'che_che_SCONJ', 'erano_essere_AUX')	389	dissero che erano	dissero	che	erano	dire	che	essere	VERB	SCONJ	AUX
('di_di_ADP', 'andare_andare_VERB', 'a_a_ADP')	378		di	andare	a	di	andare	a	ADP	VERB	ADP
('con_con_ADP', 'i_il_DET', 'suoi_suo_DET')	376	con i suoi	con	i	suoi	con	il	suo	ADP	DET	DET
('questa_questo_PRON', 'è_essere_AUX', 'una_uno_DET')	374	questa è una	questa	è	una	questo	essere	uno	PRON	AUX	DET
('parlare_parlare_VERB', 'con_con_ADP', 'lei_lei_PRON')	373	parlare con lei	parlare	con	lei	parlare	con	lei	VERB	ADP	PRON
('non_non_ADV', 'riesce_riuscire_VERB', 'a_a_ADP')	373	non riesce a	non	riesce	a	non	riuscire	a	ADV	VERB	ADP
('è_essere_AUX', 'la_il_DET', 'sua_suo_DET')	368	è la sua	è	la	sua	essere	il	suo	AUX	DET	DET
"(""c'_ci_PRON"", 'è_essere_VERB', 'una_uno_DET')"	367	c'è una	c'	è	una	ci	essere	uno	PRON	VERB	DET
"('non_non_ADV', ""l'_lo_PRON"", 'ha_avere_AUX')"	364	non l'ha	non	l'	ha	non	lo	avere	ADV	PRON	AUX
('detto_dire_VERB', 'che_che_SCONJ', 'è_essere_AUX')	363	detto che è	detto	che	è	dire	che	essere	VERB	SCONJ	AUX
"(""l'_lo_PRON"", 'ha_avere_AUX', 'fatto_fare_VERB')"	361	l'ha fatto	l'	ha	fatto	lo	avere	fare	PRON	AUX	VERB
('io_io_PRON', 'non_non_ADV', 'riesco_riuscire_VERB')	360	io non riesco	io	non	riesco	io	non	riuscire	PRON	ADV	VERB
('non_non_ADV', 'sono_essere_AUX', 'mai_mai_ADV')	360	non sono mai	non	sono	mai	non	essere	mai	ADV	AUX	ADV
('che_che_SCONJ', 'non_non_ADV', 'erano_essere_AUX')	357	che non erano	che	non	erano	che	non	essere	SCONJ	ADV	AUX
('il_il_DET', 'suo_suo_DET', 'lavoro_lavoro_NOUN')	356	il suo lavoro	il	suo	lavoro	il	suo	lavoro	DET	DET	NOUN
('io_io_PRON', 'non_non_ADV', 'so_sapere_VERB')	352	io non so	io	non	so	io	non	sapere	PRON	ADV	VERB
('che_che_SCONJ', 'non_non_ADV', 'è_essere_AUX')	349	che non è	che	non	è	che	non	essere	SCONJ	ADV	AUX
('il_il_DET', 'suo_suo_DET', 'cane_cane_NOUN')	348	il suo cane	il	suo	cane	il	suo	cane	DET	DET	NOUN
('a_a_ADP', 'lei_lei_PRON', 'piace_piacere_VERB')	347	a lei piace	a	lei	piace	a	lei	piacere	ADP	PRON	VERB
('è_essere_AUX', 'la_il_DET', 'tua_tuo_DET')	346	è la tua	è	la	tua	essere	il	tuo	AUX	DET	DET
('mi_mi_PRON', 'piace_piacere_VERB', 'il_il_DET')	343	mi piace il	mi	piace	il	mi	piacere	il	PRON	VERB	DET
('la_il_DET', 'scorsa_scorso_ADJ', 'notte_notte_NOUN')	340	la scorsa notte	la	scorsa	notte	il	scorso	notte	DET	ADJ	NOUN
('quello_quello_PRON', 'che_che_PRON', 'ha_avere_AUX')	338	quello che ha	quello	che	ha	quello	che	avere	PRON	PRON	AUX
('non_non_ADV', 'voglio_volere_VERB', 'che_che_SCONJ')	338	non voglio che	non	voglio	che	non	volere	che	ADV	VERB	SCONJ
('non_non_ADV', 'mi_mi_PRON', 'ha_avere_AUX')	337	non mi ha	non	mi	ha	non	mi	avere	ADV	PRON	AUX
('che_che_SCONJ', 'si_si_PRON', 'sentiva_sentire_VERB')	333	che si sentiva	che	si	sentiva	che	si	sentire	SCONJ	PRON	VERB
('lui_lui_PRON', 'è_essere_AUX', 'un_uno_DET')	330	lui è un	lui	è	un	lui	essere	uno	PRON	AUX	DET
('che_che_DET', 'tipo_tipo_NOUN', 'di_di_ADP')	330	che tipo di	che	tipo	di	che	tipo	di	DET	NOUN	ADP
('che_che_SCONJ', 'non_non_ADV', 'lo_lo_PRON')	328	che non lo	che	non	lo	che	non	lo	SCONJ	ADV	PRON
"(""dov'_dove_ADV"", 'è_essere_AUX', 'la_il_DET')"	327	dov'è la	dov'	è	la	dove	essere	il	ADV	AUX	DET
('non_non_ADV', 'è_essere_AUX', 'ancora_ancora_ADV')	321	non è ancora	non	è	ancora	non	essere	ancora	ADV	AUX	ADV
('detto_dire_VERB', 'che_che_SCONJ', 'si_si_PRON')	320	detto che si	detto	che	si	dire	che	si	VERB	SCONJ	PRON
('me_me_PRON', 'non_non_ADV', 'piace_piacere_VERB')	319	me non piace	me	non	piace	me	non	piacere	PRON	ADV	VERB
('detto_dire_VERB', 'di_di_ADP', 'essere_essere_AUX')	318	detto di essere	detto	di	essere	dire	di	essere	VERB	ADP	AUX
('non_non_ADV', 'è_essere_AUX', 'una_uno_DET')	311	non è una	non	è	una	non	essere	uno	ADV	AUX	DET
('non_non_ADV', 'è_essere_AUX', 'mai_mai_ADV')	303	non è mai	non	è	mai	non	essere	mai	ADV	AUX	ADV
"(""l'_il_DET"", 'anno_anno_NOUN', 'scorso_scorso_ADJ')"	302	l'anno scorso	l'	anno	scorso	il	anno	scorso	DET	NOUN	ADJ
('parlare_parlare_VERB', 'con_con_ADP', 'lui_lui_PRON')	300	parlare con lui	parlare	con	lui	parlare	con	lui	VERB	ADP	PRON
('non_non_ADV', 'è_essere_AUX', 'molto_molto_ADV')	299	non è molto	non	è	molto	non	essere	molto	ADV	AUX	ADV
('bisogno_bisogno_NOUN', 'di_di_ADP', 'una_uno_DET')	298	bisogno di una	bisogno	di	una	bisogno	di	uno	NOUN	ADP	DET
('io_io_PRON', 'sono_essere_AUX', 'un_uno_DET')	296	io sono un	io	sono	un	io	essere	uno	PRON	AUX	DET
('con_con_ADP', 'il_il_DET', 'suo_suo_DET')	295	con il suo	con	il	suo	con	il	suo	ADP	DET	DET
('ha_avere_AUX', 'iniziato_iniziare_VERB', 'a_a_ADP')	291	ha	ha	iniziato	a	avere	iniziare	a	AUX	VERB	ADP
('non_non_ADV', 'è_essere_AUX', 'il_il_DET')	286	non è il	non	è	il	non	essere	il	ADV	AUX	DET
('tutto_tutto_DET', 'il_il_DET', 'giorno_giorno_NOUN')	282	tutto il giorno	tutto	il	giorno	tutto	il	giorno	DET	DET	NOUN
('di_di_ADP', 'non_non_ADV', 'essere_essere_AUX')	281	di non essere	di	non	essere	di	non	essere	ADP	ADV	AUX
('mi_mi_PRON', 'ha_avere_AUX', 'dato_dare_VERB')	280	mi ha dato	mi	ha	dato	mi	avere	dare	PRON	AUX	VERB
"('è_essere_AUX', 'un_uno_DET', ""po'_poco_ADV"")"	278	è un po'	è	un	po'	essere	uno	poco	AUX	DET	ADV
('io_io_PRON', 'mi_mi_PRON', 'sono_essere_AUX')	278	io mi sono	io	mi	sono	io	mi	essere	PRON	PRON	AUX
('io_io_PRON', 'spero_sperare_VERB', 'che_che_SCONJ')	277	io spero che	io	spero	che	io	sperare	che	PRON	VERB	SCONJ
('abbiamo_avere_VERB', 'bisogno_bisogno_NOUN', 'di_di_ADP')	276	abbiamo bisogno di	abbiamo	bisogno	di	avere	bisogno	di	VERB	NOUN	ADP
('ha_avere_AUX', 'provato_provare_VERB', 'a_a_ADP')	274	ha	ha	provato	a	avere	provare	a	AUX	VERB	ADP
('per_per_ADP', 'il_il_DET', 'suo_suo_DET')	272	per il suo	per	il	suo	per	il	suo	ADP	DET	DET
('mi_mi_PRON', 'dissero_dire_VERB', 'che_che_SCONJ')	271	mi dissero che	mi	dissero	che	mi	dire	che	PRON	VERB	SCONJ
('lei_lei_PRON', 'non_non_ADV', 'è_essere_AUX')	269	lei non è	lei	non	è	lei	non	essere	PRON	ADV	AUX
('a_a_ADP', 'parlare_parlare_VERB', 'con_con_ADP')	267	a parlare con	a	parlare	con	a	parlare	con	ADP	VERB	ADP
('è_essere_AUX', 'un_uno_DET', 'uomo_uomo_NOUN')	266	è un uomo	è	un	uomo	essere	uno	uomo	AUX	DET	NOUN
('io_io_PRON', 'non_non_ADV', 'penso_pensare_VERB')	265	io non penso	io	non	penso	io	non	pensare	PRON	ADV	VERB
('è_essere_AUX', 'una_uno_DET', 'persona_persona_NOUN')	265	è una persona	è	una	persona	essere	uno	persona	AUX	DET	NOUN
('la_il_DET', 'sua_suo_DET', 'famiglia_famiglia_NOUN')	264	la sua famiglia	la	sua	famiglia	il	suo	famiglia	DET	DET	NOUN
('io_io_PRON', 'ho_avere_VERB', 'un_uno_DET')	263	io ho un	io	ho	un	io	avere	uno	PRON	VERB	DET
('chi_chi_PRON', 'è_essere_AUX', 'il_il_DET')	262	chi è il	chi	è	il	chi	essere	il	PRON	AUX	DET
('è_essere_AUX', 'la_il_DET', 'vostra_vostro_DET')	261	è la vostra	è	la	vostra	essere	il	vostro	AUX	DET	DET
('la_il_DET', 'sua_suo_DET', 'casa_casa_NOUN')	259	la sua casa	la	sua	casa	il	suo	casa	DET	DET	NOUN
('ho_avere_AUX', 'detto_dire_VERB', 'a_a_ADP')	259	ho detto a	ho	detto	a	avere	dire	a	AUX	VERB	ADP
('non_non_ADV', 'si_si_PRON', 'è_essere_AUX')	259	non si è	non	si	è	non	si	essere	ADV	PRON	AUX
('io_io_PRON', 'non_non_ADV', 'mi_mi_PRON')	259	io non mi	io	non	mi	io	non	mi	PRON	ADV	PRON
('detto_dire_VERB', 'di_di_ADP', 'non_non_ADV')	257	detto di non	detto	di	non	dire	di	non	VERB	ADP	ADV
('ho_avere_AUX', 'detto_dire_VERB', 'di_di_ADP')	257	ho detto di	ho	detto	di	avere	dire	di	AUX	VERB	ADP
('per_per_ADP', 'la_il_DET', 'sua_suo_DET')	255	per la sua	per	la	sua	per	il	suo	ADP	DET	DET
('mi_mi_PRON', 'ha_avere_AUX', 'chiesto_chiedere_VERB')	253	mi ha chiesto	mi	ha	chiesto	mi	avere	chiedere	PRON	AUX	VERB
('non_non_ADV', 'riusciva_riuscire_VERB', 'a_a_ADP')	253	non riusciva	non	riusciva	a	non	riuscire	a	ADV	VERB	ADP
('i_il_DET', 'suoi_suo_DET', 'genitori_genitore_NOUN')	250	i suoi genitori	i	suoi	genitori	il	suo	genitore	DET	DET	NOUN
('da_da_ADP', 'qualche_qualche_DET', 'parte_parte_NOUN')	250	da qualche parte	da	qualche	parte	da	qualche	parte	ADP	DET	NOUN
('il_il_DET', 'mio_mio_DET', 'nome_nome_NOUN')	249	il mio nome	il	mio	nome	il	mio	nome	DET	DET	NOUN
('che_che_SCONJ', 'non_non_ADV', 'aveva_avere_VERB')	248	che non aveva	che	non	aveva	che	non	avere	SCONJ	ADV	VERB
('nella_in_ADP', 'sua_suo_DET', 'stanza_stanza_NOUN')	247	nella sua stanza	nella	sua	stanza	in	suo	stanza	ADP	DET	NOUN
('aveva_avere_VERB', 'bisogno_bisogno_NOUN', 'di_di_ADP')	245	aveva bisogno di	aveva	bisogno	di	avere	bisogno	di	VERB	NOUN	ADP
('io_io_PRON', 'sono_essere_AUX', 'molto_molto_ADV')	245	io sono molto	io	sono	molto	io	essere	molto	PRON	AUX	ADV
('giocare_giocare_VERB', 'a_a_ADP', 'tennis_tennis_NOUN')	245	giocare a tennis	giocare	a	tennis	giocare	a	tennis	VERB	ADP	NOUN
"(""cos'_cos'_PRON"", 'è_essere_AUX', 'successo_succedere_VERB')"	245	cos'è successo	cos'	è	successo	cos'	essere	succedere	PRON	AUX	VERB
('parlare_parlare_VERB', 'con_con_ADP', 'loro_loro_PRON')	245	parlare con loro	parlare	con	loro	parlare	con	loro	VERB	ADP	PRON
('questo_questo_PRON', 'non_non_ADV', 'è_essere_AUX')	243	questo non è	questo	non	è	questo	non	essere	PRON	ADV	AUX
('ha_avere_AUX', 'cercato_cercare_VERB', 'di_di_ADP')	243	ha cercato di	ha	cercato	di	avere	cercare	di	AUX	VERB	ADP
('ha_avere_AUX', 'cominciato_cominciare_VERB', 'a_a_ADP')	242	ha	ha	cominciato	a	avere	cominciare	a	AUX	VERB	ADP
"('cosa_cosa_PRON', ""c'_ci_PRON"", 'è_essere_VERB')"	241	cosa c'è	cosa	c'	è	cosa	ci	essere	PRON	PRON	VERB
('ha_avere_AUX', 'comprato_comprare_VERB', 'un_uno_DET')	241	ha comprato un	ha	comprato	un	avere	comprare	uno	AUX	VERB	DET
('che_che_SCONJ', 'era_essere_AUX', 'molto_molto_ADV')	241	che era molto	che	era	molto	che	essere	molto	SCONJ	AUX	ADV
('non_non_ADV', 'sono_essere_AUX', 'un_uno_DET')	241	non sono un	non	sono	un	non	essere	uno	ADV	AUX	DET
('i_il_DET', 'suoi_suo_DET', 'compiti_compito_NOUN')	240	i suoi compiti	i	suoi	compiti	il	suo	compito	DET	DET	NOUN
('che_che_SCONJ', 'io_io_PRON', 'sia_essere_AUX')	237	che io sia	che	io	sia	che	io	essere	SCONJ	PRON	AUX
('lo_lo_PRON', 'sapevo_sapere_VERB', 'che_che_SCONJ')	236	lo sapevo che	lo	sapevo	che	lo	sapere	che	PRON	VERB	SCONJ
('perché_perché_ADV', 'è_essere_AUX', 'così_così_ADV')	235	perché è così	perché	è	così	perché	essere	così	ADV	AUX	ADV
('le_le_PRON', 'ho_avere_AUX', 'detto_dire_VERB')	234	le ho detto	le	ho	detto	le	avere	dire	PRON	AUX	VERB
('dissero_dire_VERB', 'che_che_SCONJ', 'non_non_ADV')	234	dissero che non	dissero	che	non	dire	che	non	VERB	SCONJ	ADV
('tutto_tutto_DET', 'ciò_ciò_PRON', 'che_che_PRON')	233	tutto ciò che	tutto	ciò	che	tutto	ciò	che	DET	PRON	PRON
('ha_avere_AUX', 'deciso_decidere_VERB', 'di_di_ADP')	232	ha deciso di	ha	deciso	di	avere	decidere	di	AUX	VERB	ADP
"(""c'_ci_PRON"", 'è_essere_VERB', 'qualcosa_qualcosa_PRON')"	232	c'è qualcosa	c'	è	qualcosa	ci	essere	qualcosa	PRON	VERB	PRON
('ha_avere_AUX', 'chiesto_chiedere_VERB', 'di_di_ADP')	232	ha chiesto di	ha	chiesto	di	avere	chiedere	di	AUX	VERB	ADP
('io_io_PRON', 'pensavo_pensare_VERB', 'che_che_SCONJ')	230	io pensavo che	io	pensavo	che	io	pensare	che	PRON	VERB	SCONJ
"('io_io_PRON', ""l'_lo_PRON"", 'ho_avere_AUX')"	230	io l'ho	io	l'	ho	io	lo	avere	PRON	PRON	AUX
('lei_lei_PRON', 'è_essere_AUX', 'una_uno_DET')	229	lei è una	lei	è	una	lei	essere	uno	PRON	AUX	DET
('io_io_PRON', 'non_non_ADV', 'lo_lo_PRON')	228	io non lo	io	non	lo	io	non	lo	PRON	ADV	PRON
('la_il_DET', 'sua_suo_DET', 'macchina_macchina_NOUN')	227	la sua macchina	la	sua	macchina	il	suo	macchina	DET	DET	NOUN
('la_la_PRON', 'smetta_smettere_VERB', 'di_di_ADP')	226	la smetta di	la	smetta	di	la	smettere	di	PRON	VERB	ADP
('è_essere_AUX', 'mai_mai_ADV', 'stato_essere_AUX')	224	è mai stato	è	mai	stato	essere	mai	essere	AUX	ADV	AUX
('perché_perché_PRON', 'siete_essere_AUX', 'così_così_ADV')	223	perché siete così	perché	siete	così	perché	essere	così	PRON	AUX	ADV
('non_non_ADV', 'sapevo_sapere_VERB', 'che_che_SCONJ')	222	non sapevo che	non	sapevo	che	non	sapere	che	ADV	VERB	SCONJ
('la_il_DET', 'sua_suo_DET', 'stanza_stanza_NOUN')	220	la sua stanza	la	sua	stanza	il	suo	stanza	DET	DET	NOUN
('mai_mai_ADV', 'visto_vedere_VERB', 'un_uno_DET')	219	mai visto un	mai	visto	un	mai	vedere	uno	ADV	VERB	DET
('il_il_DET', 'suo_suo_DET', 'computer_computer_NOUN')	216	il suo computer	il	suo	computer	il	suo	computer	DET	DET	NOUN
('dice_dire_VERB', 'che_che_SCONJ', 'è_essere_AUX')	215	dice che è	dice	che	è	dire	che	essere	VERB	SCONJ	AUX
('ha_avere_VERB', 'paura_paura_NOUN', 'di_di_ADP')	215	ha paura di	ha	paura	di	avere	paura	di	VERB	NOUN	ADP
('il_il_DET', 'mio_mio_DET', 'cane_cane_NOUN')	214	il mio cane	il	mio	cane	il	mio	cane	DET	DET	NOUN
('la_il_DET', 'mia_mio_DET', 'casa_casa_NOUN')	213	la mia casa	la	mia	casa	il	mio	casa	DET	DET	NOUN
('di_di_ADP', 'parlare_parlare_VERB', 'con_con_ADP')	212	di parlare con	di	parlare	con	di	parlare	con	ADP	VERB	ADP
('io_io_PRON', 'mi_mi_PRON', 'sento_sentire_VERB')	212	io mi sento	io	mi	sento	io	mi	sentire	PRON	PRON	VERB
('mi_mi_PRON', 'piace_piacere_VERB', 'la_il_DET')	211	mi piace la	mi	piace	la	mi	piacere	il	PRON	VERB	DET
('lui_lui_PRON', 'non_non_ADV', 'è_essere_AUX')	210	lui non è	lui	non	è	lui	non	essere	PRON	ADV	AUX
('una_uno_DET', 'tazza_tazza_NOUN', 'di_di_ADP')	210	una tazza di	una	tazza	di	uno	tazza	di	DET	NOUN	ADP
('studiare_studiare_VERB', 'il_il_DET', 'francese_francese_NOUN')	209	studiare il francese	studiare	il	francese	studiare	il	francese	VERB	DET	NOUN
('il_il_DET', 'mio_mio_DET', 'computer_computer_NOUN')	208	il mio computer	il	mio	computer	il	mio	computer	DET	DET	NOUN
('non_non_ADV', 'ho_avere_AUX', 'ancora_ancora_ADV')	208	non ho ancora	non	ho	ancora	non	avere	ancora	ADV	AUX	ADV
('la_il_DET', 'sua_suo_DET', 'auto_auto_NOUN')	207	la sua auto	la	sua	auto	il	suo	auto	DET	DET	NOUN
('a_a_ADP', 'te_te_PRON', 'piace_piacere_VERB')	206	a te piace	a	te	piace	a	te	piacere	ADP	PRON	VERB
('io_io_PRON', 'ho_avere_VERB', 'bisogno_bisogno_NOUN')	206	io ho bisogno	io	ho	bisogno	io	avere	bisogno	PRON	VERB	NOUN
('disse_dire_VERB', 'che_che_SCONJ', 'si_si_PRON')	206	disse che si	disse	che	si	dire	che	si	VERB	SCONJ	PRON
('con_con_ADP', 'la_il_DET', 'sua_suo_DET')	206	con la sua	con	la	sua	con	il	suo	ADP	DET	DET
('mi_mi_PRON', 'chiedo_chiedere_VERB', 'se_se_SCONJ')	206	mi chiedo se	mi	chiedo	se	mi	chiedere	se	PRON	VERB	SCONJ
('un_uno_DET', 'sacco_sacco_NOUN', 'di_di_ADP')	205	un sacco di	un	sacco	di	uno	sacco	di	DET	NOUN	ADP
('i_il_DET', 'miei_mio_DET', 'genitori_genitore_NOUN')	204	i miei genitori	i	miei	genitori	il	mio	genitore	DET	DET	NOUN
('qualcosa_qualcosa_PRON', 'da_da_ADP', 'mangiare_mangiare_VERB')	204	qualcosa da mangiare	qualcosa	da	mangiare	qualcosa	da	mangiare	PRON	ADP	VERB
('non_non_ADV', 'è_essere_AUX', 'la_il_DET')	202	non è la	non	è	la	non	essere	il	ADV	AUX	DET
('a_a_ADP', 'me_me_PRON', 'piacciono_piacere_VERB')	202	a me piacciono	a	me	piacciono	a	me	piacere	ADP	PRON	VERB
('non_non_ADV', 'ci_ci_PRON', 'sono_essere_VERB')	202	non ci sono	non	ci	sono	non	ci	essere	ADV	PRON	VERB
