gram2_key	count	substr	term_1	term_2	lemma_1	lemma_2	pos_1	pos_2
('perché_perché_ADV', 'non_non_ADV')	266	perché non	perché	non	perché	non	ADV	ADV
('so_sapere_VERB', 'che_che_SCONJ')	264	so che	so	che	sapere	che	VERB	SCONJ
('non_non_ADV', 'ha_avere_VERB')	264	non ha	non	ha	non	avere	ADV	VERB
('il_il_DET', 'francese_francese_NOUN')	263	il francese	il	francese	il	francese	DET	NOUN
('riesco_riuscire_VERB', 'a_a_ADP')	262	riesco a	riesco	a	riuscire	a	VERB	ADP
('a_a_ADP', 'lei_lei_PRON')	261	a lei	a	lei	a	lei	ADP	PRON
('per_per_ADP', 'il_il_DET')	259	per il	per	il	per	il	ADP	DET
('per_per_ADP', 'la_il_DET')	259	per la	per	la	per	il	ADP	DET
('non_non_ADV', 'la_la_PRON')	257	non la	non	la	non	la	ADV	PRON
('è_essere_AUX', 'in_in_ADP')	256	è in	è	in	essere	in	AUX	ADP
('con_con_ADP', 'me_me_PRON')	253	con me	con	me	con	me	ADP	PRON
('di_di_ADP', 'me_me_PRON')	249	di me	di	me	di	me	ADP	PRON
('hanno_avere_AUX', 'detto_dire_VERB')	249	hanno detto	hanno	detto	avere	dire	AUX	VERB
('da_da_ADP', 'sola_solo_ADJ')	249	da sola	da	sola	da	solo	ADP	ADJ
('lei_lei_PRON', 'non_non_ADV')	242	lei non	lei	non	lei	non	PRON	ADV
('è_essere_AUX', 'ancora_ancora_ADV')	238	è ancora	è	ancora	essere	ancora	AUX	ADV
('la_il_DET', 'vostra_vostro_DET')	238	la vostra	la	vostra	il	vostro	DET	DET
('le_il_DET', 'sue_suo_DET')	235	le sue	le	sue	il	suo	DET	DET
('è_essere_AUX', 'andato_andare_VERB')	233	è andato	è	andato	essere	andare	AUX	VERB
('io_io_PRON', 'penso_pensare_VERB')	232	io penso	io	penso	io	pensare	PRON	VERB
('per_per_ADP', 'lei_lei_PRON')	231	per lei	per	lei	per	lei	ADP	PRON
('lei_lei_PRON', 'ha_avere_AUX')	229	lei ha	lei	ha	lei	avere	PRON	AUX
('i_il_DET', 'miei_mio_DET')	227	i miei	i	miei	il	mio	DET	DET
('voi_voi_PRON', 'siete_essere_AUX')	226	voi siete	voi	siete	voi	essere	PRON	AUX
"(""dov'_dove_ADV"", 'è_essere_AUX')"	224	dov'è	dov'	è	dove	essere	ADV	AUX
('per_per_ADP', 'me_me_PRON')	222	per me	per	me	per	me	ADP	PRON
('non_non_ADV', 'riesco_riuscire_VERB')	222	non riesco	non	riesco	non	riuscire	ADV	VERB
('a_a_ADP', 'loro_loro_PRON')	221	a loro	a	loro	a	loro	ADP	PRON
('detto_dire_VERB', 'di_di_ADP')	220	detto di	detto	di	dire	di	VERB	ADP
('non_non_ADV', 'ci_ci_PRON')	219	non ci	non	ci	non	ci	ADV	PRON
('non_non_ADV', 'voglio_volere_AUX')	218	non voglio	non	voglio	non	volere	ADV	AUX
"('non_non_ADV', ""l'_lo_PRON"")"	215	non l'	non	l'	non	lo	ADV	PRON
('di_di_ADP', 'lui_lui_PRON')	215	di lui	di	lui	di	lui	ADP	PRON
('con_con_ADP', 'loro_loro_PRON')	215	con loro	con	loro	con	loro	ADP	PRON
('ci_ci_PRON', 'sono_essere_VERB')	215	ci sono	ci	sono	ci	essere	PRON	VERB
('non_non_ADV', 'so_sapere_VERB')	213	non so	non	so	non	sapere	ADV	VERB
('non_non_ADV', 'le_le_PRON')	211	non le	non	le	non	le	ADV	PRON
('è_essere_AUX', 'stata_essere_AUX')	211	è stata	è	stata	essere	essere	AUX	AUX
('ho_avere_VERB', 'bisogno_bisogno_NOUN')	209	ho bisogno	ho	bisogno	avere	bisogno	VERB	NOUN
('sono_essere_AUX', 'molto_molto_ADV')	207	sono molto	sono	molto	essere	molto	AUX	ADV
('di_di_ADP', 'un_uno_DET')	206	di un	di	un	di	uno	ADP	DET
('ha_avere_AUX', 'mai_mai_ADV')	205	ha mai	ha	mai	avere	mai	AUX	ADV
('voglio_volere_VERB', 'che_che_SCONJ')	205	voglio che	voglio	che	volere	che	VERB	SCONJ
('non_non_ADV', 'ti_ti_PRON')	203	non ti	non	ti	non	ti	ADV	PRON
('ha_avere_VERB', 'una_uno_DET')	201	ha una	ha	una	avere	uno	VERB	DET
('sono_essere_AUX', 'un_uno_DET')	201	sono un	sono	un	essere	uno	AUX	DET
('da_da_ADP', 'solo_solo_ADJ')	200	da solo	da	solo	da	solo	ADP	ADJ
('ho_avere_AUX', 'mai_mai_ADV')	200	ho mai	ho	mai	avere	mai	AUX	ADV
('è_essere_AUX', 'più_più_ADV')	200	è più	è	più	essere	più	AUX	ADV
('che_che_SCONJ', 'lo_lo_PRON')	200	che lo	che	lo	che	lo	SCONJ	PRON
('ciò_ciò_PRON', 'che_che_PRON')	198	ciò che	ciò	che	ciò	che	PRON	PRON
('pensa_pensare_VERB', 'che_che_SCONJ')	197	pensa che	pensa	che	pensare	che	VERB	SCONJ
('in_in_ADP', 'ritardo_ritardo_NOUN')	193	in ritardo	in	ritardo	in	ritardo	ADP	NOUN
('riesce_riuscire_VERB', 'a_a_ADP')	192	riesce a	riesce	a	riuscire	a	VERB	ADP
('con_con_ADP', 'il_il_DET')	192	con il	con	il	con	il	ADP	DET
('mi_mi_PRON', 'disse_dire_VERB')	191	mi disse	mi	disse	mi	dire	PRON	VERB
('questa_questo_PRON', 'è_essere_AUX')	191	questa è	questa	è	questo	essere	PRON	AUX
('lui_lui_PRON', 'non_non_ADV')	190	lui non	lui	non	lui	non	PRON	ADV
('che_che_SCONJ', 'sia_essere_AUX')	188	che sia	che	sia	che	essere	SCONJ	AUX
('detto_dire_VERB', 'a_a_ADP')	187		detto	a	dire	a	VERB	ADP
"('è_essere_AUX', ""l'_il_DET"")"	187	è l'	è	l'	essere	il	AUX	DET
('in_in_ADP', 'un_uno_DET')	186	in un	in	un	in	uno	ADP	DET
('io_io_PRON', 'voglio_volere_AUX')	185	io voglio	io	voglio	io	volere	PRON	AUX
('piace_piacere_VERB', 'la_il_DET')	184	piace la	piace	la	piacere	il	VERB	DET
('io_io_PRON', 'mi_mi_PRON')	183	io mi	io	mi	io	mi	PRON	PRON
('noi_noi_PRON', 'siamo_essere_AUX')	183	noi siamo	noi	siamo	noi	essere	PRON	AUX
('ha_avere_AUX', 'visto_vedere_VERB')	183	ha visto	ha	visto	avere	vedere	AUX	VERB
('a_a_ADP', 'fare_fare_VERB')	181	a fare	a	fare	a	fare	ADP	VERB
('ogni_ogni_DET', 'giorno_giorno_NOUN')	179	ogni giorno	ogni	giorno	ogni	giorno	DET	NOUN
('la_il_DET', 'verità_verità_NOUN')	177	la verità	la	verità	il	verità	DET	NOUN
('non_non_ADV', 'vi_vi_PRON')	176	non vi	non	vi	non	vi	ADV	PRON
('il_il_DET', 'libro_libro_NOUN')	175	il libro	il	libro	il	libro	DET	NOUN
('che_che_SCONJ', 'è_essere_AUX')	175	che è	che	è	che	essere	SCONJ	AUX
('a_a_ADP', 'lui_lui_PRON')	174	a lui	a	lui	a	lui	ADP	PRON
('noi_noi_PRON', 'non_non_ADV')	173	noi non	noi	non	noi	non	PRON	ADV
"('non_non_ADV', ""c'_ci_PRON"")"	173	non c'	non	c'	non	ci	ADV	PRON
('non_non_ADV', 'può_potere_AUX')	172	non può	non	può	non	potere	ADV	AUX
('spero_sperare_VERB', 'che_che_SCONJ')	172	spero che	spero	che	sperare	che	VERB	SCONJ
('in_in_ADP', 'francese_francese_NOUN')	171	in francese	in	francese	in	francese	ADP	NOUN
('ha_avere_AUX', 'comprato_comprare_VERB')	170	ha comprato	ha	comprato	avere	comprare	AUX	VERB
('di_di_ADP', 'andare_andare_VERB')	170	di andare	di	andare	di	andare	ADP	VERB
('un_uno_DET', 'libro_libro_NOUN')	168	un libro	un	libro	uno	libro	DET	NOUN
('ho_avere_AUX', 'fatto_fare_VERB')	165	ho fatto	ho	fatto	avere	fare	AUX	VERB
('pensavo_pensare_VERB', 'che_che_SCONJ')	164	pensavo che	pensavo	che	pensare	che	VERB	SCONJ
('ha_avere_AUX', 'dato_dare_VERB')	162	ha dato	ha	dato	avere	dare	AUX	VERB
('io_io_PRON', 'sto_essere_AUX')	162	io sto	io	sto	io	essere	PRON	AUX
('ho_avere_AUX', 'visto_vedere_VERB')	160	ho visto	ho	visto	avere	vedere	AUX	VERB
('lui_lui_PRON', 'ha_avere_AUX')	159	lui ha	lui	ha	lui	avere	PRON	AUX
('me_me_PRON', 'piace_piacere_VERB')	159	me piace	me	piace	me	piacere	PRON	VERB
('in_in_ADP', 'questo_questo_DET')	158	in questo	in	questo	in	questo	ADP	DET
('con_con_ADP', 'noi_noi_PRON')	158	con noi	con	noi	con	noi	ADP	PRON
('mi_mi_PRON', 'sento_sentire_VERB')	157	mi sento	mi	sento	mi	sentire	PRON	VERB
('le_le_PRON', 'ho_avere_AUX')	157	le ho	le	ho	le	avere	PRON	AUX
('è_essere_AUX', 'successo_succedere_VERB')	157	è successo	è	successo	essere	succedere	AUX	VERB
('è_essere_AUX', 'così_così_ADV')	157	è così	è	così	essere	così	AUX	ADV
('grado_grado_NOUN', 'di_di_ADP')	156	grado di	grado	di	grado	di	NOUN	ADP
('chi_chi_PRON', 'è_essere_AUX')	155	chi è	chi	è	chi	essere	PRON	AUX
('in_in_ADP', 'grado_grado_NOUN')	155	in grado	in	grado	in	grado	ADP	NOUN
('tutti_tutto_DET', 'i_il_DET')	155		tutti	i	tutto	il	DET	DET
('ha_avere_VERB', 'bisogno_bisogno_NOUN')	154	ha bisogno	ha	bisogno	avere	bisogno	VERB	NOUN
('che_che_SCONJ', 'erano_essere_AUX')	154	che erano	che	erano	che	essere	SCONJ	AUX
('io_io_PRON', 'ero_essere_AUX')	153	io ero	io	ero	io	essere	PRON	AUX
('ho_avere_VERB', 'un_uno_DET')	152	ho un	ho	un	avere	uno	VERB	DET
('per_per_ADP', 'lui_lui_PRON')	152	per lui	per	lui	per	lui	ADP	PRON
('con_con_ADP', 'la_il_DET')	148	con la	con	la	con	il	ADP	DET
('il_il_DET', 'nostro_nostro_DET')	148	il nostro	il	nostro	il	nostro	DET	DET
('ci_ci_PRON', 'ha_avere_AUX')	147	ci ha	ci	ha	ci	avere	PRON	AUX
('che_che_SCONJ', 'si_si_PRON')	147	che si	che	si	che	si	SCONJ	PRON
('dissero_dire_VERB', 'che_che_SCONJ')	146	dissero che	dissero	che	dire	che	VERB	SCONJ
('questo_questo_DET', 'libro_libro_NOUN')	146	questo libro	questo	libro	questo	libro	DET	NOUN
('giocare_giocare_VERB', 'a_a_ADP')	145		giocare	a	giocare	a	VERB	ADP
('con_con_ADP', 'i_il_DET')	144		con	i	con	il	ADP	DET
('a_a_ADP', 'letto_letto_NOUN')	143	a letto	a	letto	a	letto	ADP	NOUN
('andato_andare_VERB', 'a_a_ADP')	142	a	andato	a	andare	a	VERB	ADP
('è_essere_AUX', 'troppo_troppo_ADV')	142	è troppo	è	troppo	essere	troppo	AUX	ADV
('a_a_ADP', 'farlo_fare_VERB')	142	a farlo	a	farlo	a	fare	ADP	VERB
('che_che_SCONJ', 'lei_lei_PRON')	142	che lei	che	lei	che	lei	SCONJ	PRON
('tu_tu_PRON', 'non_non_ADV')	142	tu non	tu	non	tu	non	PRON	ADV
('con_con_ADP', 'te_te_PRON')	142	con te	con	te	con	te	ADP	PRON
('era_essere_AUX', 'molto_molto_ADV')	142	era molto	era	molto	essere	molto	AUX	ADV
('ha_avere_AUX', 'chiesto_chiedere_VERB')	140	ha chiesto	ha	chiesto	avere	chiedere	AUX	VERB
('una_uno_DET', 'volta_volta_NOUN')	139	una volta	una	volta	uno	volta	DET	NOUN
('le_il_DET', 'mie_mio_DET')	139	le mie	le	mie	il	mio	DET	DET
('tutto_tutto_DET', 'il_il_DET')	138	tutto il	tutto	il	tutto	il	DET	DET
('pensi_pensare_VERB', 'che_che_SCONJ')	137	pensi che	pensi	che	pensare	che	VERB	SCONJ
('a_a_ADP', 'tennis_tennis_NOUN')	137	are a tennis	a	tennis	a	tennis	ADP	NOUN
('paura_paura_NOUN', 'di_di_ADP')	137	paura di	paura	di	paura	di	NOUN	ADP
('era_essere_AUX', 'un_uno_DET')	136	era un	era	un	essere	uno	AUX	DET
('sono_essere_AUX', 'ancora_ancora_ADV')	136	sono ancora	sono	ancora	essere	ancora	AUX	ADV
('mai_mai_ADV', 'visto_vedere_VERB')	136	mai visto	mai	visto	mai	vedere	ADV	VERB
('mio_mio_DET', 'padre_padre_NOUN')	135	mio padre	mio	padre	mio	padre	DET	NOUN
('loro_loro_PRON', 'sono_essere_AUX')	134	loro sono	loro	sono	loro	essere	PRON	AUX
('sembra_sembrare_VERB', 'che_che_SCONJ')	134	sembra che	sembra	che	sembrare	che	VERB	SCONJ
('si_si_PRON', 'sono_essere_AUX')	133	si sono	si	sono	si	essere	PRON	AUX
('di_di_ADP', 'farlo_fare_VERB')	133	di farlo	di	farlo	di	fare	ADP	VERB
('le_le_PRON', 'piace_piacere_VERB')	133	le piace	le	piace	le	piacere	PRON	VERB
('di_di_ADP', 'più_più_ADV')	132	di più	di	più	di	più	ADP	ADV
('non_non_ADV', 'penso_pensare_VERB')	131	non penso	non	penso	non	pensare	ADV	VERB
('del_di_ADP', 'suo_suo_DET')	131	del suo	del	suo	di	suo	ADP	DET
('lo_lo_PRON', 'so_sapere_VERB')	131	lo so	lo	so	lo	sapere	PRON	VERB
('intenzione_intenzione_NOUN', 'di_di_ADP')	130	intenzione di	intenzione	di	intenzione	di	NOUN	ADP
('le_le_PRON', 'ha_avere_AUX')	129	le ha	le	ha	le	avere	PRON	AUX
('non_non_ADV', 'essere_essere_AUX')	127	non essere	non	essere	non	essere	ADV	AUX
('ha_avere_AUX', 'preso_prendere_VERB')	127	ha preso	ha	preso	avere	prendere	AUX	VERB
('lei_lei_PRON', 'ha_avere_VERB')	127	lei ha	lei	ha	lei	avere	PRON	VERB
('il_il_DET', 'cane_cane_NOUN')	126	il cane	il	cane	il	cane	DET	NOUN
('non_non_ADV', 'aveva_avere_VERB')	126	non aveva	non	aveva	non	avere	ADV	VERB
"(""l'_il_DET"", 'inglese_inglese_NOUN')"	126	l'inglese	l'	inglese	il	inglese	DET	NOUN
('di_di_ADP', 'loro_loro_PRON')	126	di loro	di	loro	di	loro	ADP	PRON
('qualcosa_qualcosa_PRON', 'di_di_ADP')	125	qualcosa di	qualcosa	di	qualcosa	di	PRON	ADP
('è_essere_AUX', 'mai_mai_ADV')	124	è mai	è	mai	essere	mai	AUX	ADV
('andare_andare_VERB', 'in_in_ADP')	124	andare in	andare	in	andare	in	VERB	ADP
('su_su_ADP', 'di_di_ADP')	124	su di	su	di	su	di	ADP	ADP
('non_non_ADV', 'piace_piacere_VERB')	123	non piace	non	piace	non	piacere	ADV	VERB
('ha_avere_AUX', 'perso_perdere_VERB')	123	ha perso	ha	perso	avere	perdere	AUX	VERB
('sicuro_sicuro_ADJ', 'che_che_SCONJ')	123	sicuro che	sicuro	che	sicuro	che	ADJ	SCONJ
('in_in_ADP', 'una_uno_DET')	122	in una	in	una	in	uno	ADP	DET
('la_il_DET', 'scuola_scuola_NOUN')	122	la scuola	la	scuola	il	scuola	DET	NOUN
('mi_mi_PRON', 'hanno_avere_AUX')	122	mi hanno	mi	hanno	mi	avere	PRON	AUX
('è_essere_AUX', 'davvero_davvero_ADV')	121	è davvero	è	davvero	essere	davvero	AUX	ADV
('alla_a_ADP', 'festa_festa_NOUN')	120	alla festa	alla	festa	a	festa	ADP	NOUN
('sapevo_sapere_VERB', 'che_che_SCONJ')	120	sapevo che	sapevo	che	sapere	che	VERB	SCONJ
('hai_avere_AUX', 'mai_mai_ADV')	120	hai mai	hai	mai	avere	mai	AUX	ADV
('ad_a_ADP', 'andare_andare_VERB')	120	ad andare	ad	andare	a	andare	ADP	VERB
('per_per_ADP', 'te_te_PRON')	120	per te	per	te	per	te	ADP	PRON
('voi_voi_PRON', 'non_non_ADV')	120	voi non	voi	non	voi	non	PRON	ADV
('è_essere_AUX', 'morto_morire_VERB')	120	è morto	è	morto	essere	morire	AUX	VERB
"(""d'_di_ADP"", 'accordo_accordo_NOUN')"	119	d'accordo	d'	accordo	di	accordo	ADP	NOUN
('non_non_ADV', 'sarà_essere_AUX')	118	non sarà	non	sarà	non	essere	ADV	AUX
('pensate_pensare_VERB', 'che_che_SCONJ')	118	pensate che	pensate	che	pensare	che	VERB	SCONJ
('nella_in_ADP', 'sua_suo_DET')	116	nella sua	nella	sua	in	suo	ADP	DET
"(""un'_uno_DET"", 'altra_altro_ADJ')"	116	un'altra	un'	altra	uno	altro	DET	ADJ
('tutto_tutto_DET', 'quello_quello_PRON')	116	tutto quello	tutto	quello	tutto	quello	DET	PRON
('sono_essere_AUX', 'sicuro_sicuro_ADJ')	116	sono sicuro	sono	sicuro	essere	sicuro	AUX	ADJ
('si_si_PRON', 'sta_stare_AUX')	116	si sta	si	sta	si	stare	PRON	AUX
('che_che_PRON', 'ha_avere_AUX')	116	che ha	che	ha	che	avere	PRON	AUX
('deve_dovere_AUX', 'essere_essere_AUX')	116	deve essere	deve	essere	dovere	essere	AUX	AUX
('chi_chi_PRON', 'ha_avere_AUX')	116	chi ha	chi	ha	chi	avere	PRON	AUX
('è_essere_AUX', 'quello_quello_PRON')	115	è quello	è	quello	essere	quello	AUX	PRON
('la_il_DET', 'porta_porta_NOUN')	115	la porta	la	porta	il	porta	DET	NOUN
('di_di_ADP', 'voi_voi_PRON')	115	di voi	di	voi	di	voi	ADP	PRON
('una_uno_DET', 'buona_buono_ADJ')	114	una buona	una	buona	uno	buono	DET	ADJ
('di_di_ADP', 'nuovo_nuovo_ADJ')	114	di nuovo	di	nuovo	di	nuovo	ADP	ADJ
('sicura_sicuro_ADJ', 'che_che_SCONJ')	114	sicura che	sicura	che	sicuro	che	ADJ	SCONJ
('la_il_DET', 'musica_musica_NOUN')	113	la musica	la	musica	il	musica	DET	NOUN
('qui_qui_ADV', 'per_per_ADP')	113	qui per	qui	per	qui	per	ADV	ADP
('che_che_SCONJ', 'tu_tu_PRON')	113	che tu	che	tu	che	tu	SCONJ	PRON
('un_uno_DET', 'altro_altro_ADJ')	112	un altro	un	altro	uno	altro	DET	ADJ
('il_il_DET', 'cibo_cibo_NOUN')	112	il cibo	il	cibo	il	cibo	DET	NOUN
('una_uno_DET', 'lettera_lettera_NOUN')	111	una lettera	una	lettera	uno	lettera	DET	NOUN
('sa_sapere_VERB', 'che_che_SCONJ')	111	sa che	sa	che	sapere	che	VERB	SCONJ
"(""cos'_cos'_PRON"", 'è_essere_AUX')"	111	cos'è	cos'	è	cos'	essere	PRON	AUX
('suo_suo_DET', 'padre_padre_NOUN')	111	suo padre	suo	padre	suo	padre	DET	NOUN
('un_uno_DET', 'uomo_uomo_NOUN')	111	un uomo	un	uomo	uno	uomo	DET	NOUN
('avete_avere_AUX', 'visto_vedere_VERB')	110	avete visto	avete	visto	avere	vedere	AUX	VERB
('non_non_ADV', 'li_li_PRON')	110	non li	non	li	non	li	ADV	PRON
('non_non_ADV', 'vuole_volere_AUX')	109	non vuole	non	vuole	non	volere	ADV	AUX
('che_che_SCONJ', 'sono_essere_AUX')	109	che sono	che	sono	che	essere	SCONJ	AUX
('non_non_ADV', 'sa_sapere_VERB')	109	non sa	non	sa	non	sapere	ADV	VERB
('ho_avere_VERB', 'una_uno_DET')	109	ho una	ho	una	avere	uno	VERB	DET
('che_che_SCONJ', 'io_io_PRON')	108	che io	che	io	che	io	SCONJ	PRON
('che_che_SCONJ', 'a_a_ADP')	108		che	a	che	a	SCONJ	ADP
('sta_stare_AUX', 'facendo_fare_VERB')	108	sta facendo	sta	facendo	stare	fare	AUX	VERB
('era_essere_AUX', 'in_in_ADP')	108	era in	era	in	essere	in	AUX	ADP
('da_da_ADP', 'mangiare_mangiare_VERB')	108	da mangiare	da	mangiare	da	mangiare	ADP	VERB
('per_per_ADP', 'un_uno_DET')	107	per un	per	un	per	uno	ADP	DET
('è_essere_AUX', 'veramente_veramente_ADV')	107	è veramente	è	veramente	essere	veramente	AUX	ADV
('io_io_PRON', 'amo_amare_VERB')	107	io amo	io	amo	io	amare	PRON	VERB
('che_che_SCONJ', 'mi_mi_PRON')	107	che mi	che	mi	che	mi	SCONJ	PRON
('la_il_DET', 'vita_vita_NOUN')	106	la vita	la	vita	il	vita	DET	NOUN
('le_il_DET', 'cose_cosa_NOUN')	106	le cose	le	cose	il	cosa	DET	NOUN
('loro_loro_PRON', 'non_non_ADV')	106	loro non	loro	non	loro	non	PRON	ADV
('con_con_ADP', 'voi_voi_PRON')	106	con voi	con	voi	con	voi	ADP	PRON
"(""l'_lo_PRON"", 'hai_avere_AUX')"	106	l'hai	l'	hai	lo	avere	PRON	AUX
('avete_avere_AUX', 'mai_mai_ADV')	106	avete mai	avete	mai	avere	mai	AUX	ADV
('sono_essere_AUX', 'sicura_sicuro_ADJ')	105	sono sicura	sono	sicura	essere	sicuro	AUX	ADJ
('essere_essere_AUX', 'un_uno_DET')	105	essere un	essere	un	essere	uno	AUX	DET
('e_e_CCONJ', 'basta_bastare_VERB')	105	e basta	e	basta	e	bastare	CCONJ	VERB
