gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3	translation_en
('dissero_dire_VERB', 'che_che_SCONJ', 'erano_essere_AUX')	71	dissero che erano	dissero	che	erano	dire	che	essere	VERB	SCONJ	AUX	they said that they were
"(""dov'_dove_ADV"", 'è_essere_AUX', 'il_il_DET')"	70	dov'è il	dov'	è	il	dove	essere	il	ADV	AUX	DET	where is the (masculine)
('parlare_parlare_VERB', 'con_con_ADP', 'lei_lei_PRON')	69	parlare con lei	parlare	con	lei	parlare	con	lei	VERB	ADP	PRON	to talk with her
"(""d'_di_ADP"", 'accordo_accordo_NOUN', 'con_con_ADP')"	69	d'accordo con	d'	accordo	con	di	accordo	con	ADP	NOUN	ADP	in agreement with
('che_che_SCONJ', 'non_non_ADV', 'è_essere_AUX')	69	che non è	che	non	è	che	non	essere	SCONJ	ADV	AUX	that it is not
('di_di_ADP', 'andare_andare_VERB', 'a_a_ADP')	67		di	andare	a	di	andare	a	ADP	VERB	ADP	to go to
"(""c'_ci_PRON"", 'è_essere_VERB', 'una_uno_DET')"	66	c'è una	c'	è	una	ci	essere	uno	PRON	VERB	DET	there is a
('non_non_ADV', 'è_essere_AUX', 'mai_mai_ADV')	66	non è mai	non	è	mai	non	essere	mai	ADV	AUX	ADV	he/she has never
('il_il_DET', 'suo_suo_DET', 'nome_nome_NOUN')	65	il suo nome	il	suo	nome	il	suo	nome	DET	DET	NOUN	his/her (masculine) name
('è_essere_AUX', 'il_il_DET', 'vostro_vostro_DET')	65	è il vostro	è	il	vostro	essere	il	vostro	AUX	DET	DET	it is your (you (plural); masculine)
"('non_non_ADV', ""l'_lo_PRON"", 'ha_avere_AUX')"	63	non l'ha	non	l'	ha	non	lo	avere	ADV	PRON	AUX	he/she does not have it
('che_che_SCONJ', 'non_non_ADV', 'erano_essere_AUX')	63	che non erano	che	non	erano	che	non	essere	SCONJ	ADV	AUX	that they were not
('non_non_ADV', 'riesce_riuscire_VERB', 'a_a_ADP')	63	non riesce a	non	riesce	a	non	riuscire	a	ADV	VERB	ADP	he/she can't manage to
('è_essere_AUX', 'la_il_DET', 'tua_tuo_DET')	63	è la tua	è	la	tua	essere	il	tuo	AUX	DET	DET	it is your (feminine)
('con_con_ADP', 'i_il_DET', 'suoi_suo_DET')	63	con i suoi	con	i	suoi	con	il	suo	ADP	DET	DET	with his/her (masculine plural)
"(""dov'_dove_ADV"", 'è_essere_AUX', 'la_il_DET')"	62	dov'è la	dov'	è	la	dove	essere	il	ADV	AUX	DET	where is the (feminine)
('detto_dire_VERB', 'che_che_SCONJ', 'erano_essere_AUX')	62	detto che erano	detto	che	erano	dire	che	essere	VERB	SCONJ	AUX	said that they were
('questo_questo_PRON', 'è_essere_AUX', 'un_uno_DET')	62	questo è un	questo	è	un	questo	essere	uno	PRON	AUX	DET	this is a
('detto_dire_VERB', 'che_che_SCONJ', 'è_essere_AUX')	61	detto che è	detto	che	è	dire	che	essere	VERB	SCONJ	AUX	said that it is
('io_io_PRON', 'sono_essere_AUX', 'un_uno_DET')	60	io sono un	io	sono	un	io	essere	uno	PRON	AUX	DET	I am a
('il_il_DET', 'suo_suo_DET', 'lavoro_lavoro_NOUN')	60	il suo lavoro	il	suo	lavoro	il	suo	lavoro	DET	DET	NOUN	his/her (masculine) job
('non_non_ADV', 'mi_mi_PRON', 'ha_avere_AUX')	59	non mi ha	non	mi	ha	non	mi	avere	ADV	PRON	AUX	he/she has not me
('detto_dire_VERB', 'di_di_ADP', 'essere_essere_AUX')	59	detto di essere	detto	di	essere	dire	di	essere	VERB	ADP	AUX	said to be
('io_io_PRON', 'non_non_ADV', 'so_sapere_VERB')	58	io non so	io	non	so	io	non	sapere	PRON	ADV	VERB	I do not know
('lui_lui_PRON', 'è_essere_AUX', 'un_uno_DET')	58	lui è un	lui	è	un	lui	essere	uno	PRON	AUX	DET	he is a
('che_che_SCONJ', 'non_non_ADV', 'aveva_avere_VERB')	57	che non aveva	che	non	aveva	che	non	avere	SCONJ	ADV	VERB	that he/she did not have
('con_con_ADP', 'il_il_DET', 'suo_suo_DET')	57	con il suo	con	il	suo	con	il	suo	ADP	DET	DET	with his/her (masculine)
('mi_mi_PRON', 'ha_avere_AUX', 'chiesto_chiedere_VERB')	57	mi ha chiesto	mi	ha	chiesto	mi	avere	chiedere	PRON	AUX	VERB	he/she asked me
('la_il_DET', 'scorsa_scorso_ADJ', 'notte_notte_NOUN')	57	la scorsa notte	la	scorsa	notte	il	scorso	notte	DET	ADJ	NOUN	last night
('che_che_DET', 'tipo_tipo_NOUN', 'di_di_ADP')	57	che tipo di	che	tipo	di	che	tipo	di	DET	NOUN	ADP	what kind of
('il_il_DET', 'suo_suo_DET', 'cane_cane_NOUN')	56	il suo cane	il	suo	cane	il	suo	cane	DET	DET	NOUN	his/her (masculine) dog
('a_a_ADP', 'lei_lei_PRON', 'piace_piacere_VERB')	56	a lei piace	a	lei	piace	a	lei	piacere	ADP	PRON	VERB	she likes; it pleases her
('detto_dire_VERB', 'che_che_SCONJ', 'si_si_PRON')	56	detto che si	detto	che	si	dire	che	si	VERB	SCONJ	PRON	said that one
('io_io_PRON', 'non_non_ADV', 'riesco_riuscire_VERB')	56	io non riesco	io	non	riesco	io	non	riuscire	PRON	ADV	VERB	I cannot manage
('che_che_SCONJ', 'non_non_ADV', 'lo_lo_PRON')	56	che non lo	che	non	lo	che	non	lo	SCONJ	ADV	PRON	that he/she does not it
('questa_questo_PRON', 'è_essere_AUX', 'una_uno_DET')	56	questa è una	questa	è	una	questo	essere	uno	PRON	AUX	DET	this is a (feminine)
('non_non_ADV', 'riusciva_riuscire_VERB', 'a_a_ADP')	56	non riusciva	non	riusciva	a	non	riuscire	a	ADV	VERB	ADP	he/she couldn't manage
('che_che_SCONJ', 'si_si_PRON', 'sentiva_sentire_VERB')	55	che si sentiva	che	si	sentiva	che	si	sentire	SCONJ	PRON	VERB	that he/she felt
('non_non_ADV', 'è_essere_AUX', 'una_uno_DET')	55	non è una	non	è	una	non	essere	uno	ADV	AUX	DET	it is not a (feminine)
"('è_essere_AUX', 'un_uno_DET', ""po'_poco_ADV"")"	55	è un po'	è	un	po'	essere	uno	poco	AUX	DET	ADV	it is a bit
('lei_lei_PRON', 'non_non_ADV', 'è_essere_AUX')	55	lei non è	lei	non	è	lei	non	essere	PRON	ADV	AUX	she is not
('parlare_parlare_VERB', 'con_con_ADP', 'lui_lui_PRON')	55	parlare con lui	parlare	con	lui	parlare	con	lui	VERB	ADP	PRON	to talk with him
('è_essere_AUX', 'la_il_DET', 'sua_suo_DET')	55	è la sua	è	la	sua	essere	il	suo	AUX	DET	DET	it is his/her (feminine)
('la_il_DET', 'sua_suo_DET', 'casa_casa_NOUN')	54	la sua casa	la	sua	casa	il	suo	casa	DET	DET	NOUN	his/her (feminine) house
('tutto_tutto_DET', 'il_il_DET', 'giorno_giorno_NOUN')	54	tutto il giorno	tutto	il	giorno	tutto	il	giorno	DET	DET	NOUN	all day long
('nella_in_ADP', 'sua_suo_DET', 'stanza_stanza_NOUN')	53	nella sua stanza	nella	sua	stanza	in	suo	stanza	ADP	DET	NOUN	in his/her (feminine) room
('aveva_avere_VERB', 'bisogno_bisogno_NOUN', 'di_di_ADP')	53	aveva bisogno di	aveva	bisogno	di	avere	bisogno	di	VERB	NOUN	ADP	he/she needed to; he/she needed
"(""cos'_cos'_PRON"", 'è_essere_AUX', 'successo_succedere_VERB')"	53	cos'è successo	cos'	è	successo	cos'	essere	succedere	PRON	AUX	VERB	what happened
('ha_avere_AUX', 'comprato_comprare_VERB', 'un_uno_DET')	52	ha comprato un	ha	comprato	un	avere	comprare	uno	AUX	VERB	DET	he/she bought a
('io_io_PRON', 'spero_sperare_VERB', 'che_che_SCONJ')	52	io spero che	io	spero	che	io	sperare	che	PRON	VERB	SCONJ	I hope that
('abbiamo_avere_VERB', 'bisogno_bisogno_NOUN', 'di_di_ADP')	52	abbiamo bisogno di	abbiamo	bisogno	di	avere	bisogno	di	VERB	NOUN	ADP	we need to; we need
('è_essere_AUX', 'mai_mai_ADV', 'stato_essere_AUX')	52	è mai stato	è	mai	stato	essere	mai	essere	AUX	ADV	AUX	has ever been
('è_essere_AUX', 'un_uno_DET', 'uomo_uomo_NOUN')	52	è un uomo	è	un	uomo	essere	uno	uomo	AUX	DET	NOUN	he is a man
"(""l'_lo_PRON"", 'ha_avere_AUX', 'fatto_fare_VERB')"	52	l'ha fatto	l'	ha	fatto	lo	avere	fare	PRON	AUX	VERB	he/she did it
('non_non_ADV', 'è_essere_AUX', 'ancora_ancora_ADV')	52	non è ancora	non	è	ancora	non	essere	ancora	ADV	AUX	ADV	it is not yet
('non_non_ADV', 'è_essere_AUX', 'il_il_DET')	51	non è il	non	è	il	non	essere	il	ADV	AUX	DET	it is not the (masculine)
('è_essere_AUX', 'una_uno_DET', 'persona_persona_NOUN')	51	è una persona	è	una	persona	essere	uno	persona	AUX	DET	NOUN	he/she is a person
('la_il_DET', 'sua_suo_DET', 'famiglia_famiglia_NOUN')	50	la sua famiglia	la	sua	famiglia	il	suo	famiglia	DET	DET	NOUN	his/her (feminine) family
('mi_mi_PRON', 'piace_piacere_VERB', 'il_il_DET')	50	mi piace il	mi	piace	il	mi	piacere	il	PRON	VERB	DET	I like the (masculine)
('non_non_ADV', 'voglio_volere_VERB', 'che_che_SCONJ')	49	non voglio che	non	voglio	che	non	volere	che	ADV	VERB	SCONJ	I do not want that
('per_per_ADP', 'la_il_DET', 'sua_suo_DET')	48	per la sua	per	la	sua	per	il	suo	ADP	DET	DET	for his/her (feminine)
('detto_dire_VERB', 'di_di_ADP', 'non_non_ADV')	48	detto di non	detto	di	non	dire	di	non	VERB	ADP	ADV	said to not
('non_non_ADV', 'sono_essere_AUX', 'mai_mai_ADV')	48	non sono mai	non	sono	mai	non	essere	mai	ADV	AUX	ADV	I have never
('per_per_ADP', 'il_il_DET', 'suo_suo_DET')	48	per il suo	per	il	suo	per	il	suo	ADP	DET	DET	for his/her (masculine)
('io_io_PRON', 'ho_avere_VERB', 'un_uno_DET')	48	io ho un	io	ho	un	io	avere	uno	PRON	VERB	DET	I have a
('di_di_ADP', 'non_non_ADV', 'essere_essere_AUX')	48	di non essere	di	non	essere	di	non	essere	ADP	ADV	AUX	to not be
('le_le_PRON', 'ho_avere_AUX', 'detto_dire_VERB')	47	le ho detto	le	ho	detto	le	avere	dire	PRON	AUX	VERB	I told her
"('io_io_PRON', ""l'_lo_PRON"", 'ho_avere_AUX')"	47	io l'ho	io	l'	ho	io	lo	avere	PRON	PRON	AUX	I have it
('non_non_ADV', 'si_si_PRON', 'è_essere_AUX')	47	non si è	non	si	è	non	si	essere	ADV	PRON	AUX	he/she did not
('quello_quello_PRON', 'che_che_PRON', 'ha_avere_AUX')	47	quello che ha	quello	che	ha	quello	che	avere	PRON	PRON	AUX	what he/she has
('ho_avere_AUX', 'detto_dire_VERB', 'a_a_ADP')	47	ho detto a	ho	detto	a	avere	dire	a	AUX	VERB	ADP	I said to
('mi_mi_PRON', 'dissero_dire_VERB', 'che_che_SCONJ')	46	mi dissero che	mi	dissero	che	mi	dire	che	PRON	VERB	SCONJ	they told me that
('non_non_ADV', 'è_essere_AUX', 'molto_molto_ADV')	46	non è molto	non	è	molto	non	essere	molto	ADV	AUX	ADV	it is not very
('mi_mi_PRON', 'ha_avere_AUX', 'dato_dare_VERB')	46	mi ha dato	mi	ha	dato	mi	avere	dare	PRON	AUX	VERB	he/she gave me
('questo_questo_PRON', 'non_non_ADV', 'è_essere_AUX')	45	questo non è	questo	non	è	questo	non	essere	PRON	ADV	AUX	this is not
('ho_avere_AUX', 'detto_dire_VERB', 'di_di_ADP')	45	ho detto di	ho	detto	di	avere	dire	di	AUX	VERB	ADP	I told to
('ha_avere_AUX', 'cercato_cercare_VERB', 'di_di_ADP')	45	ha cercato di	ha	cercato	di	avere	cercare	di	AUX	VERB	ADP	he/she tried to
('il_il_DET', 'mio_mio_DET', 'nome_nome_NOUN')	45	il mio nome	il	mio	nome	il	mio	nome	DET	DET	NOUN	my (masculine) name
('giocare_giocare_VERB', 'a_a_ADP', 'tennis_tennis_NOUN')	45	giocare a tennis	giocare	a	tennis	giocare	a	tennis	VERB	ADP	NOUN	to play tennis
"('cosa_cosa_PRON', ""c'_ci_PRON"", 'è_essere_VERB')"	45	cosa c'è	cosa	c'	è	cosa	ci	essere	PRON	PRON	VERB	what is there
('tutto_tutto_DET', 'ciò_ciò_PRON', 'che_che_PRON')	44	tutto ciò che	tutto	ciò	che	tutto	ciò	che	DET	PRON	PRON	everything that
('da_da_ADP', 'qualche_qualche_DET', 'parte_parte_NOUN')	44	da qualche parte	da	qualche	parte	da	qualche	parte	ADP	DET	NOUN	somewhere
('bisogno_bisogno_NOUN', 'di_di_ADP', 'una_uno_DET')	44	bisogno di una	bisogno	di	una	bisogno	di	uno	NOUN	ADP	DET	need for a (feminine)
('io_io_PRON', 'mi_mi_PRON', 'sono_essere_AUX')	44	io mi sono	io	mi	sono	io	mi	essere	PRON	PRON	AUX	I have
('non_non_ADV', 'sono_essere_AUX', 'un_uno_DET')	44	non sono un	non	sono	un	non	essere	uno	ADV	AUX	DET	I am not a
('la_il_DET', 'sua_suo_DET', 'auto_auto_NOUN')	43	la sua auto	la	sua	auto	il	suo	auto	DET	DET	NOUN	his/her (feminine) car
"(""c'_ci_PRON"", 'è_essere_VERB', 'qualcosa_qualcosa_PRON')"	43	c'è qualcosa	c'	è	qualcosa	ci	essere	qualcosa	PRON	VERB	PRON	there is something
('la_il_DET', 'sua_suo_DET', 'macchina_macchina_NOUN')	43	la sua macchina	la	sua	macchina	il	suo	macchina	DET	DET	NOUN	his/her (feminine) car
"(""l'_il_DET"", 'anno_anno_NOUN', 'scorso_scorso_ADJ')"	43	l'anno scorso	l'	anno	scorso	il	anno	scorso	DET	NOUN	ADJ	last year
('i_il_DET', 'suoi_suo_DET', 'genitori_genitore_NOUN')	43	i suoi genitori	i	suoi	genitori	il	suo	genitore	DET	DET	NOUN	his/her (masculine plural) parents
('ha_avere_AUX', 'chiesto_chiedere_VERB', 'di_di_ADP')	42	ha chiesto di	ha	chiesto	di	avere	chiedere	di	AUX	VERB	ADP	he/she asked to
('che_che_SCONJ', 'era_essere_AUX', 'molto_molto_ADV')	42	che era molto	che	era	molto	che	essere	molto	SCONJ	AUX	ADV	that it was very
('che_che_SCONJ', 'io_io_PRON', 'sia_essere_AUX')	42	che io sia	che	io	sia	che	io	essere	SCONJ	PRON	AUX	that I am
('io_io_PRON', 'pensavo_pensare_VERB', 'che_che_SCONJ')	42	io pensavo che	io	pensavo	che	io	pensare	che	PRON	VERB	SCONJ	I thought that
('di_di_ADP', 'parlare_parlare_VERB', 'con_con_ADP')	41	di parlare con	di	parlare	con	di	parlare	con	ADP	VERB	ADP	to talk with
('io_io_PRON', 'non_non_ADV', 'lo_lo_PRON')	41	io non lo	io	non	lo	io	non	lo	PRON	ADV	PRON	I do not it (masculine)
('a_a_ADP', 'voi_voi_PRON', 'piace_piacere_VERB')	41	a voi piace	a	voi	piace	a	voi	piacere	ADP	PRON	VERB	you (plural) like it
('lo_lo_PRON', 'sapevo_sapere_VERB', 'che_che_SCONJ')	41	lo sapevo che	lo	sapevo	che	lo	sapere	che	PRON	VERB	SCONJ	I knew it
('a_a_ADP', 'te_te_PRON', 'piace_piacere_VERB')	40	a te piace	a	te	piace	a	te	piacere	ADP	PRON	VERB	you like it
('qualcosa_qualcosa_PRON', 'da_da_ADP', 'mangiare_mangiare_VERB')	40	qualcosa da mangiare	qualcosa	da	mangiare	qualcosa	da	mangiare	PRON	ADP	VERB	something to eat
('detto_dire_VERB', 'che_che_SCONJ', 'voleva_volere_AUX')	40	detto che voleva	detto	che	voleva	dire	che	volere	VERB	SCONJ	AUX	said that he/she wanted
('chi_chi_PRON', 'è_essere_AUX', 'il_il_DET')	40	chi è il	chi	è	il	chi	essere	il	PRON	AUX	DET	who is the (masculine)
('a_a_ADP', 'parlare_parlare_VERB', 'con_con_ADP')	40	ai a parlare con	a	parlare	con	a	parlare	con	ADP	VERB	ADP	to talk with
('ha_avere_AUX', 'cominciato_cominciare_VERB', 'a_a_ADP')	40	ha	ha	cominciato	a	avere	cominciare	a	AUX	VERB	ADP	he/she began to
('un_uno_DET', 'bicchiere_bicchiere_NOUN', 'di_di_ADP')	40	un bicchiere di	un	bicchiere	di	uno	bicchiere	di	DET	NOUN	ADP	a glass of
('non_non_ADV', 'sapevo_sapere_VERB', 'che_che_SCONJ')	39	non sapevo che	non	sapevo	che	non	sapere	che	ADV	VERB	SCONJ	I did not know that
('parlare_parlare_VERB', 'in_in_ADP', 'francese_francese_NOUN')	39	parlare in francese	parlare	in	francese	parlare	in	francese	VERB	ADP	NOUN	to speak French
('non_non_ADV', 'è_essere_AUX', 'più_più_ADV')	39	non è più	non	è	più	non	essere	più	ADV	AUX	ADV	it is no longer
('ha_avere_AUX', 'provato_provare_VERB', 'a_a_ADP')	39	ha	ha	provato	a	avere	provare	a	AUX	VERB	ADP	he/she tried to
"('un_uno_DET', ""po'_poco_PRON"", ""d'_di_ADP"")"	39	un po' d'	un	po'	d'	uno	poco	di	DET	PRON	ADP	a bit of (before a vowel)
('ha_avere_AUX', 'iniziato_iniziare_VERB', 'a_a_ADP')	38	ha	ha	iniziato	a	avere	iniziare	a	AUX	VERB	ADP	he/she started to
('sono_essere_AUX', 'andato_andare_VERB', 'a_a_ADP')	38	sono a	sono	andato	a	essere	andare	a	AUX	VERB	ADP	I went to
('lui_lui_PRON', 'non_non_ADV', 'è_essere_AUX')	38	lui non è	lui	non	è	lui	non	essere	PRON	ADV	AUX	he is not
('me_me_PRON', 'non_non_ADV', 'piace_piacere_VERB')	38	me non piace	me	non	piace	me	non	piacere	PRON	ADV	VERB	I do not like
('io_io_PRON', 'non_non_ADV', 'mi_mi_PRON')	38	io non mi	io	non	mi	io	non	mi	PRON	ADV	PRON	I do not myself
('non_non_ADV', 'ho_avere_AUX', 'ancora_ancora_ADV')	38	non ho ancora	non	ho	ancora	non	avere	ancora	ADV	AUX	ADV	I have not yet
('studiare_studiare_VERB', 'il_il_DET', 'francese_francese_NOUN')	38	studiare il francese	studiare	il	francese	studiare	il	francese	VERB	DET	NOUN	to study French
"(""l'_lo_PRON"", 'ho_avere_AUX', 'mai_mai_ADV')"	38	l'ho mai	l'	ho	mai	lo	avere	mai	PRON	AUX	ADV	I have it ever
('perché_perché_PRON', 'siete_essere_AUX', 'così_così_ADV')	38	perché siete così	perché	siete	così	perché	essere	così	PRON	AUX	ADV	why are you (plural) so
('hai_avere_VERB', 'bisogno_bisogno_NOUN', 'di_di_ADP')	38	hai bisogno di	hai	bisogno	di	avere	bisogno	di	VERB	NOUN	ADP	you need to; you need
('perché_perché_ADV', 'è_essere_AUX', 'così_così_ADV')	37	perché è così	perché	è	così	perché	essere	così	ADV	AUX	ADV	why is it so
('a_a_ADP', 'lui_lui_PRON', 'piace_piacere_VERB')	37	a lui piace	a	lui	piace	a	lui	piacere	ADP	PRON	VERB	he likes it
('ha_avere_AUX', 'perso_perdere_VERB', 'il_il_DET')	37	ha perso il	ha	perso	il	avere	perdere	il	AUX	VERB	DET	he/she lost the (masculine)
('hai_avere_AUX', 'mai_mai_ADV', 'visto_vedere_VERB')	37	hai mai visto	hai	mai	visto	avere	mai	vedere	AUX	ADV	VERB	have you ever seen
