gram2_key	count	substr	term_1	term_2	lemma_1	lemma_2	pos_1	pos_2
('con_con_ADP', 'lui_lui_PRON')	22	con lui	con	lui	con	lui	ADP	PRON
('a_a_ADP', 'scuola_scuola_NOUN')	21	andò a scuola	a	scuola	a	scuola	ADP	NOUN
('il_il_DET', 'vostro_vostro_DET')	21	il vostro	il	vostro	il	vostro	DET	DET
('è_essere_AUX', 'stato_essere_AUX')	19	è stato	è	stato	essere	essere	AUX	AUX
('che_che_SCONJ', 'era_essere_AUX')	19	che era	che	era	che	essere	SCONJ	AUX
('parlare_parlare_VERB', 'con_con_ADP')	19	parlare con	parlare	con	parlare	con	VERB	ADP
('ho_avere_AUX', 'fatto_fare_VERB')	19	ho fatto	ho	fatto	avere	fare	AUX	VERB
('di_di_ADP', 'essere_essere_AUX')	19	di essere	di	essere	di	essere	ADP	AUX
('il_il_DET', 'tuo_tuo_DET')	18	il tuo	il	tuo	il	tuo	DET	DET
('è_essere_AUX', 'andato_andare_VERB')	18	è andato	è	andato	essere	andare	AUX	VERB
('per_per_ADP', 'piacere_piacere_NOUN')	17	per piacere	per	piacere	per	piacere	ADP	NOUN
('non_non_ADV', 'ha_avere_AUX')	17	non ha	non	ha	non	avere	ADV	AUX
('dice_dire_VERB', 'che_che_SCONJ')	17	dice che	dice	che	dire	che	VERB	SCONJ
('piace_piacere_VERB', 'il_il_DET')	17	piace il	piace	il	piacere	il	VERB	DET
('di_di_ADP', 'lei_lei_PRON')	17	di lei	di	lei	di	lei	ADP	PRON
"(""dov'_dove_ADV"", 'è_essere_AUX')"	16	dov'è	dov'	è	dove	essere	ADV	AUX
('ho_avere_VERB', 'bisogno_bisogno_NOUN')	16	ho bisogno	ho	bisogno	avere	bisogno	VERB	NOUN
('voi_voi_PRON', 'siete_essere_AUX')	16	voi siete	voi	siete	voi	essere	PRON	AUX
('lui_lui_PRON', 'è_essere_AUX')	16	lui è	lui	è	lui	essere	PRON	AUX
('io_io_PRON', 'ho_avere_AUX')	16	io ho	io	ho	io	avere	PRON	AUX
('qual_qual_PRON', 'è_essere_AUX')	16	qual è	qual	è	qual	essere	PRON	AUX
('ha_avere_AUX', 'fatto_fare_VERB')	16	ha fatto	ha	fatto	avere	fare	AUX	VERB
('detto_dire_VERB', 'di_di_ADP')	15	detto di	detto	di	dire	di	VERB	ADP
('a_a_ADP', 'lei_lei_PRON')	15	a lei	a	lei	a	lei	ADP	PRON
('io_io_PRON', 'ho_avere_VERB')	15	io ho	io	ho	io	avere	PRON	VERB
('perché_perché_PRON', 'non_non_ADV')	15	perché non	perché	non	perché	non	PRON	ADV
('un_uno_DET', 'libro_libro_NOUN')	15	un libro	un	libro	uno	libro	DET	NOUN
('mi_mi_PRON', 'sento_sentire_VERB')	15	mi sento	mi	sento	mi	sentire	PRON	VERB
('mi_mi_PRON', 'piace_piacere_VERB')	14	mi piace	mi	piace	mi	piacere	PRON	VERB
('in_in_ADP', 'un_uno_DET')	14	in un	in	un	in	uno	ADP	DET
('sono_essere_AUX', 'ancora_ancora_ADV')	14	sono ancora	sono	ancora	essere	ancora	AUX	ADV
('a_a_ADP', 'tennis_tennis_NOUN')	14	are a tennis	a	tennis	a	tennis	ADP	NOUN
('che_che_SCONJ', 'erano_essere_AUX')	14	che erano	che	erano	che	essere	SCONJ	AUX
('mi_mi_PRON', 'sono_essere_AUX')	14	mi sono	mi	sono	mi	essere	PRON	AUX
('non_non_ADV', 'la_la_PRON')	14	non la	non	la	non	la	ADV	PRON
('che_che_DET', 'cosa_cosa_PRON')	14	che cosa	che	cosa	che	cosa	DET	PRON
('il_il_DET', 'francese_francese_NOUN')	14	il francese	il	francese	il	francese	DET	NOUN
('lei_lei_PRON', 'ha_avere_AUX')	13	lei ha	lei	ha	lei	avere	PRON	AUX
('so_sapere_VERB', 'che_che_SCONJ')	13	so che	so	che	sapere	che	VERB	SCONJ
('che_che_SCONJ', 'lo_lo_PRON')	13	che lo	che	lo	che	lo	SCONJ	PRON
('con_con_ADP', 'me_me_PRON')	13	con me	con	me	con	me	ADP	PRON
"('un_uno_DET', ""po'_poco_ADV"")"	13	un po'	un	po'	uno	poco	DET	ADV
('lei_lei_PRON', 'è_essere_AUX')	13	lei è	lei	è	lei	essere	PRON	AUX
"('un_uno_DET', ""po'_poco_PRON"")"	13	un po'	un	po'	uno	poco	DET	PRON
"(""po'_poco_PRON"", 'di_di_ADP')"	13	po' di	po'	di	poco	di	PRON	ADP
('è_essere_AUX', 'ancora_ancora_ADV')	13	è ancora	è	ancora	essere	ancora	AUX	ADV
('giocare_giocare_VERB', 'a_a_ADP')	12		giocare	a	giocare	a	VERB	ADP
('per_per_ADP', 'lei_lei_PRON')	12	per lei	per	lei	per	lei	ADP	PRON
('mi_mi_PRON', 'disse_dire_VERB')	12	mi disse	mi	disse	mi	dire	PRON	VERB
('sapeva_sapere_VERB', 'che_che_SCONJ')	12	sapeva che	sapeva	che	sapere	che	VERB	SCONJ
('andare_andare_VERB', 'a_a_ADP')	12	a	andare	a	andare	a	VERB	ADP
('ha_avere_AUX', 'comprato_comprare_VERB')	12	ha comprato	ha	comprato	avere	comprare	AUX	VERB
('noi_noi_PRON', 'non_non_ADV')	12	noi non	noi	non	noi	non	PRON	ADV
('pensavo_pensare_VERB', 'che_che_SCONJ')	12	pensavo che	pensavo	che	pensare	che	VERB	SCONJ
('pensi_pensare_VERB', 'che_che_SCONJ')	12	pensi che	pensi	che	pensare	che	VERB	SCONJ
('con_con_ADP', 'il_il_DET')	12	con il	con	il	con	il	ADP	DET
('di_di_ADP', 'un_uno_DET')	12	di un	di	un	di	uno	ADP	DET
('i_il_DET', 'miei_mio_DET')	12	i miei	i	miei	il	mio	DET	DET
('non_non_ADV', 'ha_avere_VERB')	12	non ha	non	ha	non	avere	ADV	VERB
('da_da_ADP', 'solo_solo_ADJ')	12	da solo	da	solo	da	solo	ADP	ADJ
('hanno_avere_AUX', 'detto_dire_VERB')	11	hanno detto	hanno	detto	avere	dire	AUX	VERB
('riesce_riuscire_VERB', 'a_a_ADP')	11	riesce a	riesce	a	riuscire	a	VERB	ADP
('le_il_DET', 'sue_suo_DET')	11	le sue	le	sue	il	suo	DET	DET
('è_essere_AUX', 'così_così_ADV')	11	è così	è	così	essere	così	AUX	ADV
('io_io_PRON', 'mi_mi_PRON')	11	io mi	io	mi	io	mi	PRON	PRON
('ho_avere_AUX', 'detto_dire_VERB')	11	ho detto	ho	detto	avere	dire	AUX	VERB
('è_essere_AUX', 'successo_succedere_VERB')	11	è successo	è	successo	essere	succedere	AUX	VERB
('piace_piacere_VERB', 'la_il_DET')	11	piace la	piace	la	piacere	il	VERB	DET
('lui_lui_PRON', 'non_non_ADV')	11	lui non	lui	non	lui	non	PRON	ADV
('a_a_ADP', 'lui_lui_PRON')	11	a lui	a	lui	a	lui	ADP	PRON
('è_essere_AUX', 'più_più_ADV')	11	è più	è	più	essere	più	AUX	ADV
('pensa_pensare_VERB', 'che_che_SCONJ')	11	pensa che	pensa	che	pensare	che	VERB	SCONJ
('non_non_ADV', 'ti_ti_PRON')	11	non ti	non	ti	non	ti	ADV	PRON
('chi_chi_PRON', 'ha_avere_AUX')	10	chi ha	chi	ha	chi	avere	PRON	AUX
('è_essere_AUX', 'stata_essere_AUX')	10	è stata	è	stata	essere	essere	AUX	AUX
('non_non_ADV', 'posso_potere_AUX')	10	non posso	non	posso	non	potere	ADV	AUX
('ciò_ciò_PRON', 'che_che_PRON')	10	ciò che	ciò	che	ciò	che	PRON	PRON
('noi_noi_PRON', 'abbiamo_avere_VERB')	10	noi abbiamo	noi	abbiamo	noi	avere	PRON	VERB
('io_io_PRON', 'penso_pensare_VERB')	10	io penso	io	penso	io	pensare	PRON	VERB
('si_si_PRON', 'sta_stare_AUX')	10	si sta	si	sta	si	stare	PRON	AUX
('per_per_ADP', 'la_il_DET')	10	per la	per	la	per	il	ADP	DET
('che_che_SCONJ', 'lei_lei_PRON')	10	che lei	che	lei	che	lei	SCONJ	PRON
('non_non_ADV', 'ci_ci_PRON')	10	non ci	non	ci	non	ci	ADV	PRON
('ha_avere_AUX', 'mai_mai_ADV')	10	ha mai	ha	mai	avere	mai	AUX	ADV
('il_il_DET', 'cane_cane_NOUN')	10	il cane	il	cane	il	cane	DET	NOUN
('di_di_ADP', 'lui_lui_PRON')	10	di lui	di	lui	di	lui	ADP	PRON
('che_che_SCONJ', 'è_essere_AUX')	10	che è	che	è	che	essere	SCONJ	AUX
('ogni_ogni_DET', 'giorno_giorno_NOUN')	9	ogni giorno	ogni	giorno	ogni	giorno	DET	NOUN
('non_non_ADV', 'so_sapere_VERB')	9	non so	non	so	non	sapere	ADV	VERB
('è_essere_AUX', 'a_a_ADP')	9		è	a	essere	a	AUX	ADP
('non_non_ADV', 'sa_sapere_VERB')	9	non sa	non	sa	non	sapere	ADV	VERB
('ho_avere_AUX', 'comprato_comprare_VERB')	9	ho comprato	ho	comprato	avere	comprare	AUX	VERB
('che_che_SCONJ', 'sia_essere_AUX')	9	che sia	che	sia	che	essere	SCONJ	AUX
"('non_non_ADV', ""c'_ci_PRON"")"	9	non c'	non	c'	non	ci	ADV	PRON
('era_essere_AUX', 'una_uno_DET')	9	era una	era	una	essere	uno	AUX	DET
('nella_in_ADP', 'sua_suo_DET')	9	nella sua	nella	sua	in	suo	ADP	DET
('è_essere_AUX', 'sempre_sempre_ADV')	9	è sempre	è	sempre	essere	sempre	AUX	ADV
('i_il_DET', 'cani_cane_NOUN')	9	i cani	i	cani	il	cane	DET	NOUN
('qualcosa_qualcosa_PRON', 'da_da_ADP')	9	qualcosa da	qualcosa	da	qualcosa	da	PRON	ADP
('a_a_ADP', 'loro_loro_PRON')	9	a loro	a	loro	a	loro	ADP	PRON
('ti_ti_PRON', 'ho_avere_AUX')	9	ti ho	ti	ho	ti	avere	PRON	AUX
('è_essere_AUX', 'in_in_ADP')	9	è in	è	in	essere	in	AUX	ADP
('da_da_ADP', 'sola_solo_ADJ')	9	da sola	da	sola	da	solo	ADP	ADJ
('con_con_ADP', 'loro_loro_PRON')	9	con loro	con	loro	con	loro	ADP	PRON
('di_di_ADP', 'me_me_PRON')	9	di me	di	me	di	me	ADP	PRON
('andata_andare_VERB', 'a_a_ADP')	9	a	andata	a	andare	a	VERB	ADP
('le_le_PRON', 'ha_avere_AUX')	9	le ha	le	ha	le	avere	PRON	AUX
('lei_lei_PRON', 'non_non_ADV')	9	lei non	lei	non	lei	non	PRON	ADV
('voglio_volere_VERB', 'che_che_SCONJ')	9	voglio che	voglio	che	volere	che	VERB	SCONJ
('non_non_ADV', 'si_si_PRON')	9	non si	non	si	non	si	ADV	PRON
('ci_ci_PRON', 'ha_avere_AUX')	9	ci ha	ci	ha	ci	avere	PRON	AUX
('io_io_PRON', 'sto_essere_AUX')	9	io sto	io	sto	io	essere	PRON	AUX
('andato_andare_VERB', 'a_a_ADP')	9	a	andato	a	andare	a	VERB	ADP
('le_le_PRON', 'piace_piacere_VERB')	9	le piace	le	piace	le	piacere	PRON	VERB
('sono_essere_AUX', 'un_uno_DET')	9	sono un	sono	un	essere	uno	AUX	DET
('per_per_ADP', 'me_me_PRON')	9	per me	per	me	per	me	ADP	PRON
('un_uno_DET', 'altro_altro_ADJ')	9	un altro	un	altro	uno	altro	DET	ADJ
('loro_loro_PRON', 'sono_essere_AUX')	9	loro sono	loro	sono	loro	essere	PRON	AUX
('non_non_ADV', 'le_le_PRON')	9	non le	non	le	non	le	ADV	PRON
('qualcosa_qualcosa_PRON', 'di_di_ADP')	9	qualcosa di	qualcosa	di	qualcosa	di	PRON	ADP
('sono_essere_AUX', 'stata_essere_AUX')	8	sono stata	sono	stata	essere	essere	AUX	AUX
('per_per_ADP', 'loro_loro_PRON')	8	per loro	per	loro	per	loro	ADP	PRON
('una_uno_DET', 'lettera_lettera_NOUN')	8	una lettera	una	lettera	uno	lettera	DET	NOUN
('e_e_CCONJ', 'basta_bastare_VERB')	8	eguili e basta	e	basta	e	bastare	CCONJ	VERB
('di_di_ADP', 'vino_vino_NOUN')	8	di vino	di	vino	di	vino	ADP	NOUN
('non_non_ADV', 'aveva_avere_VERB')	8	non aveva	non	aveva	non	avere	ADV	VERB
('per_per_ADP', 'te_te_PRON')	8	per te	per	te	per	te	ADP	PRON
('sono_essere_AUX', 'andata_andare_VERB')	8	sono andata	sono	andata	essere	andare	AUX	VERB
"(""un'_uno_DET"", 'altra_altro_ADJ')"	8	un'altra	un'	altra	uno	altro	DET	ADJ
('a_a_ADP', 'piedi_piede_NOUN')	8	andato a scuola a piedi	a	piedi	a	piede	ADP	NOUN
('mio_mio_DET', 'padre_padre_NOUN')	8	mio padre	mio	padre	mio	padre	DET	NOUN
('per_per_ADP', 'un_uno_DET')	8	per un	per	un	per	uno	ADP	DET
('mai_mai_ADV', 'visto_vedere_VERB')	8	mai visto	mai	visto	mai	vedere	ADV	VERB
('non_non_ADV', 'voglio_volere_AUX')	8	non voglio	non	voglio	non	volere	ADV	AUX
('ho_avere_AUX', 'mai_mai_ADV')	8	ho mai	ho	mai	avere	mai	AUX	ADV
('di_di_ADP', 'andare_andare_VERB')	8	di andare	di	andare	di	andare	ADP	VERB
('detto_dire_VERB', 'a_a_ADP')	8		detto	a	dire	a	VERB	ADP
('qui_qui_ADV', 'a_a_ADP')	8		qui	a	qui	a	ADV	ADP
('ho_avere_AUX', 'visto_vedere_VERB')	8	ho visto	ho	visto	avere	vedere	AUX	VERB
('dissero_dire_VERB', 'che_che_SCONJ')	8	dissero che	dissero	che	dire	che	VERB	SCONJ
"(""l'_il_DET"", 'esperanto_esperanto_NOUN')"	8	l'esperanto	l'	esperanto	il	esperanto	DET	NOUN
('di_di_ADP', 'noi_noi_PRON')	8	di noi	di	noi	di	noi	ADP	PRON
('ne_ne_PRON', 'sono_essere_AUX')	8	ne sono	ne	sono	ne	essere	PRON	AUX
('lui_lui_PRON', 'ha_avere_AUX')	8	lui ha	lui	ha	lui	avere	PRON	AUX
"(""l'_il_DET"", 'anno_anno_NOUN')"	8	l'anno	l'	anno	il	anno	DET	NOUN
('era_essere_AUX', 'in_in_ADP')	8	era in	era	in	essere	in	AUX	ADP
('con_con_ADP', 'te_te_PRON')	8	con te	con	te	con	te	ADP	PRON
('non_non_ADV', 'li_li_PRON')	8	non li	non	li	non	li	ADV	PRON
('il_il_DET', 'lavoro_lavoro_NOUN')	8	il lavoro	il	lavoro	il	lavoro	DET	NOUN
('perché_perché_ADV', 'è_essere_AUX')	8	perché è	perché	è	perché	essere	ADV	AUX
('la_il_DET', 'vostra_vostro_DET')	8	la vostra	la	vostra	il	vostro	DET	DET
('non_non_ADV', 'vi_vi_PRON')	8	non vi	non	vi	non	vi	ADV	PRON
('una_uno_DET', 'buona_buono_ADJ')	8	una buona	una	buona	uno	buono	DET	ADJ
('che_che_SCONJ', 'io_io_PRON')	8	che io	che	io	che	io	SCONJ	PRON
('ha_avere_VERB', 'un_uno_DET')	8	ha un	ha	un	avere	uno	VERB	DET
('in_in_ADP', 'francese_francese_NOUN')	8	in francese	in	francese	in	francese	ADP	NOUN
('tutto_tutto_DET', 'il_il_DET')	8	tutto il	tutto	il	tutto	il	DET	DET
('da_da_ADP', 'fare_fare_VERB')	8	da fare	da	fare	da	fare	ADP	VERB
"('è_essere_AUX', ""un'_uno_DET"")"	7	è un'	è	un'	essere	uno	AUX	DET
('ha_avere_VERB', 'bisogno_bisogno_NOUN')	7	ha bisogno	ha	bisogno	avere	bisogno	VERB	NOUN
('ha_avere_VERB', 'una_uno_DET')	7	ha una	ha	una	avere	uno	VERB	DET
('intenzione_intenzione_NOUN', 'di_di_ADP')	7	intenzione di	intenzione	di	intenzione	di	NOUN	ADP
('non_non_ADV', 'riesco_riuscire_VERB')	7	non riesco	non	riesco	non	riuscire	ADV	VERB
('i_il_DET', 'tuoi_tuo_DET')	7	i tuoi	i	tuoi	il	tuo	DET	DET
('in_in_ADP', 'ritardo_ritardo_NOUN')	7	in ritardo	in	ritardo	in	ritardo	ADP	NOUN
('riesco_riuscire_VERB', 'a_a_ADP')	7	riesco a	riesco	a	riuscire	a	VERB	ADP
('di_di_ADP', 'una_uno_DET')	7	di una	di	una	di	uno	ADP	DET
('gli_gli_PRON', 'ha_avere_AUX')	7	gli ha	gli	ha	gli	avere	PRON	AUX
('fatto_fare_VERB', 'un_uno_DET')	7	fatto un	fatto	un	fare	uno	VERB	DET
('le_il_DET', 'loro_loro_DET')	7	le loro	le	loro	il	loro	DET	DET
('non_non_ADV', 'era_essere_AUX')	7	non era	non	era	non	essere	ADV	AUX
('di_di_ADP', 'più_più_ADV')	7	di più	di	più	di	più	ADP	ADV
('che_che_SCONJ', 'a_a_ADP')	7		che	a	che	a	SCONJ	ADP
('questa_questo_PRON', 'è_essere_AUX')	7	questa è	questa	è	questo	essere	PRON	AUX
('una_uno_DET', 'volta_volta_NOUN')	7	una volta	una	volta	uno	volta	DET	NOUN
('avete_avere_AUX', 'visto_vedere_VERB')	7	avete visto	avete	visto	avere	vedere	AUX	VERB
('visto_vedere_VERB', 'il_il_DET')	7	visto il	visto	il	vedere	il	VERB	DET
('il_il_DET', 'nostro_nostro_DET')	7	il nostro	il	nostro	il	nostro	DET	DET
('ha_avere_AUX', 'visto_vedere_VERB')	7	ha visto	ha	visto	avere	vedere	AUX	VERB
('tu_tu_PRON', 'hai_avere_AUX')	7	tu hai	tu	hai	tu	avere	PRON	AUX
('il_il_DET', 'giorno_giorno_NOUN')	7	il giorno	il	giorno	il	giorno	DET	NOUN
('sono_essere_AUX', 'sicura_sicuro_ADJ')	7	sono sicura	sono	sicura	essere	sicuro	AUX	ADJ
('di_di_ADP', 'fare_fare_VERB')	7	di fare	di	fare	di	fare	ADP	VERB
('a_a_ADP', 'farlo_fare_VERB')	7	a aiuterò a farlo	a	farlo	a	fare	ADP	VERB
('di_di_ADP', 'loro_loro_PRON')	7	di loro	di	loro	di	loro	ADP	PRON
('essere_essere_AUX', 'un_uno_DET')	7	essere un	essere	un	essere	uno	AUX	DET
('cosa_cosa_PRON', 'sta_stare_AUX')	7	cosa sta	cosa	sta	cosa	stare	PRON	AUX
('un_uno_DET', 'buon_buono_ADJ')	7	un buon	un	buon	uno	buono	DET	ADJ
('non_non_ADV', 'avete_avere_AUX')	7	non avete	non	avete	non	avere	ADV	AUX
('sua_suo_DET', 'auto_auto_NOUN')	7	sua auto	sua	auto	suo	auto	DET	NOUN
('i_il_DET', 'loro_loro_DET')	7	i loro	i	loro	il	loro	DET	DET
('sono_essere_AUX', 'più_più_ADV')	7	sono più	sono	più	essere	più	AUX	ADV
('lo_lo_PRON', 'avrebbe_avere_AUX')	7	lo avrebbe	lo	avrebbe	lo	avere	PRON	AUX
('ci_ci_PRON', 'sono_essere_VERB')	7	ci sono	ci	sono	ci	essere	PRON	VERB
('per_per_ADP', 'lui_lui_PRON')	7	per lui	per	lui	per	lui	ADP	PRON
('piacciono_piacere_VERB', 'i_il_DET')	7		piacciono	i	piacere	il	VERB	DET
('io_io_PRON', 'voglio_volere_AUX')	7	io voglio	io	voglio	io	volere	PRON	AUX
('comprato_comprare_VERB', 'un_uno_DET')	7	comprato un	comprato	un	comprare	uno	VERB	DET
('mia_mio_DET', 'madre_madre_NOUN')	7	mia madre	mia	madre	mio	madre	DET	NOUN
('con_con_ADP', 'la_il_DET')	7	con la	con	la	con	il	ADP	DET
('sua_suo_DET', 'stanza_stanza_NOUN')	7	sua stanza	sua	stanza	suo	stanza	DET	NOUN
('lui_lui_PRON', 'mi_mi_PRON')	7	lui mi	lui	mi	lui	mi	PRON	PRON
('sono_essere_AUX', 'sempre_sempre_ADV')	7	sono sempre	sono	sempre	essere	sempre	AUX	ADV
('vi_vi_PRON', 'ho_avere_AUX')	7	vi ho	vi	ho	vi	avere	PRON	AUX
('molto_molto_DET', 'tempo_tempo_NOUN')	7	molto tempo	molto	tempo	molto	tempo	DET	NOUN
('in_in_ADP', 'questo_questo_DET')	7	in questo	in	questo	in	questo	ADP	DET
('grado_grado_NOUN', 'di_di_ADP')	7	grado di	grado	di	grado	di	NOUN	ADP
('in_in_ADP', 'grado_grado_NOUN')	7	in grado	in	grado	in	grado	ADP	NOUN
('qui_qui_ADV', 'per_per_ADP')	7	qui per	qui	per	qui	per	ADV	ADP
('spero_sperare_VERB', 'che_che_SCONJ')	7	spero che	spero	che	sperare	che	VERB	SCONJ
('il_il_DET', 'libro_libro_NOUN')	7	il libro	il	libro	il	libro	DET	NOUN
('sono_essere_AUX', 'molto_molto_ADV')	7	sono molto	sono	molto	essere	molto	AUX	ADV
('con_con_ADP', 'noi_noi_PRON')	7	con noi	con	noi	con	noi	ADP	PRON
('così_così_ADV', 'tanto_tanto_ADV')	7	così tanto	così	tanto	così	tanto	ADV	ADV
('non_non_ADV', 'puoi_potere_AUX')	7	non puoi	non	puoi	non	potere	ADV	AUX
('avete_avere_AUX', 'mai_mai_ADV')	7	avete mai	avete	mai	avere	mai	AUX	ADV
('ho_avere_VERB', 'una_uno_DET')	7	ho una	ho	una	avere	uno	VERB	DET
('perché_perché_ADV', 'non_non_ADV')	7	perché non	perché	non	perché	non	ADV	ADV
('un_uno_DET', 'grande_grande_ADJ')	6	un grande	un	grande	uno	grande	DET	ADJ
('in_in_ADP', 'questa_questo_DET')	6	in questa	in	questa	in	questo	ADP	DET
('ha_avere_AUX', 'perso_perdere_VERB')	6	ha perso	ha	perso	avere	perdere	AUX	VERB
('il_il_DET', 'treno_treno_NOUN')	6	il treno	il	treno	il	treno	DET	NOUN
('una_uno_DET', 'casa_casa_NOUN')	6	una casa	una	casa	uno	casa	DET	NOUN
('me_me_PRON', 'piace_piacere_VERB')	6	me piace	me	piace	me	piacere	PRON	VERB
('ho_avere_AUX', 'già_già_ADV')	6	ho già	ho	già	avere	già	AUX	ADV
('la_il_DET', 'cosa_cosa_NOUN')	6	la cosa	la	cosa	il	cosa	DET	NOUN
('la_il_DET', 'musica_musica_NOUN')	6	la musica	la	musica	il	musica	DET	NOUN
('questo_questo_DET', 'libro_libro_NOUN')	6	questo libro	questo	libro	questo	libro	DET	NOUN
('la_il_DET', 'casa_casa_NOUN')	6	la casa	la	casa	il	casa	DET	NOUN
('a_a_ADP', 'trovare_trovare_VERB')	6	andato a trovare	a	trovare	a	trovare	ADP	VERB
('che_che_SCONJ', 'le_le_PRON')	6	che le	che	le	che	le	SCONJ	PRON
('che_che_SCONJ', 'tu_tu_PRON')	6	che tu	che	tu	che	tu	SCONJ	PRON
('dire_dire_VERB', 'a_a_ADP')	6	dire a	dire	a	dire	a	VERB	ADP
"(""cos'_cos'_PRON"", 'è_essere_AUX')"	6	cos'è	cos'	è	cos'	essere	PRON	AUX
"('per_per_ADP', ""l'_il_DET"")"	6	per l'	per	l'	per	il	ADP	DET
('che_che_SCONJ', 'lui_lui_PRON')	6	che lui	che	lui	che	lui	SCONJ	PRON
('di_di_ADP', 'telefono_telefono_NOUN')	6	di telefono	di	telefono	di	telefono	ADP	NOUN
('casa_casa_NOUN', 'per_per_ADP')	6	casa per	casa	per	casa	per	NOUN	ADP
('ad_a_ADP', 'andare_andare_VERB')	6	ad andare	ad	andare	a	andare	ADP	VERB
('a_a_ADP', 'letto_letto_NOUN')	6	andato a letto	a	letto	a	letto	ADP	NOUN
('voi_voi_PRON', 'avete_avere_AUX')	6	voi avete	voi	avete	voi	avere	PRON	AUX
('è_essere_AUX', 'morto_morire_VERB')	6	è morto	è	morto	essere	morire	AUX	VERB
('hai_avere_AUX', 'mai_mai_ADV')	6	hai mai	hai	mai	avere	mai	AUX	ADV
('ti_ti_PRON', 'piace_piacere_VERB')	6	ti piace	ti	piace	ti	piacere	PRON	VERB
('che_che_SCONJ', 'la_il_DET')	6	che la	che	la	che	il	SCONJ	DET
('in_in_ADP', 'prestito_prestito_NOUN')	6	in prestito	in	prestito	in	prestito	ADP	NOUN
('mia_mio_DET', 'moglie_moglie_NOUN')	6	mia moglie	mia	moglie	mio	moglie	DET	NOUN
('che_che_SCONJ', 'la_la_PRON')	6	che la	che	la	che	la	SCONJ	PRON
('ha_avere_VERB', 'dei_di_ADP')	6	ha dei	ha	dei	avere	di	VERB	ADP
