code	type	duration	participants-number	participants	participants-relationship	moderator	topic	year	collection-point
TOA3002	free-conversation	00:12:22	2	TO029;TO035	symmetric	no	free	2018	TO
TOA3003	free-conversation	00:26:41	3	TO029;TO036;TO037	symmetric	no	free	2018	TO
TOA3004	free-conversation	00:34:49	4	TO031;TO038;TO039;TO040	symmetric	no	free	2018	TO
TOA3005	free-conversation	00:31:26	2	TO030;T0032	symmetric	no	free	2018	TO
TOA3006	free-conversation	00:21:21	2	TO030;TO054	symmetric	no	free	2018	TO
TOA3007	free-conversation	00:08:10	3	TO048;TO049;TO050	symmetric	no	free	2018	TO
TOA3008	free-conversation	01:31:46	4	TO048;TO050;TO051;TO052	symmetric	no	free	2018	TO
TOA3009	free-conversation	00:22:29	3	TO048;TO052;TO053	symmetric	no	free	2018	TO
TOA3010	free-conversation	00:27:13	2	TO085;TO086	symmetric	no	free	2018	TO
TOA3011	free-conversation	00:23:54	4	TO085;TO086;TO087;TO088	symmetric	no	free	2019	TO
TOA3012	free-conversation	00:18:02	4	TO085;TO089;TO090;TO091	symmetric	no	free	2019	TO
TOA3013	free-conversation	00:19:19	4	TO085;TO092;TO093;TO094	symmetric	no	free	2019	TO
TOA3014	free-conversation	00:13:06	3	TO085;TO091;TO095	symmetric	no	free	2019	TO
TOC1001	exam	00:25:01	2	TO002;TO003	asymmetric	yes	fixed	2018	TO
TOC1002	exam	00:20:06	2	TO006;TO007	asymmetric	yes	fixed	2018	TO
TOC1003	exam	00:17:47	2	TO006;TO008	asymmetric	yes	fixed	2018	TO
TOC1004	exam	01:08:11	3	TO018;TO019;TO020	asymmetric	yes	fixed	2018	TO
TOC1005	exam	00:24:56	2	TO024;TO021	asymmetric	yes	fixed	2018	TO
TOC1006	exam	00:13:52	2	TO024;TO022	asymmetric	yes	fixed	2018	TO
TOC1007	exam	00:20:55	2	TO024;TO023	asymmetric	yes	fixed	2018	TO
TOD1002	lecture	01:29:28	1	TO004	asymmetric	no	fixed	2018	TO
TOD1005	lecture	01:02:06	1	TO017	asymmetric	no	fixed	2018	TO
TOD1005bis	lecture	00:50:44	1	TO017	asymmetric	no	fixed	2018	TO
TOD1008	lecture	01:33:50	1	TO062	asymmetric	no	fixed	2019	TO
TOD1014	lecture	02:53:11	1	TO068	asymmetric	no	fixed	2019	TO
TOD1015	lecture	02:16:58	1	TO069	asymmetric	no	fixed	2019	TO
TOD1016	lecture	01:37:51	1	TO070	asymmetric	no	fixed	2019	TO
TOD1017	lecture	01:41:25	1	TO077	asymmetric	no	fixed	2019	TO
TOD2001	semistructured-interview	00:22:04	2	TO999;TO082	symmetric	yes	fixed	2018	TO
TOD2002	semistructured-interview	00:16:33	2	TO999;TO081	symmetric	yes	fixed	2018	TO
TOD2003	semistructured-interview	00:18:18	2	TO999;TO083	symmetric	yes	fixed	2018	TO
TOD2004	semistructured-interview	00:11:02	2	TO999;TO084	symmetric	yes	fixed	2018	TO
TOD2005	semistructured-interview	00:31:41	2	TO055;TO041	symmetric	yes	fixed	2018	TO
TOD2006	semistructured-interview	00:13:19	2	TO999;TO042	symmetric	yes	fixed	2018	TO
TOD2007	semistructured-interview	00:30:21	2	TO055;TO043	symmetric	yes	fixed	2018	TO
TOD2008	semistructured-interview	00:29:54	2	TO055;TO044	symmetric	yes	fixed	2018	TO
TOD2009	semistructured-interview	00:30:27	2	TO055;TO045	symmetric	yes	fixed	2018	TO
TOD2010	semistructured-interview	00:29:10	2	TO055;TO046	symmetric	yes	fixed	2018	TO
TOD2011	semistructured-interview	00:31:38	2	TO055;TO047	symmetric	yes	fixed	2018	TO
TOD2012	semistructured-interview	00:45:32	2	TO071;TO056	symmetric	yes	fixed	2019	TO
TOD2013	semistructured-interview	01:08:28	3	TO071;TO057;TO058	symmetric	yes	fixed	2019	TO
TOD2014	semistructured-interview	00:27:40	3	TO071;TO059;TO060	symmetric	yes	fixed	2019	TO
TOD2015	semistructured-interview	00:30:52	2	TO071;TO073	symmetric	yes	fixed	2019	TO
TOD2016	semistructured-interview	00:30:39	2	TO071;TO080	symmetric	yes	fixed	2019	TO
