code	occupation	gender	conversations	school-region	age-range
BO100	2-Professionals	M	BOD1007	piemonte	31-35
BO102	2-Professionals	M	BOD1009	estero	31-35
BO103	2-Professionals	M	BOD1010	lazio	51-55
BO104	2-Professionals	F	BOC1005;BOC1007	emilia-romagna	36-40
BO105	0-Students	F	BOC1005	emilia-romagna	21-25
BO112	2-Professionals	F	BOD1011	emilia-romagna	51-55
BO113	0-Students	M	BOD2014	emilia-romagna	21-25
BO114	0-Students	F	BOD2015	veneto	21-25
BO115	0-Students	M	BOA3015;BOD2013;BOD2014;BOD2015	emilia-romagna	21-25
BO117	2-Professionals	F	BOC1008;BOC1009;BOA1025	lombardia	36-40
BO118	0-Students	F	BOD2018	marche	21-25
BO119	0-Students	F	BOD2016;BOD2017;BOD2019	umbria	21-25
BO120	0-Students	M	BOD2016	puglia	26-30
BO121	0-Students	M	BOD2017	abruzzo	21-25
BO122	0-Students	M	BOD2019	umbria	21-25
BO139	0-Students	M	BOA3016;BOA3017;BOA3018	emilia-romagna	21-25
BO140	0-Students	F	BOD2018	marche	26-30
BO141	0-Students	F	BOC1008	emilia-romagna	21-25
BO142	0-Students	F	BOC1009	toscana	21-25
BO143	0-Students	F	BOC1006	N/A	N/A
BO144	0-Students	F	BOC1007	emilia-romagna	21-25
BO145	0-Students	F	BOA3017;BOA3018	emilia-romagna	21-25
BO146	0-Students	M	BOA3017	marche	21-25
BO147	0-Students	M	BOA3017	marche	21-25
BO148	0-Students	F	BOA3016	lombardia	21-25
BO149	0-Students	M	BOA3019	emilia-romagna	21-25
BO150	0-Students	M	BOA3019	emilia-romagna	21-25
BO151	0-Students	M	BOA3019	emilia-romagna	21-25
BO152	0-Students	F	BOA3019;BOA3020	emilia-romagna	21-25
BO153	0-Students	F	BOA3020	emilia-romagna	21-25
BO154	0-Students	M	BOA3020	veneto	21-25
BO155	0-Students	F	BOA3021	emilia-romagna	21-25
BO156	0-Students	M	BOA3021	emilia-romagna	21-25
BO157	0-Students	M	BOA3021	emilia-romagna	21-25
BO158	0-Students	M	BOA3021	emilia-romagna	21-25
T0032	0-Students	M	TOA3005	piemonte	21-25
TO002	2-Professionals	M	TOC1001	toscana	46-50
TO003	0-Students	M	TOC1001	piemonte	21-25
TO004	2-Professionals	M	TOD1002	N/A	N/A
TO006	2-Professionals	M	TOC1002;TOC1003	piemonte	56-60
TO007	0-Students	M	TOC1002	piemonte	21-25
TO008	0-Students	M	TOC1003	piemonte	31-35
TO017	2-Professionals	M	TOD1005;TOD1005bis	piemonte	31-35
TO018	2-Professionals	M	TOC1004	piemonte	61-65
TO019	0-Students	F	TOC1004	sicilia	21-25
TO020	2-Professionals	F	TOC1004	piemonte	41-45
TO021	0-Students	F	TOC1005	piemonte	21-25
TO022	0-Students	F	TOC1006	campania	21-25
TO023	0-Students	M	TOC1007	piemonte	21-25
TO024	2-Professionals	F	TOC1005;TOC1006;TOC1007	piemonte	56-60
TO026	2-Professionals	M	TOA1001;TOA1002	piemonte	41-45
TO027	0-Students	M	TOA1001	piemonte	21-25
TO028	0-Students	F	TOA1002	piemonte	21-25
TO029	0-Students	F	TOA3001;TOA3002;TOA3003	piemonte	21-25
TO030	0-Students	F	TOA3005;TOA3006	liguria	21-25
TO031	0-Students	M	TOA3004	piemonte	21-25
TO033	0-Students	F	TOA3001	piemonte	21-25
TO034	0-Students	F	TOA3001	puglia	26-30
TO035	0-Students	M	TOA3002	piemonte	21-25
TO036	0-Students	F	TOA3003	lombardia	21-25
TO037	0-Students	F	TOA3003	piemonte	21-25
TO038	0-Students	M	TOA3004	piemonte	21-25
TO039	0-Students	M	TOA3004	piemonte	21-25
TO040	0-Students	F	TOA3004	piemonte	21-25
TO041	0-Students	F	TOD2005	piemonte	21-25
TO042	0-Students	M	TOD2006	piemonte	21-25
TO043	0-Students	F	TOD2007	piemonte	21-25
TO044	0-Students	F	TOD2008	piemonte	21-25
TO045	0-Students	F	TOD2009	piemonte	21-25
TO046	0-Students	M	TOD2010	piemonte	21-25
TO047	0-Students	F	TOD2011	piemonte	21-25
TO048	0-Students	F	TOA3007;TOA3008;TOA3009	sicilia	21-25
TO050	0-Students	M	TOA3007;TOA3008	campania	21-25
TO051	0-Students	F	TOA3008	calabria	26-30
TO052	0-Students	M	TOA3008;TOA3009	sicilia	26-30
TO053	0-Students	F	TOA3009	sicilia	21-25
TO054	0-Students	F	TOA3006	N/A	N/A
TO055	0-Students	F	TOD2005;TOD2007;TOD2008;TOD2009;TOD2010;TOD2011	piemonte	21-25
TO056	0-Students	F	TOD2012	piemonte	31-35
TO057	0-Students	F	TOD2013	calabria	26-30
TO058	0-Students	F	TOD2013	lombardia	21-25
TO059	0-Students	F	TOD2014	umbria	21-25
TO060	0-Students	F	TOD2014	marche	21-25
TO061	0-Students	F	TOA1003	valle-d-aosta	21-25
TO062	2-Professionals	F	TOD1008	valle-d-aosta	51-55
TO065	2-Professionals	M	TOA1003	piemonte	51-55
TO068	2-Professionals	F	TOD1014	sicilia	36-40
TO069	2-Professionals	M	TOD1015	calabria	46-50
TO070	2-Professionals	F	TOD1016	piemonte	46-50
TO071	0-Students	M	TOD2012;TOD2013;TOD2014;TOD2015;TOD2016;TOA1003	abruzzo	31-35
TO072	0-Students	F	TOA1004	piemonte	21-25
TO073	0-Students	F	TOD2015;TOA1004;TOD2015	piemonte	21-25
TO074	2-Professionals	M	TOA1004;TOA1006	piemonte	41-45
TO075	2-Professionals	M	TOA1005	friuli-venezia-giulia	41-45
TO076	0-Students	F	TOA1005	liguria	21-25
TO077	2-Professionals	M	TOD1017	piemonte	61-65
TO078	0-Students	F	TOA1006	piemonte	21-25
TO079	0-Students	M	TOA1006	piemonte	21-25
TO080	0-Students	F	TOD2016	lombardia	21-25
TO081	0-Students	F	TOD2002	piemonte	21-25
TO082	0-Students	F	TOD2001	piemonte	21-25
TO083	0-Students	F	TOD2003	piemonte	21-25
TO084	0-Students	F	TOD2004	piemonte	21-25
TO085	0-Students	F	TOA3010;TOA3011;TOA3012;TOA3013;TOA3014	lombardia	21-25
TO086	0-Students	F	TOA3010;TOA3011	piemonte	21-25
TO087	0-Students	F	TOA3011	piemonte	21-25
TO088	0-Students	F	TOA3011	piemonte	21-25
TO089	0-Students	F	TOA3012	piemonte	21-25
TO090	0-Students	F	TOA3012	piemonte	21-25
TO091	0-Students	F	TOA3014;TOA3012	umbria	21-25
TO092	0-Students	F	TOA3013	lombardia	21-25
TO093	0-Students	M	TOA3013	puglia	21-25
TO094	0-Students	F	TOA3013	lombardia	21-25
TO095	0-Students	F	TOA3014	umbria	21-25
TO999	2-Professionals	M	TOD2001;TOD2002;TOD2003;TOD2004;TOD2006;BOD2001;BOA1025;BOD1001	piemonte	26-30
