term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
conoscevamo,false,conoscere,we knew,"knowledge,relationships",indicative,imperfect,1p,n/a,plural,false,,"Noi conoscevamo molti luoghi.","We knew many places."
conoscevate,false,conoscere,you (plural) knew,"knowledge,relationships",indicative,imperfect,2p,n/a,plural,false,,"Voi conoscevate quella famiglia.","You (plural) knew that family."
conoscevano,false,conoscere,they knew,"knowledge,relationships",indicative,imperfect,3p,n/a,plural,false,,"Loro conoscevano la situazione.","They knew the situation."
ho conosciuto,false,conoscere,I have known / I met,"knowledge,relationships",indicative,passato_prossimo,1s,masculine,singular,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Io ho conosciuto molti colleghi.","I have met many colleagues."
ho conosciuto,false,conoscere,I have known / I met,"knowledge,relationships",indicative,passato_prossimo,1s,feminine,singular,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Io ho conosciuto molte colleghe.","I have met many (female) colleagues."
hai conosciuto,false,conoscere,you have known / you met,"knowledge,relationships",indicative,passato_prossimo,2s,masculine,singular,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Hai conosciuto Marco?","Have you met Marco?"
hai conosciuto,false,conoscere,you have known / you met,"knowledge,relationships",indicative,passato_prossimo,2s,feminine,singular,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Hai conosciuto Maria?","Have you met Maria?"
ha conosciuto,false,conoscere,he/she/it has known,"knowledge,relationships",indicative,passato_prossimo,3s,masculine,singular,true,uses auxiliary 'avere'; past participle normally does not agree with subject; also 'you (formal)',"Lui ha conosciuto la verità.","He has discovered/learned the truth."
ha conosciuto,false,conoscere,she/you (formal) has known,"knowledge,relationships",indicative,passato_prossimo,3s,feminine,singular,true,uses auxiliary 'avere'; past participle normally does not agree with subject; also 'you (formal)',"Lei ha conosciuto il dottore.","She/You (formal) have met the doctor."
abbiamo conosciuto,false,conoscere,we have known / we met,"knowledge,relationships",indicative,passato_prossimo,1p,masculine,plural,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Noi abbiamo conosciuto molti posti.","We have visited/met many places."
abbiamo conosciuto,false,conoscere,we have known / we met,"knowledge,relationships",indicative,passato_prossimo,1p,feminine,plural,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Noi abbiamo conosciuto molte persone.","We have met many people."
avete conosciuto,false,conoscere,you (plural) have known / you met,"knowledge,relationships",indicative,passato_prossimo,2p,masculine,plural,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Voi avete conosciuto gli attori?","Have you (plural) met the actors?"
avete conosciuto,false,conoscere,you (plural) have known / you met,"knowledge,relationships",indicative,passato_prossimo,2p,feminine,plural,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Voi avete conosciuto le musiciste?","Have you (plural) met the (female) musicians?"
hanno conosciuto,false,conoscere,they have known / they met,"knowledge,relationships",indicative,passato_prossimo,3p,masculine,plural,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Loro hanno conosciuto molti colleghi.","They have met many colleagues."
hanno conosciuto,false,conoscere,they have known / they met,"knowledge,relationships",indicative,passato_prossimo,3p,feminine,plural,true,uses auxiliary 'avere'; past participle normally does not agree with subject,"Loro hanno conosciuto molte colleghe.","They have met many (female) colleagues."
