term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
ho trovato,false,trovare,I have found / I found,"finding,location",indicative,passato_prossimo,1s,feminine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject,"Io ho trovato la borsa.","I have found the handbag."
hai trovato,false,trovare,you have found / you found,"finding,location",indicative,passato_prossimo,2s,masculine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject,"Hai trovato le chiavi?","Did you find the keys?"
hai trovato,false,trovare,you have found / you found,"finding,location",indicative,passato_prossimo,2s,feminine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject,"Hai trovato la tua spilla?","Did you find your pin?"
ha trovato,false,trovare,he/she has found / he/she found,"finding,location",indicative,passato_prossimo,3s,masculine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject; also 'you (formal)',"Lui ha trovato la soluzione.","He has found the solution."
ha trovato,false,trovare,he/she has found / he/she found,"finding,location",indicative,passato_prossimo,3s,feminine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject; also 'you (formal)',"Lei ha trovato un lavoro.","She has found a job."
abbiamo trovato,false,trovare,we have found / we found,"finding,location",indicative,passato_prossimo,1p,masculine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Noi abbiamo trovato i documenti.","We have found the documents."
abbiamo trovato,false,trovare,we have found / we found,"finding,location",indicative,passato_prossimo,1p,feminine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Noi abbiamo trovato le borse.","We have found the bags."
avete trovato,false,trovare,you (plural) have found / you (plural) found,"finding,location",indicative,passato_prossimo,2p,masculine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Voi avete trovato i biglietti?","Have you (pl.) found the tickets?"
avete trovato,false,trovare,you (plural) have found / you (plural) found,"finding,location",indicative,passato_prossimo,2p,feminine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Voi avete trovato le ricevute?","Have you (pl.) found the receipts?"
hanno trovato,false,trovare,they have found / they found,"finding,location",indicative,passato_prossimo,3p,masculine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Loro hanno trovato i soldi.","They have found the money."
hanno trovato,false,trovare,they have found / they found,"finding,location",indicative,passato_prossimo,3p,feminine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Loro hanno trovato le chiavi.","They have found the keys."
ho trovato,false,trovare,I have found / I found,"finding,location",indicative,passato_prossimo,1s,masculine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject,"Ho trovato un vecchio diario.","I found an old diary."
ho trovato,false,trovare,I have found / I found,"finding,location",indicative,passato_prossimo,1s,feminine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject,"Ho trovato una vecchia foto.","I found an old photo."
hai trovato,false,trovare,you have found / you found,"finding,location",indicative,passato_prossimo,2s,masculine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject,"Hai trovato il documento?","Did you find the document?"
hai trovato,false,trovare,you have found / you found,"finding,location",indicative,passato_prossimo,2s,feminine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject,"Hai trovato la chiave di casa?","Did you find the house key?"
ha trovato,false,trovare,he/she has found / he/she found,"finding,location",indicative,passato_prossimo,3s,masculine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject; also 'you (formal)',"Marco ha trovato il regalo.","Marco has found the gift."
ha trovato,false,trovare,he/she has found / he/she found,"finding,location",indicative,passato_prossimo,3s,feminine,singular,true,used with auxiliary 'avere'; past participle does not agree with subject; also 'you (formal)',"La signora ha trovato il suo ombrello.","The lady has found her umbrella."
abbiamo trovato,false,trovare,we have found / we found,"finding,location",indicative,passato_prossimo,1p,masculine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Abbiamo trovato un accordo.","We have found an agreement."
abbiamo trovato,false,trovare,we have found / we found,"finding,location",indicative,passato_prossimo,1p,feminine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Abbiamo trovato le informazioni richieste.","We have found the requested information."
avete trovato,false,trovare,you (plural) have found / you (plural) found,"finding,location",indicative,passato_prossimo,2p,masculine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Avete trovato i risultati?","Have you (pl.) found the results?"
avete trovato,false,trovare,you (plural) have found / you (plural) found,"finding,location",indicative,passato_prossimo,2p,feminine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Avete trovato le vostre borse?","Have you (pl.) found your bags?"
hanno trovato,false,trovare,they have found / they found,"finding,location",indicative,passato_prossimo,3p,masculine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Hanno trovato i risultati dell'esame.","They have found the exam results."
hanno trovato,false,trovare,they have found / they found,"finding,location",indicative,passato_prossimo,3p,feminine,plural,true,used with auxiliary 'avere'; past participle does not agree with subject,"Hanno trovato le soluzioni al problema.","They have found the solutions to the problem."
