word,expected_lemma,expected_pos,sentence,sentence_en,predicted_lemma,predicted_pos
volavamo,volare,VERB,Durante il corso volavamo ogni weekend.,During the course we used to fly every weekend.,volare,VERB
volavate,volare,VERB,Ieri a quest'ora volavate sopra il mare.,At this time yesterday you (pl.) were flying over the sea.,volare,VERB
volavano,volare,VERB,Gli uccelli volavano bassi prima della pioggia.,The birds were flying low before the rain.,volare,VERB
volai,volare,VERB,Quel giorno volai per la prima volta.,That day I flew for the first time.,volare,VERB
volava,volare,VERB,Il drone volava instabile.,The drone was flying unstably.,volare,VERB
volò,volare,VERB,Il gabbiano volò via.,The seagull flew away.,volare,VERB
volassi,volare,VERB,Credevo che volassi più spesso.,I thought you flew more often.,volare,VERB
volassi,volare,VERB,"Se volassi, verrei da te.","If I flew, I would come to you.",volare,VERB
volasti,volare,VERB,Dopo l'esame volasti a Madrid.,After the exam you flew to Madrid.,volasto,ADJ
volerete,volare,VERB,A che ora volerete domani?,At what time will you (pl.) fly tomorrow?,volere,VERB
voleremo,volare,VERB,A giugno voleremo di notte.,In June we will fly at night.,volere,VERB
voleranno,volare,VERB,Con il caldo voleranno più in alto.,With the heat they will fly higher.,volere,VERB
volerai,volare,VERB,"Quando volerai, porta i documenti.","When you will fly, bring the documents.",volere,VERB
volerò,volare,VERB,Domani volerò a Cagliari.,Tomorrow I will fly to Cagliari.,volere,VERB
volarono,volare,VERB,"Appena aprì la gabbia, volarono via.","As soon as he opened the cage, they flew away.",volare,VERB
volaste,volare,VERB,In primavera volaste spesso.,In spring you (pl.) flew often.,volasto,ADJ
volammo,volare,VERB,Con il club volammo fino alle Alpi.,With the club we flew as far as the Alps.,volere,VERB
volerà,volare,VERB,"Se il vento cala, il deltaplano volerà meglio.","If the wind drops, the hang glider will fly better.",volere,VERB
voleresti,volare,VERB,"Se potessi, voleresti ogni giorno.","If you could, you would fly every day.",volere,VERB
volate,volata,NOUN,Le volate in bici sono spettacolari.,The sprints in cycling are spectacular.,volata,NOUN
volata,volata,NOUN,Facciamo una volata al mare e torniamo.,Let's make a quick dash to the sea and come back.,volata,NOUN
volate,volata,NOUN,Le volate in pista sono emozionanti.,The sprints on the track are exciting.,volata,NOUN
volatore,volatore,NOUN,Il pipistrello è un volatore abilissimo.,The bat is a very skilled flyer.,volatore,NOUN
volatori,volatore,NOUN,Gli scoiattoli volatori planano tra gli alberi.,Flying squirrels glide among the trees.,volatore,ADJ
volatrice,volatrice,NOUN,È una volatrice esperta di alianti.,She is an expert glider pilot.,volatrice,NOUN
volatrici,volatrice,NOUN,Le volatrici del club hanno gareggiato ieri.,The female flyers of the club competed yesterday.,volatore,NOUN
voli,volo,NOUN,I voli notturni sono più economici.,Night flights are cheaper.,volo,NOUN
volo,volo,NOUN,Il volo è in orario.,The flight is on time.,volo,NOUN
