term_italian,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
aggiunti,aggiunto,added,adj,added (masculine plural),"quality,modification",,,m,p,,,False,False,False,,,,,from verb aggiungere,I costi aggiunti sono inclusi.,The added costs are included.,21cb31d5639d6a459f25a9fc93149fb90a0aedbbcb242d702693b7f002af9b6a,ab9b85bb4b20d62af9c385a72471fe7566b1b8c6b9d1586b7db2b84d07d1ce6e
aggiunte,aggiunto,added,adj,added (feminine plural),"quality,modification",,,f,p,,,False,False,False,,,,,from verb aggiungere,Le spese aggiunte sono minime.,The added expenses are minimal.,11e49edf14bb6f542e5de1bc081c5a6f992f318f8ebdbcedd6b61b9d43ffbdf4,77014bf905b74f76f3e8ad6618ed8f9f6523043dcdbd8b5c1889fc58a5fb2895
alto,alto,tall/high,adj,tall/high (masculine),"description,size",,,m,s,,,False,False,False,,,,,means 'tall' for people; 'high' for objects,Lui è alto.,He is tall.,99fbb561c60b2d1c036c52b8ea27c88ff759d18524cc53f0841aa8479eb4d45e,1fb5107b2b6b18a8ece3ee433514ef8c9bdf1be86f11285ebe65c900ce592401
alta,alto,tall/high,adj,tall/high (feminine),"description,size",,,f,s,,,False,False,False,,,,,means 'tall' for people; 'high' for objects,La montagna è alta.,The mountain is high.,8fab595ad7520cd857b1ac34cbc3faf2a9d72375731a03327c0963550e5077e2,4d0ea74e3d2c71943e08b4bd3721469f35faf9300c546850f69af5849d9fcd24
alti,alto,tall/high,adj,tall/high (masculine plural),"description,size",,,m,p,,,False,False,False,,,,,means 'tall' for people; 'high' for objects,I palazzi sono alti.,The buildings are tall.,73420c5ba7882c38c7b4ecea74541df5f11b71c8db5d05eea915b1f4e546cc0c,6136d2dd5ba3d9e13141fcdec9df0437b5d8f1a734bcf9fc1aca2f2c11198eb0
alte,alto,tall/high,adj,tall/high (feminine plural),"description,size",,,f,p,,,False,False,False,,,,,means 'tall' for people; 'high' for objects,Le ragazze sono alte.,The girls are tall.,e50180ab525b8ef33fe6d9ebf344a9a411c584de82d845df97141248faee7fc9,ad7ed032bb9d5a08e786a3b045387cb4096378dfd5ba6b67716c84b99c1663db
altro,altro,other,adj,other (masculine),"core,quantity",,,m,s,,,False,False,False,,,,,,Prendo un altro caffè.,I am having another coffee.,e706a75b7ecf926cde61106f9f0d140671f032eebdbe446e22e0171024301d03,db853e333eb8ddf34c3176a930b6d2e1236e44631f63cfc5506b33849fb71e00
altra,altro,other,adj,other (feminine),"core,quantity",,,f,s,,,False,False,False,,,,,,Porti altra acqua per favore.,Bring some more water please.,8b46fce3d70ecd48f1cb98e7726ac8fcd40d57cf19814541c92ecf0217246b67,9c498fd7dd492a85f76e9bc31f7af6e30dbef7be49fe60dea12aeb9a0f7ee50c
altri,altro,other,adj,other (masculine plural),"core,quantity",,,m,p,,,False,False,False,,,,,,Ci sono altri problemi.,There are other problems.,6f5dc6909984121d78f37ed9a1b478d73daac15a719dcd87b47b42025b6ad7f5,cdc19d5925a143693abaa8fb8eac6de1ceab8467e0e5b17a9d2eb9c790bca2df
altre,altro,other,adj,other (feminine plural),"core,quantity",,,f,p,,,False,False,False,,,,,,Ho letto altre storie.,I have read other stories.,42fc3932266bfbbfb84062f662749ec2db805f0178ff87e58979a56a8566b20b,44e21faec008513f40db45481630dd32cec191c27f6a44e0e118e9b6340495ff
anziano,anziano,elderly,adj,elderly (masculine),"people,age",,,m,s,,,False,False,False,,,,,,Mio nonno è anziano.,My grandfather is elderly.,79458743c1e3a915e3bbe3ee3d643a34f24be9dfc1670e7020b1fcdd1011a3bc,7a80753dfc54a024cc25f1a214e9066524be1877d0924ac139bddd2160460e23
anziana,anziano,elderly,adj,elderly (feminine),"people,age",,,f,s,,,False,False,False,,,,,,La vicina è anziana.,The neighbor is elderly.,7a8232d05c0a99734a57ea29452335b9f251fb5633a2433251af07e730581349,e51a9b2d2ec48d29bb7b5261ca765537da43419e58ec7257ec052b596848769a
anziani,anziano,elderly,adj,elderly (masculine plural),"people,age",,,m,p,,,False,False,False,,,,,,I medici anziani lavorano ancora.,The elderly doctors still work.,e923ce72e24331c0d9d19bd50ec99be14a4844b1f12e3e9fcca2f4af66a6e634,c35fe4a9d0b4bbbd2ab97f0357609907bc1726ed2102fc6fdf923b42465c34cb
anziane,anziano,elderly,adj,elderly (feminine plural),"people,age",,,f,p,,,False,False,False,,,,,,Le insegnanti anziane sono gentili.,The elderly female teachers are kind.,bf507dc546f01560b851eb0ecc509956e2b3ce2e0d83f4000594066ea2c7ae30,e54c8f8d47310c545789f490b6d294dff79b1d77d0a59d07e4ce01db95ae9fee
arrestato,arrestato,arrested,adj,arrested (masculine),"law,description",,,m,s,,,False,False,False,,,,,,Un uomo arrestato è stanco.,An arrested man is tired.,0bc50a712f19783e82243afd73db62da91cfef0ea4108f86663f2612bdae2984,0701fd0339b12bbef68566b8e53113a75fe5de50aa75feb71d7ec492ab18c26c
arrestata,arrestato,arrested,adj,arrested (feminine),"law,description",,,f,s,,,False,False,False,,,,,,Una donna arrestata piange.,An arrested woman is crying.,d58ab05e742114330223c0f48ccb138d5c7011194504408a6c7f40e61c85089d,1cb0189e907b4ecbc2eb3ac0cac8d5db6d8ae90bd173437e8057f0c53223a2cc
arrestati,arrestato,arrested,adj,arrested (masculine plural),"law,description",,,m,p,,,False,False,False,,,,,,I sospetti arrestati parlano.,The arrested suspects speak.,38de02d8c8da0d01ddcbfc45d14f5b43ea8b0c9ea32527d04dbd4a00324a806e,690f82fa19b823999fa06d25810693ac4e1838550d69c8829a2009c211026114
arrestate,arrestato,arrested,adj,arrested (feminine plural),"law,description",,,f,p,,,False,False,False,,,,,,Le persone arrestate attendono.,The arrested people wait.,7acdb4962d2107381f97d2844dc568ecbddedc5202e2c8483560e7282c2d5e2f,7578efe24a6ad4a9f008556fe47424813a41836dc0415d0efb114c2cca9a7da4
atterrito,atterrito,terrified,adj,terrified (masculine),"emotion,quality",,,m,s,,,False,False,False,,,,,from verb atterrire,Sono atterrito.,I am terrified.,7616fbcbf92b42bf686284738952547f4e61e0d242ce0bc0949e49e0d5216015,63a4fa78e9114bf78021f5a1018580e810169871d640706e7d45d99e8b7d8208
atterrita,atterrito,terrified,adj,terrified (feminine),"emotion,quality",,,f,s,,,False,False,False,,,,,from verb atterrire,Sono atterrita.,I am terrified.,8c898fb80359d9ac9e72e9f13a17cc20c23067b96429b17cd74785af357d4830,e1b8dc0ee913995246310271202d7dee238c2727cab6e894f23446115dccb723
atterriti,atterrito,terrified,adj,terrified (masculine plural),"emotion,quality",,,m,p,,,False,False,False,,,,,from verb atterrire,Siamo atterriti.,We are terrified.,e9962bd0b392955794bf2980d718c10bf3b0eb551fdf0e7f1e84bf249258bae0,77cb874290d0917c25a4e9bce1d05c7479c4a5016692d214ab78b67fad2fb1e5
atterrite,atterrito,terrified,adj,terrified (feminine plural),"emotion,quality",,,f,p,,,False,False,False,,,,,from verb atterrire,Le ragazze sono atterrite.,The girls are terrified.,1faa2bee45ca12bed234e403678f3e1961ee311f7aa5ec4f00da088fea98aba8,a1fb7db949c1ef73c7658d58f6fee061de6f53559203dad394bd0a344917aa58
basso,basso,low/short,adj,low/short (masculine),"quality,description",,,m,s,,,False,False,False,,,,,can describe height or level,Il tavolo è basso.,The table is low.,c5efbe6f21324109d84548049f46b64dd61b73b2dcccf65359e5e0a1b81166a0,4639d218d325ad7abf14b8d30075b86728e490c049cf22ff6b35d4e5fbbbf8cd
bassa,basso,low/short,adj,low/short (feminine),"quality,description",,,f,s,,,False,False,False,,,,,,La sedia è bassa.,The chair is low.,73883444508873851fe24769983bd1d147d456502a259560f221cdbf9e031769,a9b421a75e20dc47027cd9cc6fca4b178b4a02c314237eeb90703439b467fd9b
bassi,basso,low/short,adj,low/short (masculine plural),"quality,description",,,m,p,,,False,False,False,,,,,,I soffitti sono bassi.,The ceilings are low.,78f44d579aa5675347cc7a9ba6579db21e5c43fb2cd798b2b046faa5010c5b09,6cb0710d63ccd9b7e1f3a04c94c8fe0767908c7bf36c1cc8e89423d2f4cc07ef
basse,basso,low/short,adj,low/short (feminine plural),"quality,description",,,f,p,,,False,False,False,,,,,,Le sedie sono basse.,The chairs are low.,503ba28fd5c195ac997e6614b12890b05804712a76766f884caa0854132b0a82,60a54f0094387640ffc62317bf84b68778a45f11802a26ee69daed47b46df6a7
bello,bello,beautiful/nice,adj,beautiful/nice (masculine),"quality,appearance",,,m,s,,,False,False,False,,,,,"also used attributively before s+consonant, z, gn, ps, x",Il quadro è bello.,The painting is beautiful.,5d92c75c1bbe6274d2a66d4ac78bb9a95f74da05115546a9ad656075499d893e,4c40ca8f3cf92ff9778a2c7f337e0a218e59b44f4e4eabef4a527cd347b3f781
bella,bello,beautiful/nice,adj,beautiful/nice (feminine),"quality,appearance",,,f,s,,,False,False,False,,,,,,La città è bella.,The city is beautiful.,6a57f15e735a16ce9761127b1b64bb0c5ebf2d3ccb3ad08a6c570f7552cb6459,4f8c52de6ef4ed20046602ca81131eed60433aaa54541bbdd89c87a5f2876c3d
belli,bello,beautiful/nice,adj,beautiful/nice (masculine plural),"quality,appearance",,,m,p,,,False,False,False,,,,,,I fiori sono belli.,The flowers are beautiful.,e9683cf2f6bf6eb487774dce7acd07cfc8ec5912123a00559ab8355fd098aeb5,fe5a4ba8f475781342c4506db629101b76ae3ea188a38494281a43c69c3d0a75
belle,bello,beautiful/nice,adj,beautiful/nice (feminine plural),"quality,appearance",,,f,p,,,False,False,False,,,,,,Le montagne sono belle.,The mountains are beautiful.,01e84d427ab34e54f9dc957847f0ca171cc511e2730131828145a89df5f16c2b,9cebabad9d61a7b132e39b812b84c015c8241ca21b64164e83e9e46471060563
bel,bello,beautiful/nice,adj,beautiful/nice (masculine),"quality,appearance",,,m,s,,,False,False,False,,,,,used before most consonants (attributive),È un bel film.,It is a nice movie.,8547391bd520384530c08895d98cb66c2a927d1c4ee57744da3effda6b689242,4c40ca8f3cf92ff9778a2c7f337e0a218e59b44f4e4eabef4a527cd347b3f781
bell',bello,beautiful/nice,adj,beautiful/nice (masculine),"quality,appearance",,,m,s,,,False,False,False,,,,,elided form before a vowel (attributive),Che bell'uomo!,What a handsome man!,d630f2e802c7e072b86a3d560232538c7e0b3c0b94e35cf762fae015b8d44350,4c40ca8f3cf92ff9778a2c7f337e0a218e59b44f4e4eabef4a527cd347b3f781
bell',bello,beautiful/nice,adj,beautiful/nice (feminine),"quality,appearance",,,f,s,,,False,False,False,,,,,elided form before a vowel (attributive),Che bell'amica!,What a beautiful friend!,d630f2e802c7e072b86a3d560232538c7e0b3c0b94e35cf762fae015b8d44350,4f8c52de6ef4ed20046602ca81131eed60433aaa54541bbdd89c87a5f2876c3d
bei,bello,beautiful/nice,adj,beautiful/nice (masculine plural),"quality,appearance",,,m,p,,,False,False,False,,,,,used before most consonants (attributive),Che bei posti!,What beautiful places!,1eba23fc2fafe5e99d93c79768e4a1fd040346b1f6f0506b9c3232d01ca555e5,fe5a4ba8f475781342c4506db629101b76ae3ea188a38494281a43c69c3d0a75
begli,bello,beautiful/nice,adj,beautiful/nice (masculine plural),"quality,appearance",,,m,p,,,False,False,False,,,,,"used before vowels or s+consonant, z, gn, ps, x (attributive)",Che begli occhi!,What beautiful eyes!,bed690b9d4049c67c49ee0fd9945431b3dfe283a8cb31fe210cb71fd0cd899da,fe5a4ba8f475781342c4506db629101b76ae3ea188a38494281a43c69c3d0a75
buono,buono,good,adj,good (masculine),"manner,quality",,,m,s,,,False,False,False,,,,,,Il caffè è buono.,The coffee is good.,b088739ebaa5901d4d35a2187d037f5697446a4570ebb2619624a34cc5aa7d2e,a5358ce9afe3201851761c865f7ddc4529d9fe6f609751dbd13308b207e22bac
buon,buono,good,adj,good (masculine),"manner,quality",,,m,s,,,False,False,False,,,,,apocopated form before masculine singular nouns,Buon viaggio!,Have a good trip!,8509c4e8ab328e749931a9c536a2725dae2ab3e43dd97b8cd87e90bf629f660e,a5358ce9afe3201851761c865f7ddc4529d9fe6f609751dbd13308b207e22bac
buona,buono,good,adj,good (feminine),"manner,quality",,,f,s,,,False,False,False,,,,,,La pizza è buona.,The pizza is good.,ecc05756948bea7ecbd585b4d1f51b71ed60d6907432b369717ed144c777cfc4,44c5ab159cb74db15b690981f3d0bb630d702ab45a6a91585b3e9be357fff0ca
buoni,buono,good,adj,good (masculine plural),"manner,quality",,,m,p,,,False,False,False,,,,,,I biscotti sono buoni.,The cookies are good.,6ba596452032286b5270e30fd5b11f7c7daff6d90c9cc203724f54f1eb57c2dc,a7409453a9f8605805943bb5f2ecf744d7ddc56d09c52e9fdcc5bf3a70ef3088
buone,buono,good,adj,good (feminine plural),"manner,quality",,,f,p,,,False,False,False,,,,,,Le idee sono buone.,The ideas are good.,c574c8fa5e9d719b658178592e59dcac9262ba26237f14213f06327b848efe54,9bfdaacb4c5db28a73551c6b2e71c3df7e35d22faa77b87624610c75010cb877
certo,certo,sure/certain,adj,certain (masculine),"quality,certainty",,,m,s,,,False,False,False,,,,,,Sono certo di riuscirci.,I am certain I can do it.,cf5cfa65349b7ea16ca1f41d6430fe31b1fbe2270b11ea8bae53edfe5db15099,5b4afc3a99956198914fb7cea6d36b59fd099a963a722f757217b1b327edf2ff
certa,certo,sure/certain,adj,certain (feminine),"quality,certainty",,,f,s,,,False,False,False,,,,,,Sono certa di farcela.,I am certain I will manage.,d3acbc02842133b0a7b28422d8f22bae6b754330c5b8fc4dc01a8309572180ac,297bc05f9f72dec6c36aaf56179e7e005e95a74742d2973efe98aa4c8c4bdc7f
certi,certo,sure/certain,adj,certain (masculine plural),"quality,certainty",,,m,p,,,False,False,False,,,,,,Ho certi dubbi.,I have certain doubts.,c06fa912b3c116fadcbeabb3cb3677b220ad4100ce6dcf7b7cf3e2e9e43eb1e8,2bf2e2f4511f9837c41a481138a34abe9b000a6433849f06b1790a1709f8b0b0
certe,certo,sure/certain,adj,certain (feminine plural),"quality,certainty",,,f,p,,,False,False,False,,,,,,Ci sono certe cose che non capisco.,There are certain things I do not understand.,743ded4dd5f4a688e7b9735506d4e9064a0153d7c2af118a2d202f4b5d71548f,033b42eeff3fc17ba3ac5a4dfdacb653803eae3d1f5dedb8ae80fad825ad5479
chiamato,chiamato,called,adj,called (masculine),"description,state",,,m,s,,,False,False,False,,,,,past participle used adjectivally,Il numero chiamato è occupato.,The called number is busy.,a0598a0f34cd9087f357fd398f87867d735aa678f03acee1260723edfd63380c,0a9c983955bc428ce4115da155e2d0f36d6bfbed19def4ad67beb9a6b9189058
chiamata,chiamato,called,adj,called (feminine),"description,state",,,f,s,,,False,False,False,,,,,past participle used adjectivally,La persona chiamata non risponde.,The called person does not answer.,656ead701a984ab4372cd9e105022a64ff39245c405ad64a0fa361f699264b3e,5e50e8558809d1be111e8d8f0a87b40a7781ca441e05dd03bb0df792af067e01
chiamati,chiamato,called,adj,called (masculine plural),"description,state",,,m,p,,,False,False,False,,,,,past participle used adjectivally,I clienti chiamati hanno confermato.,The called customers have confirmed.,833e43698d0a02af29751f5288d4ef41c74a562d204be9b5f08f643c790c60f9,140330bfda7baae3608db48dfc86b7de913997a4a4a0f1741af67eae789ff3bf
chiamate,chiamato,called,adj,called (feminine plural),"description,state",,,f,p,,,False,False,False,,,,,past participle used adjectivally,Le persone chiamate sono arrivate.,The called people have arrived.,bc2f783130be7d133a9fb1b50926ca2fd9c4ac5b50b77bd310a9c6c4cf3e6a1b,3993be6bc21723fa08e515bb48b52efbca391e3ce3c3b01c01791bdeb441f0f1
completo,completo,complete/suit,adj,complete (masculine),"quality,clothing",,,m,s,,,False,False,False,,,,,variable adjective,Il documento è completo.,The document is complete.,45b18589f2aba8be3276aeaa6ab4eb07eb8cc3f72c60b5ed4aa7d4b7b995a78c,8df9195c23f9988038e0185b0812e102d84b035aa0533fad1a3320c55c5f87d2
completa,completo,complete/suit,adj,complete (feminine),"quality,clothing",,,f,s,,,False,False,False,,,,,,La lista è completa.,The list is complete.,9f4f480558ff23dcfecf2c6fe199acb960c61ea84e2bf924e26ba41d43df21d8,4ebf3683fbe808d1d15af711a3a71dd4046370f992d034342006c0ab002d2352
completi,completo,complete/suit,adj,complete (masculine plural),"quality,clothing",,,m,p,,,False,False,False,,,,,,I moduli sono completi.,The forms are complete.,00c224c17bcdaf81436a3af48d510f35ffca7dc66a5403cb8c5ec16c276c8a14,7c27a5c9b81422e1b849c786aef9e457f3fb271c4a51b7357ef20b5ccdca7d1e
complete,completo,complete/suit,adj,complete (feminine plural),"quality,clothing",,,f,p,,,False,False,False,,,,,,Le tabelle sono complete.,The tables are complete.,1aa872b8c1fed5612743bc476810736da4c6e2edbb00c60c35e05dda549dc159,d2460b847e7fc5752d26cc5e4003c67f92c4c15a77767532bd3183a6083e034b
corso,corso,Corsican,adj,Corsican (masculine),"people,geography",,,m,s,,,False,False,False,,,,,,Un piatto corso è piccante.,A Corsican dish is spicy.,bc9bcebe86d9eb005e5b33f800d412d3df295c5f7770d3dcbb54f5d2df4c9070,d5cc03b29b08208c29a1359c08f6990cdafd53fd0e472f543f8bd748d4dcad3c
corsa,corso,Corsican,adj,Corsican (feminine),"people,geography",,,f,s,,,False,False,False,,,,,,La cucina corsa è saporita.,Corsican cuisine is tasty.,f0b19712bf5b2a0c815cf969547ceb9a414998957147804b28dac9b39f5d8e56,1a546442b7eba07ca27826701fe0667480182aab2c4097cc228349ce422bde7c
corsi,corso,Corsican,adj,Corsican (masculine plural),"people,geography",,,m,p,,,False,False,False,,,,,,I vini corsi sono famosi.,Corsican wines are famous.,0a76f247488d8bed907463c691c4c5195b049b6101205fd6351052409dbdd854,fb11ad3b803b8e0e07b38f75b13ed4e2f30876b2b912ac6e2a8d353dda34db29
corse,corso,Corsican,adj,Corsican (feminine plural),"people,geography",,,f,p,,,False,False,False,,,,,,Le tradizioni corse sono antiche.,Corsican traditions are ancient.,fea4b925eecfb257c80bbe971327ff7462321cf393983b6a879c69869e4a4920,ec15af7a7b2d3668f9a84775ff8eecab6228bb0bd855a4dfddcc7076e3c31a6a
corto,corto,short,adj,short (masculine),"quality,description",,,m,s,,,False,False,False,,,,,,Il viaggio è corto.,The trip is short.,372473a2a6b71bedda73eef7c3843cfb5b5df416505fee6f1e74cd47eb2e9066,54551db88e322f809567f0d3a20a7a09e128539b65a83139bd9519041d98a6ad
corta,corto,short,adj,short (feminine),"quality,description",,,f,s,,,False,False,False,,,,,,La strada è corta.,The road is short.,c822965290bd149c7db23f2811ab84ab23619ba2793741b1a6d3c58358a2bfb7,dc34566c5e3177741405e996a8358c12938ed7697a96638aaea0232613277513
corti,corto,short,adj,short (masculine plural),"quality,description",,,m,p,,,False,False,False,,,,,,I pantaloni sono corti.,The pants are short.,b1fe40ab0e614a87537d4c5e3b1f44f3761c8928c25989a732232d635eeb0cda,69267899d57a90b7487f2d370a0d72d4e1ceff7e725b4c2f874bfdba927f3e12
corte,corto,short,adj,short (feminine plural),"quality,description",,,f,p,,,False,False,False,,,,,,Le gonne sono corte.,The skirts are short.,ed341764afa0421f5b04f051b6acd679dfcaac3155431e30cc35f7ab99c4177c,1698e48736da37fec3573117ad71d728454f852c8667b64c267427dba6c8a216
desolato,desolato,desolate/sorry,adj,desolate/sorry (masculine),"feelings,quality",,,m,s,,,False,False,False,,,,,can mean very sorry in apologies,È un luogo desolato.,It is a desolate place.,bbc51fd0cb171d93d8a10e06d43b4e08120abc60c66f32d96c0195f72783dac7,65048b58561cffc3f2114d3a754ff1ed2c987de9dd44b3527605727b01d3e189
desolata,desolato,desolate/sorry,adj,desolate/sorry (feminine),"feelings,quality",,,f,s,,,False,False,False,,,,,can mean very sorry in apologies,Sono desolata per il ritardo.,I am very sorry for the delay.,b1800557d0726b7ea77505d0d46c7e2caaefda7e39cce0785b7b64babe77f17d,9a88153ce8c9ee128dc8838ba4c6b93ee57e4bf13e248ba0d604ac9b62ebe934
desolati,desolato,desolate/sorry,adj,desolate/sorry (masculine plural),"feelings,quality",,,m,p,,,False,False,False,,,,,can mean very sorry in apologies,Siamo desolati per l'errore.,We are very sorry for the mistake.,5c328db44b1cfd75c90336d2827574fc0d4f7409072b5818b5ed15c33bf979d1,e0582df285ebcaa3c9f13f2b1fc5cfda258e3ca2012c183d33b0801619ac16db
desolate,desolato,desolate/sorry,adj,desolate/sorry (feminine plural),"feelings,quality",,,f,p,,,False,False,False,,,,,can mean very sorry in apologies,Spiagge desolate in inverno.,Desolate beaches in winter.,c4fd5eae8d6b71ae2479cb9998b580378fd20ca979ea0d317c6ce0b5f8e88547,5301e4d967cb408fbdd60d8998558223288af7bbdaa70a36c0f9e921e5c183ee
disabitato,disabitato,uninhabited,adj,uninhabited (masculine),"place,description",,,m,s,,,False,False,False,,,,,,Il villaggio è disabitato.,The village is uninhabited.,d7aef76bb771c65660186f3aa13c317dcc3dee9e9a834815f620cbde4819a6a3,e9edbea81ea27616d7bb2d0a4e382056c192b5277d4174992070ab57cdb51e39
disabitata,disabitato,uninhabited,adj,uninhabited (feminine),"place,description",,,f,s,,,False,False,False,,,,,,La casa è disabitata da anni.,The house has been uninhabited for years.,114f33c3b44e8243b8c73352e71686105406df0704de5b18dd5601490524c2f9,578dc36a23b122fe421f8c7011c9697f106f82f2e637d4f04f43507ef2d14b49
disabitati,disabitato,uninhabited,adj,uninhabited (masculine plural),"place,description",,,m,p,,,False,False,False,,,,,,Quei paesi sono disabitati.,Those towns are uninhabited.,6e8826f2f04b30ef5e62b2762a22ed68c3ecc41f0ecbd1ab89632c96ebfec91c,1652c1ad9141f0f72521a50c3a1747ee9cedea47881c334e85329fdc5586250d
disabitate,disabitato,uninhabited,adj,uninhabited (feminine plural),"place,description",,,f,p,,,False,False,False,,,,,,Le isole sono disabitate.,The islands are uninhabited.,bcc422fb28e2f519bf35b2e80d2616d3d0da999f6b74d5a3c5d50d7f7e002776,9fdcf2b6d160cfa987ca5659dfbe26d8138c0a43667dcf26c71eaaf158dcfa25
elegante,elegante,elegant,adj,elegant (masculine),"appearance,quality",,,m,s,,,False,False,False,,,,,one-ending adjective; same singular for masculine and feminine; plural eleganti,Il vestito è elegante.,The dress is elegant.,1eeb1cdc46dc961d6b7643d82a5ed309e8f02e5c344683bc00fe20b86eb677fd,8507cefac4fc17541e5e89bb234f73d34492d0fef6e2a45830a1f7a8da2d9337
elegante,elegante,elegant,adj,elegant (feminine),"appearance,quality",,,f,s,,,False,False,False,,,,,,La borsa è elegante.,The bag is elegant.,1eeb1cdc46dc961d6b7643d82a5ed309e8f02e5c344683bc00fe20b86eb677fd,9f154e0215e609b7a2501e0b595c71daa094cc360c9ebe1befb6512375423e7b
eleganti,elegante,elegant,adj,elegant (masculine plural),"appearance,quality",,,m,p,,,False,False,False,,,,,,Gli abiti sono eleganti.,The suits are elegant.,f0c6b2dc3f4c58bb98e8f00442da6c43729bb6504c0d599ba048683dcc090705,cfa3429c18f979f895e32e4ef9e7d2b50e7db873ed1b0b82e6ad5a15829d6618
eleganti,elegante,elegant,adj,elegant (feminine plural),"appearance,quality",,,f,p,,,False,False,False,,,,,,Le scarpe sono eleganti.,The shoes are elegant.,f0c6b2dc3f4c58bb98e8f00442da6c43729bb6504c0d599ba048683dcc090705,8d2a6c560c8e3f9c7e8b29d3b9754e9759008c007aab6f655bb4413130d5e256
fino,fino,fine/thin,adj,fine/thin (masculine),"quality,texture",,,m,s,,,False,False,False,,,,,also means refined,Compro sale fino.,I buy fine salt.,2190ad3684835ded8116e7cb8dba726ab4e464f557c089472756d8e45b5598df,d71b12a4476deea5ebfe6c402933119e0db9bf2c4632f7a532e7cca746bcb80c
fina,fino,fine/thin,adj,fine/thin (feminine),"quality,texture",,,f,s,,,False,False,False,,,,,also means refined,È una signora fina.,She is a refined lady.,8a9dbca16c7f23ce3d047d3c93e8e0598e1b0c481d138f26b10ec454c4c1ff38,244a883acb595b00fc9d5665d9e2a4409bd881207008330d4977429b33c49885
