term_italian,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
begli,bello,beautiful/nice,adj,beautiful/nice (masculine plural),"quality,appearance",,,m,p,,,False,False,False,,,,,"used before vowels or s+consonant, z, gn, ps, x (attributive)",Che begli occhi!,What beautiful eyes!,,
buono,buono,good,adj,good (masculine),"manner,quality",,,m,s,,,False,False,False,,,,,,Il caffè è buono.,The coffee is good.,,
buon,buono,good,adj,good (masculine),"manner,quality",,,m,s,,,False,False,False,,,,,apocopated form before masculine singular nouns,Buon viaggio!,Have a good trip!,,
buona,buono,good,adj,good (feminine),"manner,quality",,,f,s,,,False,False,False,,,,,,La pizza è buona.,The pizza is good.,,
buoni,buono,good,adj,good (masculine plural),"manner,quality",,,m,p,,,False,False,False,,,,,,I biscotti sono buoni.,The cookies are good.,,
buone,buono,good,adj,good (feminine plural),"manner,quality",,,f,p,,,False,False,False,,,,,,Le idee sono buone.,The ideas are good.,,
certo,certo,sure/certain,adj,certain (masculine),"quality,certainty",,,m,s,,,False,False,False,,,,,,Sono certo di riuscirci.,I am certain I can do it.,,
certa,certo,sure/certain,adj,certain (feminine),"quality,certainty",,,f,s,,,False,False,False,,,,,,Sono certa di farcela.,I am certain I will manage.,,
certi,certo,sure/certain,adj,certain (masculine plural),"quality,certainty",,,m,p,,,False,False,False,,,,,,Ho certi dubbi.,I have certain doubts.,,
certe,certo,sure/certain,adj,certain (feminine plural),"quality,certainty",,,f,p,,,False,False,False,,,,,,Ci sono certe cose che non capisco.,There are certain things I do not understand.,,
chiamato,chiamato,called,adj,called (masculine),"description,state",,,m,s,,,False,False,False,,,,,past participle used adjectivally,Il numero chiamato è occupato.,The called number is busy.,,
chiamata,chiamato,called,adj,called (feminine),"description,state",,,f,s,,,False,False,False,,,,,past participle used adjectivally,La persona chiamata non risponde.,The called person does not answer.,,
chiamati,chiamato,called,adj,called (masculine plural),"description,state",,,m,p,,,False,False,False,,,,,past participle used adjectivally,I clienti chiamati hanno confermato.,The called customers have confirmed.,,
chiamate,chiamato,called,adj,called (feminine plural),"description,state",,,f,p,,,False,False,False,,,,,past participle used adjectivally,Le persone chiamate sono arrivate.,The called people have arrived.,,
completo,completo,complete/suit,adj,complete (masculine),"quality,clothing",,,m,s,,,False,False,False,,,,,variable adjective,Il documento è completo.,The document is complete.,,
completa,completo,complete/suit,adj,complete (feminine),"quality,clothing",,,f,s,,,False,False,False,,,,,,La lista è completa.,The list is complete.,,
completi,completo,complete/suit,adj,complete (masculine plural),"quality,clothing",,,m,p,,,False,False,False,,,,,,I moduli sono completi.,The forms are complete.,,
complete,completo,complete/suit,adj,complete (feminine plural),"quality,clothing",,,f,p,,,False,False,False,,,,,,Le tabelle sono complete.,The tables are complete.,,
corso,corso,Corsican,adj,Corsican (masculine),"people,geography",,,m,s,,,False,False,False,,,,,,Un piatto corso è piccante.,A Corsican dish is spicy.,,
corsa,corso,Corsican,adj,Corsican (feminine),"people,geography",,,f,s,,,False,False,False,,,,,,La cucina corsa è saporita.,Corsican cuisine is tasty.,,
corsi,corso,Corsican,adj,Corsican (masculine plural),"people,geography",,,m,p,,,False,False,False,,,,,,I vini corsi sono famosi.,Corsican wines are famous.,,
corse,corso,Corsican,adj,Corsican (feminine plural),"people,geography",,,f,p,,,False,False,False,,,,,,Le tradizioni corse sono antiche.,Corsican traditions are ancient.,,
corto,corto,short,adj,short (masculine),"quality,description",,,m,s,,,False,False,False,,,,,,Il viaggio è corto.,The trip is short.,,
corta,corto,short,adj,short (feminine),"quality,description",,,f,s,,,False,False,False,,,,,,La strada è corta.,The road is short.,,
corti,corto,short,adj,short (masculine plural),"quality,description",,,m,p,,,False,False,False,,,,,,I pantaloni sono corti.,The pants are short.,,
corte,corto,short,adj,short (feminine plural),"quality,description",,,f,p,,,False,False,False,,,,,,Le gonne sono corte.,The skirts are short.,,
desolato,desolato,desolate/sorry,adj,desolate/sorry (masculine),"feelings,quality",,,m,s,,,False,False,False,,,,,can mean very sorry in apologies,È un luogo desolato.,It is a desolate place.,,
desolata,desolato,desolate/sorry,adj,desolate/sorry (feminine),"feelings,quality",,,f,s,,,False,False,False,,,,,can mean very sorry in apologies,Sono desolata per il ritardo.,I am very sorry for the delay.,,
desolati,desolato,desolate/sorry,adj,desolate/sorry (masculine plural),"feelings,quality",,,m,p,,,False,False,False,,,,,can mean very sorry in apologies,Siamo desolati per l'errore.,We are very sorry for the mistake.,,
desolate,desolato,desolate/sorry,adj,desolate/sorry (feminine plural),"feelings,quality",,,f,p,,,False,False,False,,,,,can mean very sorry in apologies,Spiagge desolate in inverno.,Desolate beaches in winter.,,
disabitato,disabitato,uninhabited,adj,uninhabited (masculine),"place,description",,,m,s,,,False,False,False,,,,,,Il villaggio è disabitato.,The village is uninhabited.,,
disabitata,disabitato,uninhabited,adj,uninhabited (feminine),"place,description",,,f,s,,,False,False,False,,,,,,La casa è disabitata da anni.,The house has been uninhabited for years.,,
disabitati,disabitato,uninhabited,adj,uninhabited (masculine plural),"place,description",,,m,p,,,False,False,False,,,,,,Quei paesi sono disabitati.,Those towns are uninhabited.,,
disabitate,disabitato,uninhabited,adj,uninhabited (feminine plural),"place,description",,,f,p,,,False,False,False,,,,,,Le isole sono disabitate.,The islands are uninhabited.,,
elegante,elegante,elegant,adj,elegant (masculine),"appearance,quality",,,m,s,,,False,False,False,,,,,one-ending adjective; same singular for masculine and feminine; plural eleganti,Il vestito è elegante.,The dress is elegant.,,
elegante,elegante,elegant,adj,elegant (feminine),"appearance,quality",,,f,s,,,False,False,False,,,,,,La borsa è elegante.,The bag is elegant.,,
eleganti,elegante,elegant,adj,elegant (masculine plural),"appearance,quality",,,m,p,,,False,False,False,,,,,,Gli abiti sono eleganti.,The suits are elegant.,,
eleganti,elegante,elegant,adj,elegant (feminine plural),"appearance,quality",,,f,p,,,False,False,False,,,,,,Le scarpe sono eleganti.,The shoes are elegant.,,
fino,fino,fine/thin,adj,fine/thin (masculine),"quality,texture",,,m,s,,,False,False,False,,,,,also means refined,Compro sale fino.,I buy fine salt.,,
fina,fino,fine/thin,adj,fine/thin (feminine),"quality,texture",,,f,s,,,False,False,False,,,,,also means refined,È una signora fina.,She is a refined lady.,,
fini,fino,fine/thin,adj,fine/thin (masculine plural),"quality,texture",,,m,p,,,False,False,False,,,,,also means refined,Ha gusti fini.,He has refined tastes.,,
fine,fino,fine/thin,adj,fine/thin (feminine plural),"quality,texture",,,f,p,,,False,False,False,,,,,also means refined,Traccio linee fine.,I draw thin lines.,,
freddo,freddo,cold,adj,cold (masculine),"weather,temperature",,,m,s,,,False,False,False,,,,,,Il vento è freddo.,The wind is cold.,,
fredda,freddo,cold,adj,cold (feminine),"weather,temperature",,,f,s,,,False,False,False,,,,,,L'acqua è fredda.,The water is cold.,,
freddi,freddo,cold,adj,cold (masculine plural),"weather,temperature",,,m,p,,,False,False,False,,,,,,I giorni sono freddi.,The days are cold.,,
fredde,freddo,cold,adj,cold (feminine plural),"weather,temperature",,,f,p,,,False,False,False,,,,,,Le notti sono fredde.,The nights are cold.,,
grande,grande,big,adj,big (masculine),"size,quality",,,m,s,,,False,False,False,,,,,base form; short form gran before singular nouns,Il tavolo è grande.,The table is big.,,
grande,grande,big,adj,big (feminine),"size,quality",,,f,s,,,False,False,False,,,,,same form as masculine; short form gran before singular nouns,La casa è grande.,The house is big.,,
grandi,grande,big,adj,big (masculine plural),"size,quality",,,m,p,,,False,False,False,,,,,same plural for masculine and feminine,I tavoli sono grandi.,The tables are big.,,
grandi,grande,big,adj,big (feminine plural),"size,quality",,,f,p,,,False,False,False,,,,,same plural for masculine and feminine,Le case sono grandi.,The houses are big.,,
grandioso,grandioso,magnificent,adj,magnificent (masculine),"manner,quality",,,m,s,,,False,False,False,,,,,variable adjective,È un concerto grandioso.,It is a magnificent concert.,,
grandiosa,grandioso,magnificent,adj,magnificent (feminine),"manner,quality",,,f,s,,,False,False,False,,,,,feminine form,È una festa grandiosa.,It is a magnificent party.,,
grandiosi,grandioso,magnificent,adj,magnificent (masculine plural),"manner,quality",,,m,p,,,False,False,False,,,,,masculine plural form,Sono progetti grandiosi.,They are magnificent projects.,,
grandiose,grandioso,magnificent,adj,magnificent (feminine plural),"manner,quality",,,f,p,,,False,False,False,,,,,feminine plural form,Sono idee grandiose.,They are magnificent ideas.,,
impiccato,impiccato,hanged,adj,hanged (masculine),"crime,people",,,m,s,,,False,False,False,,,,,used adjectivally from past participle,Vedo un quadro con un uomo impiccato.,I see a painting with a hanged man.,,
impiccata,impiccato,hanged,adj,hanged (feminine),"crime,people",,,f,s,,,False,False,False,,,,,,Vedo una donna impiccata nella scena.,I see a hanged woman in the scene.,,
impiccati,impiccato,hanged,adj,hanged (masculine plural),"crime,people",,,m,p,,,False,False,False,,,,,,Mostrano prigionieri impiccati.,They show hanged prisoners.,,
impiccate,impiccato,hanged,adj,hanged (feminine plural),"crime,people",,,f,p,,,False,False,False,,,,,,Parlano di streghe impiccate.,They talk about hanged witches.,,
imponente,imponente,imposing,adj,imposing (masculine),"appearance,quality",,,m,s,,,False,False,False,,,,,two-ending adjective (-e/-i),Il castello imponente domina la valle.,The imposing castle dominates the valley.,,
imponente,imponente,imposing,adj,imposing (feminine),"appearance,quality",,,f,s,,,False,False,False,,,,,,Una montagna imponente appare all'orizzonte.,An imposing mountain appears on the horizon.,,
imponenti,imponente,imposing,adj,imposing (masculine plural),"appearance,quality",,,m,p,,,False,False,False,,,,,,Palazzi imponenti circondano la piazza.,Imposing buildings surround the square.,,
imponenti,imponente,imposing,adj,imposing (feminine plural),"appearance,quality",,,f,p,,,False,False,False,,,,,,Le statue imponenti attirano i turisti.,The imposing statues attract tourists.,,
impopolare,impopolare,unpopular,adj,unpopular (masculine),"opinion,quality",,,m,s,,,False,False,False,,,,,same singular form for both genders,Il piano è impopolare.,The plan is unpopular.,,
impopolare,impopolare,unpopular,adj,unpopular (feminine),"opinion,quality",,,f,s,,,False,False,False,,,,,same singular form for both genders,La misura è impopolare.,The measure is unpopular.,,
impopolari,impopolare,unpopular,adj,unpopular (masculine plural),"opinion,quality",,,m,p,,,False,False,False,,,,,,I tagli sono impopolari.,The cuts are unpopular.,,
impopolari,impopolare,unpopular,adj,unpopular (feminine plural),"opinion,quality",,,f,p,,,False,False,False,,,,,,Le regole sono impopolari.,The rules are unpopular.,,
inchiodato,inchiodato,nailed,adj,nailed (masculine),"construction,quality",,,m,s,,,False,False,False,,,,,participle used as adjective,Il battiscopa è inchiodato.,The baseboard is nailed.,,
inchiodata,inchiodato,nailed,adj,nailed (feminine),"construction,quality",,,f,s,,,False,False,False,,,,,participle used as adjective,La cassa è inchiodata.,The crate is nailed.,,
inchiodati,inchiodato,nailed,adj,nailed (masculine plural),"construction,quality",,,m,p,,,False,False,False,,,,,participle used as adjective,I listelli sono inchiodati.,The slats are nailed.,,
inchiodate,inchiodato,nailed,adj,nailed (feminine plural),"construction,quality",,,f,p,,,False,False,False,,,,,participle used as adjective,Le assi sono inchiodate.,The boards are nailed.,,
incolto,incolto,uncultivated,adj,uncultivated (masculine),"appearance,quality",,,m,s,,,False,False,False,,,,,also used as unkempt for hair or beard,Il giardino è incolto.,The garden is uncultivated.,,
incolta,incolto,uncultivated,adj,uncultivated (feminine),"appearance,quality",,,f,s,,,False,False,False,,,,,,La barba è incolta.,The beard is unkempt.,,
incolti,incolto,uncultivated,adj,uncultivated (masculine plural),"appearance,quality",,,m,p,,,False,False,False,,,,,,I campi sono incolti.,The fields are uncultivated.,,
incolte,incolto,uncultivated,adj,uncultivated (feminine plural),"appearance,quality",,,f,p,,,False,False,False,,,,,,Le siepi sono incolte.,The hedges are unkempt.,,
locale,locale,local,adj,local (masculine),place,,,m,s,,,False,False,False,,,,,2-form adjective; singular same for both genders,Compro vino locale.,I buy local wine.,,
locale,locale,local,adj,local (feminine),place,,,f,s,,,False,False,False,,,,,,Assaggio cucina locale.,I taste local cuisine.,,
locali,locale,local,adj,local (masculine plural),place,,,m,p,,,False,False,False,,,,,,Preferisco prodotti locali.,I prefer local products.,,
locali,locale,local,adj,local (feminine plural),place,,,f,p,,,False,False,False,,,,,,Amo le specialità locali.,I love local specialties.,,
lontano,lontano,far,adj,far (masculine),"space,description",,,m,s,,,False,False,False,,,,,,Questo posto è lontano.,This place is far away.,,
lontana,lontano,far,adj,far (feminine),"space,description",,,f,s,,,False,False,False,,,,,,La città è lontana.,The city is far away.,,
lontani,lontano,far,adj,far (masculine plural),"space,description",,,m,p,,,False,False,False,,,,,,Quei villaggi sono lontani.,Those villages are far away.,,
lontane,lontano,far,adj,far (feminine plural),"space,description",,,f,p,,,False,False,False,,,,,,Le mete sono lontane.,The destinations are far away.,,
lungo,lungo,long/along,adj,long (masculine),"description,movement",,,m,s,,,False,False,False,,,,,plural adds h to keep hard g,Il viaggio è lungo.,The trip is long.,,
lunga,lungo,long/along,adj,long (feminine),"description,movement",,,f,s,,,False,False,False,,,,,,La strada è lunga.,The road is long.,,
lunghi,lungo,long/along,adj,long (masculine plural),"description,movement",,,m,p,,,False,False,False,,,,,,I film sono lunghi.,The films are long.,,
lunghe,lungo,long/along,adj,long (feminine plural),"description,movement",,,f,p,,,False,False,False,,,,,,Le notti estive sono lunghe.,Summer nights are long.,,
malcelato,malcelato,ill-concealed,adj,ill-concealed (masculine),"manner,quality",,,m,s,,,False,False,False,,,,,formal register,Provo un fastidio malcelato.,I feel an ill-concealed annoyance.,,
malcelata,malcelato,ill-concealed,adj,ill-concealed (feminine),"manner,quality",,,f,s,,,False,False,False,,,,,formal register,Una rabbia malcelata emerge.,An ill-concealed anger emerges.,,
malcelati,malcelato,ill-concealed,adj,ill-concealed (masculine plural),"manner,quality",,,m,p,,,False,False,False,,,,,formal register,Sospetti malcelati circolano.,Ill-concealed suspicions circulate.,,
malcelate,malcelato,ill-concealed,adj,ill-concealed (feminine plural),"manner,quality",,,f,p,,,False,False,False,,,,,formal register,Intenzioni malcelate si notano.,Ill-concealed intentions are noticeable.,,
mezzo,mezzo,half,adj,half (masculine),"quantity,fraction",,,m,s,,,False,False,False,,,,,variable adjective,Prendo mezzo litro.,I take half a liter.,,
mezza,mezzo,half,adj,half (feminine),"quantity,fraction",,,f,s,,,False,False,False,,,,,,Mangio mezza pizza.,I eat half a pizza.,,
mezzi,mezzo,half,adj,half (masculine plural),"quantity,fraction",,,m,p,,,False,False,False,,,,,often in expression senza mezzi termini,Non parlo con mezzi termini.,I do not speak with half measures.,,
mezze,mezzo,half,adj,half (feminine plural),"quantity,fraction",,,f,p,,,False,False,False,,,,,common in phrase mezze misure,Basta con mezze misure.,Enough with half measures.,,
naturale,naturale,natural,adj,natural (masculine),"nature,quality",,,m,s,,,False,False,False,,,,,singular form is the same for masculine and feminine; plural ends in -i,È un gusto naturale.,It is a natural flavor.,,
naturale,naturale,natural,adj,natural (feminine),"nature,quality",,,f,s,,,False,False,False,,,,,singular form is the same for masculine and feminine; plural ends in -i,È una scelta naturale.,It is a natural choice.,,
naturali,naturale,natural,adj,natural (masculine plural),"nature,quality",,,m,p,,,False,False,False,,,,,plural form in -i,Preferisco prodotti naturali.,I prefer natural products.,,
naturali,naturale,natural,adj,natural (feminine plural),"nature,quality",,,f,p,,,False,False,False,,,,,plural form in -i,Uso fibre naturali.,I use natural fibers.,,
nuovo,nuovo,new,adj,new (masculine),"quality,description",,,m,s,,,False,False,False,,,,,variable adjective,Questo telefono è nuovo.,This phone is new.,,
nuova,nuovo,new,adj,new (feminine),"quality,description",,,f,s,,,False,False,False,,,,,variable adjective,La casa è nuova.,The house is new.,,
nuovi,nuovo,new,adj,new (masculine plural),"quality,description",,,m,p,,,False,False,False,,,,,variable adjective,Ho comprato dei libri nuovi.,I bought new books.,,
nuove,nuovo,new,adj,new (feminine plural),"quality,description",,,f,p,,,False,False,False,,,,,variable adjective,Cerco idee nuove.,I am looking for new ideas.,,
orario,orario,hourly,adj,hourly (masculine),"time,work",,,m,s,,,False,False,False,,,,,,Il costo orario è aumentato.,The hourly cost has increased.,,
oraria,orario,hourly,adj,hourly (feminine),"time,work",,,f,s,,,False,False,False,,,,,,La paga oraria è buona.,The hourly pay is good.,,
orari,orario,hourly,adj,hourly (masculine plural),"time,work",,,m,p,,,False,False,False,,,,,,Abbiamo limiti orari.,We have hourly limits.,,
orarie,orario,hourly,adj,hourly (feminine plural),"time,work",,,f,p,,,False,False,False,,,,,,Le tariffe orarie sono indicate.,The hourly rates are listed.,,
passato,passato,past,adj,past (masculine),"time,description",,,m,s,,,False,False,False,,,,,derived from past participle of passare,È un ricordo passato.,It is a past memory.,,
passata,passato,past,adj,past (feminine),"time,description",,,f,s,,,False,False,False,,,,,,È una moda passata.,It is a past trend.,,
passati,passato,past,adj,past (masculine plural),"time,description",,,m,p,,,False,False,False,,,,,,Ricordo i giorni passati.,I remember the past days.,,
passate,passato,past,adj,past (feminine plural),"time,description",,,f,p,,,False,False,False,,,,,,Ricordo le estati passate.,I remember the past summers.,,
piccolo,piccolo,small/little,adj,small (masculine),"size,quality",,,m,s,,,False,False,False,,,,,,Ho un cane piccolo.,I have a small dog.,,
piccola,piccolo,small/little,adj,small (feminine),"size,quality",,,f,s,,,False,False,False,,,,,,Prendo una borsa piccola.,I am getting a small bag.,,
piccoli,piccolo,small/little,adj,small (masculine plural),"size,quality",,,m,p,,,False,False,False,,,,,,I gatti sono piccoli.,Cats are small.,,
piccole,piccolo,small/little,adj,small (feminine plural),"size,quality",,,f,p,,,False,False,False,,,,,,Le case sono piccole.,The houses are small.,,
primo,primo,first,adj,first (masculine),"numbers,order,dining",,,m,s,,,False,False,False,,,,,ordinal adjective,È il mio primo giorno.,It is my first day.,,
prima,primo,first,adj,first (feminine),"numbers,order,dining",,,f,s,,,False,False,False,,,,,,È la mia prima volta qui.,It is my first time here.,,
primi,primo,first,adj,first (masculine plural),"numbers,order,dining",,,m,p,,,False,False,False,,,,,,Sono i nostri primi passi.,They are our first steps.,,
prime,primo,first,adj,first (feminine plural),"numbers,order,dining",,,f,p,,,False,False,False,,,,,,Le prime pagine sono facili.,The first pages are easy.,,
radunato,radunato,gathered,adj,gathered (masculine),"quality,state",,,m,s,,,False,False,False,,,,,participle used as adjective,Il gruppo radunato aspetta.,The gathered group waits.,,
radunata,radunato,gathered,adj,gathered (feminine),"quality,state",,,f,s,,,False,False,False,,,,,participle used as adjective,La folla radunata cresce.,The gathered crowd grows.,,
radunati,radunato,gathered,adj,gathered (masculine plural),"quality,state",,,m,p,,,False,False,False,,,,,participle used as adjective,I volontari radunati partono.,The gathered volunteers leave.,,
radunate,radunato,gathered,adj,gathered (feminine plural),"quality,state",,,f,p,,,False,False,False,,,,,participle used as adjective,Le persone radunate parlano.,The gathered people talk.,,
ricco,ricco,rich,adj,rich (masculine),"people,wealth",,,m,s,,,False,False,False,,,,,spelling change -co → -chi/-che in plural,Lui è ricco.,He is rich.,,
ricca,ricco,rich,adj,rich (feminine),"people,wealth",,,f,s,,,False,False,False,,,,,,Lei è ricca.,She is rich.,,
ricchi,ricco,rich,adj,rich (masculine plural),"people,wealth",,,m,p,,,False,False,False,,,,,,Sono ricchi.,They are rich.,,
ricche,ricco,rich,adj,rich (feminine plural),"people,wealth",,,f,p,,,False,False,False,,,,,,Sono ricche.,They are rich.,,
ripetuto,ripetuto,repeated,adj,repeated (masculine),"description,frequency",,,m,s,,,False,False,False,,,,,past participle used as adjective,È un errore ripetuto.,It is a repeated mistake.,,
ripetuta,ripetuto,repeated,adj,repeated (feminine),"description,frequency",,,f,s,,,False,False,False,,,,,,È una domanda ripetuta.,It is a repeated question.,,
ripetuti,ripetuto,repeated,adj,repeated (masculine plural),"description,frequency",,,m,p,,,False,False,False,,,,,,Sono errori ripetuti.,They are repeated errors.,,
ripetute,ripetuto,repeated,adj,repeated (feminine plural),"description,frequency",,,f,p,,,False,False,False,,,,,,Sono domande ripetute.,They are repeated questions.,,
sano,sano,healthy,adj,healthy (masculine),"health,quality",,,m,s,,,False,False,False,,,,,,Il bambino è sano.,The boy is healthy.,,
sana,sano,healthy,adj,healthy (feminine),"health,quality",,,f,s,,,False,False,False,,,,,,La pianta è sana.,The plant is healthy.,,
sani,sano,healthy,adj,healthy (masculine plural),"health,quality",,,m,p,,,False,False,False,,,,,,I pazienti sono sani.,The patients are healthy.,,
sane,sano,healthy,adj,healthy (feminine plural),"health,quality",,,f,p,,,False,False,False,,,,,,Le abitudini sane aiutano.,Healthy habits help.,,
