text_it	text_en	hash	text_it_length	text_en_length
Mary spiegò perché lo fece.	Mary explained why she did that.	57fbddd8-f6d3-5e83-b605-73960daae23a	27	32
Ho spiegato tutto.	I've explained everything.	c6b94778-d7c1-5e52-82de-24d2f30d5072	18	26
La capitale della Romania è Bucharest.	The capital of Romania is Bucharest.	5c259da6-701a-5533-ac27-bcb48289bca1	38	36
Ho sputato.	I spat.	7beb87f5-68a1-59fb-83e4-99c130b60b51	11	7
La capitale della Corea del Sud è Seul.	The capital of South Korea is Seoul.	062b8571-1f9e-5e9f-bdd3-5321ffe0a2e4	39	36
Mary è crudele, vero?	Mary is cruel, isn't she?	d8e19556-f560-51ca-a6f1-d4f3ca4fcb9f	21	25
Mary è davvero paziente, vero?	Mary is really patient, isn't she?	74fbda8e-d66e-542c-99a3-73a48fa5671c	30	34
Mary è veramente paziente, vero?	Mary is really patient, isn't she?	bcd1d956-9cce-528a-8dfb-569f3bb50b6e	32	34
Mary sta celebrando il suo trentesimo compleanno.	Mary is celebrating her thirtieth birthday.	5a737084-b116-5593-984a-29e7aef93488	49	43
Mary va ad Harvard, vero?	Mary is going to Harvard, isn't she?	572c3fa5-a737-59c1-a85d-1f017ef93ce0	25	36
Mary è lì, vero?	Mary is there, isn't she?	e06887b5-08a1-5258-98ac-0a7517c7d131	16	25
Mary è là, vero?	Mary is there, isn't she?	13066330-4c96-57ee-b521-5222a045890b	16	25
Mary c'è, vero?	Mary is there, isn't she?	19c86ce5-f911-5700-98f4-5776ad702f87	15	25
Mary deve proteggere la sua famiglia.	Mary has to protect her family.	d28841f6-8cfb-505a-bf82-45a41e796111	37	31
Mary non è ricca come pensavo che fosse.	Mary isn't as rich as I thought she was.	08b37a42-5684-5ae3-8c38-948eeff49e13	40	40
Mary sta dormendo nella sua sedia.	Mary is sleeping in her chair.	3f52b10c-7e13-5548-8762-e603be136b86	34	30
Mary ha detto che si sentiva dispiaciuta per Tom.	Mary said that she felt sorry for Tom.	eb3e85b7-e278-51c7-8cdb-2ed8fa95f78a	49	38
Mary disse che si sentiva dispiaciuta per Tom.	Mary said that she felt sorry for Tom.	7dc89e57-2db1-5ebf-b128-42b8f40ba02e	46	38
Mary mi ha detto che si sentiva molto felice.	Mary told me she was very happy.	74f3dbc2-7d61-5dea-853f-63f4a8222e16	45	32
Mary mi disse che si sentiva molto felice.	Mary told me she was very happy.	15261929-80ad-5047-913c-053e6fb63899	42	32
Mary ha gli occhi di sua madre.	Mary has her mother's eyes.	92b92c7d-6227-50d7-9e3c-fd005a1416ab	31	27
Mary non cambierà mai, vero?	Mary is never going to change, is she?	7eb7c72a-c89a-53fd-a75a-ba0151f418f0	28	38
Mary sta ancora nuotando, vero?	Mary is still swimming, isn't she?	586e0bf3-02d5-590a-a089-a85fb79ff08f	31	34
Mary dice che è nata a Boston.	Mary says that she was born in Boston.	78feb7f9-e2e8-5a01-9ddc-cb13f1718def	30	38
Mary dice di essere nata a Boston.	Mary says that she was born in Boston.	7968aa39-71d5-5ca1-b5be-ac1d3fa68643	34	38
Mary ha detto a tutti che aveva paura.	Mary told everyone she was afraid.	5f960dd6-0ca0-5461-8f44-d450738b2898	38	34
Mary disse a tutti che aveva paura.	Mary told everyone she was afraid.	12ddbcf0-62a0-52b5-ad19-506f29c0ddbf	35	34
Mary sembrava essere addormentata.	Mary looked like she was asleep.	bf83305e-6453-5e60-b324-05060e3d7e76	34	32
Mary si è difesa con coraggio.	Mary defended herself bravely.	2ca8ed5f-e868-54bb-bbf7-bb04d1c21df3	30	30
Mary si difese con coraggio.	Mary defended herself bravely.	ce95a7f2-0689-5f65-9613-24781ef72e29	28	30
Mary si è difesa coraggiosamente.	Mary defended herself bravely.	fb0d3e6d-f13f-53a4-b762-0e09e2a980f5	33	30
Mary si difese coraggiosamente.	Mary defended herself bravely.	7f6796e5-890b-54b6-bd4c-92e460c6eacd	31	30
Mary ha detto che preferirebbe non farlo.	Mary said she'd rather not do that.	bf8f909c-ddbe-579a-8732-4d601f7e864b	41	35
Mary è ancora fuori, vero?	Mary is still outside, isn't she?	c1195210-d24c-5b0a-8eb5-b86f4163d4f6	26	33
Dai a Mary quello che chiede.	Give Mary what she asks for.	a0429d7e-bb32-5109-9081-d01d8d25cbe9	29	28
Dia a Mary quello che chiede.	Give Mary what she asks for.	3faf7048-01d8-56ed-891c-d10f10c8e99f	29	28
Date a Mary quello che chiede.	Give Mary what she asks for.	c29ac98b-083c-5df1-a7c9-00e46e9ce1d1	30	28
Mary mi ha detto che è irritata.	Mary told me that she's irritated.	59ab3376-448d-5871-9d93-78c4272c8d62	32	34
Mary mi ha detto di essere irritata.	Mary told me that she's irritated.	6078cfcc-f1f9-506f-a438-20901b8f6d3e	36	34
Mary è arrabbiata con noi, vero?	Mary is mad at us, isn't she?	5abc476f-50fb-57e7-a78a-6e885c39c887	32	29
Mary si sta nascondendo, vero?	Mary is hiding, isn't she?	362c4510-8871-5a64-857b-2fb0eb8a4aa0	30	26
Mary mi ha detto che non aveva l'assicurazione.	Mary told me she didn't have insurance.	b3159e67-e8a9-5c3c-8f3a-f5534e214e0a	47	39
