part_of_speech,base_word_italian,english,italian,topics,base_word_english
adjective,grande,big,grandi,[general],big
adjective,piccolo,small,piccolo,[general],small
adjective,piccolo,small,piccola,[general],small
adjective,piccolo,small,piccoli,[general],small
adjective,piccolo,small,piccole,[general],small
adjective,bello,beautiful,bello,[general],beautiful
adjective,bello,beautiful,bella,[general],beautiful
adjective,bello,beautiful,belli,[general],beautiful
adjective,bello,beautiful,belle,[general],beautiful
adjective,brutto,ugly,brutto,[general],ugly
adjective,brutto,ugly,brutta,[general],ugly
adjective,brutto,ugly,brutti,[general],ugly
adjective,brutto,ugly,brutte,[general],ugly
adjective,nuovo,new,nuovo,[general],new
adjective,nuovo,new,nuova,[general],new
adjective,nuovo,new,nuovi,[general],new
adjective,nuovo,new,nuove,[general],new
adjective,vecchio,old,vecchio,[general],old
adjective,vecchio,old,vecchia,[general],old
adjective,vecchio,old,vecchi,[general],old
adjective,vecchio,old,vecchie,[general],old
adjective,caldo,hot,caldo,[general],hot
adjective,caldo,hot,calda,[general],hot
adjective,caldo,hot,caldi,[general],hot
adjective,caldo,hot,calde,[general],hot
adjective,freddo,cold,freddo,[general],cold
adjective,freddo,cold,fredda,[general],cold
adjective,freddo,cold,freddi,[general],cold
adjective,freddo,cold,fredde,[general],cold
adjective,felice,happy,felici,[general],happy
adjective,facile,easy,facile,[general],easy
adjective,facile,easy,facili,[general],easy
adjective,eccellente,excellent,eccellente,[quality],excellent
adjective,terribile,terrible,terribile,[quality],terrible
adjective,perfetto,perfect,perfetto,[quality],perfect
adjective,perfetto,perfect,perfetta,[quality],perfect
adjective,scarso,poor,scarso,[quality],poor
adjective,scarso,poor,scarsa,[quality],poor
adjective,medio,average,medio,[quality],average
adjective,medio,average,media,[quality],average
adjective,autentico,authentic,autentico,[quality],authentic
adjective,autentico,authentic,autentica,[quality],authentic
adjective,falso,fake,falso,[quality],fake
adjective,falso,fake,falsa,[quality],fake
adjective,molti,many,molti,[quantity],many
adjective,molti,many,molte,[quantity],many
adjective,pochi,few,pochi,[quantity],few
adjective,pochi,few,poche,[quantity],few
adjective,alcuni,some,alcuni,[quantity],some
adjective,alcuni,some,alcune,[quantity],some
adjective,tutto,all,tutti,[quantity],all
adjective,tutto,all,tutte,[quantity],all
adjective,abbastanza,enough,abbastanza,[quantity],enough
adjective,poco,little,poco,[quantity],little
adjective,poco,little,poca,[quantity],little
adjective,diversi,several,diversi,[quantity],several
adjective,diversi,several,diverse,[quantity],several
adjective,numerosi,numerous,numerosi,[quantity],numerous
adjective,numerosi,numerous,numerose,[quantity],numerous
adjective,singolo,single,singolo,[quantity],single
adjective,singolo,single,singola,[quantity],single
adjective,tutto,all,tutto,[quantity],all
adjective,tutto,all,tutta,[quantity],all
adjective,usato,used,usato,[shopping],used
adjective,usato,used,usata,[shopping],used
adjective,alla,fashionable,alla moda,[shopping],fashionable
adjective,trendy,trendy,trendy,[shopping],trendy
adjective,fuori,out of style,fuori moda,[shopping],out of style
adjective,comodo,comfortable,comodo,[shopping],comfortable
adjective,comodo,comfortable,comoda,[shopping],comfortable
adjective,scomodo,uncomfortable,scomodo,[shopping],uncomfortable
adjective,scomodo,uncomfortable,scomoda,[shopping],uncomfortable
adjective,rotto,broken,rotto,[shopping],broken
adjective,rotto,broken,rotta,[shopping],broken
adjective,disponibile,available,disponibile,[shopping],available
adjective,esaurito,sold out,esaurito,[shopping],sold out
adjective,esaurito,sold out,esaurita,[shopping],sold out
adjective,alto,tall,alto,[size],tall
adjective,alto,tall,alta,[size],tall
adjective,alto,tall,alti,[size],tall
adjective,alto,tall,alte,[size],tall
adjective,basso,short (height),basso,[size],short (height)
adjective,basso,short (height),bassa,[size],short (height)
adjective,basso,short (height),bassi,[size],short (height)
adjective,basso,short (height),basse,[size],short (height)
adjective,lungo,long,lungo,[size],long
adjective,lungo,long,lunga,[size],long
adjective,lungo,long,lunghi,[size],long
adjective,lungo,long,lunghe,[size],long
adjective,largo,wide,largo,[size],wide
adjective,largo,wide,larga,[size],wide
adjective,largo,wide,larghi,[size],wide
adjective,largo,wide,larghe,[size],wide
adjective,stretto,narrow,stretto,[size],narrow
adjective,stretto,narrow,stretta,[size],narrow
adjective,stretto,narrow,stretti,[size],narrow
adjective,stretto,narrow,strette,[size],narrow
adjective,enorme,huge,enorme,[size],huge
adjective,enorme,huge,enormi,[size],huge
adjective,minuscolo,tiny,minuscolo,[size],tiny
adjective,minuscolo,tiny,minuscola,[size],tiny
adjective,minuscolo,tiny,minuscoli,[size],tiny
adjective,minuscolo,tiny,minuscole,[size],tiny
adjective,spesso,thick,spesso,[size],thick
adjective,spesso,thick,spessa,[size],thick
adjective,spesso,thick,spessi,[size],thick
adjective,spesso,thick,spesse,[size],thick
adjective,sottile,thin,sottile,[size],thin
adjective,sottile,thin,sottili,[size],thin
adjective,gigantesco,gigantic,gigantesco,[size],gigantic
adjective,gigantesco,gigantic,gigantesca,[size],gigantic
adjective,gigantesco,gigantic,giganteschi,[size],gigantic
adjective,gigantesco,gigantic,gigantesche,[size],gigantic
adjective,massiccio,massive,massiccio,[size],massive
adjective,massiccio,massive,massiccia,[size],massive
adjective,massiccio,massive,massicci,[size],massive
adjective,massiccio,massive,massicce,[size],massive
adjective,minuto,petite,minuto,[size],petite
adjective,minuto,petite,minuta,[size],petite
adjective,minuto,petite,minuti,[size],petite
adjective,minuto,petite,minute,[size],petite
adjective,compatto,compact,compatto,[size],compact
adjective,compatto,compact,compatta,[size],compact
adjective,compatto,compact,compatti,[size],compact
adjective,compatto,compact,compatte,[size],compact
adjective,ingombrante,bulky,ingombrante,[size],bulky
adjective,ingombrante,bulky,ingombranti,[size],bulky
adjective,ampio,ample,ampio,[size],ample
adjective,ampio,ample,ampia,[size],ample
adjective,ampio,ample,ampi,[size],ample
adjective,ampio,ample,ampie,[size],ample
adjective,vasto,vast,vasto,[size],vast
adjective,vasto,vast,vasta,[size],vast
adjective,vasto,vast,vasti,[size],vast
adjective,vasto,vast,vaste,[size],vast
adjective,microscopico,microscopic,microscopico,[size],microscopic
adjective,microscopico,microscopic,microscopica,[size],microscopic
adjective,microscopico,microscopic,microscopici,[size],microscopic
adjective,microscopico,microscopic,microscopiche,[size],microscopic
adjective,tiepido,warm,tiepido,[temperature],warm
adjective,tiepido,warm,tiepida,[temperature],warm
adjective,tiepido,warm,tiepidi,[temperature],warm
adjective,tiepido,warm,tiepide,[temperature],warm
adjective,fresco,cool,fresco,[temperature],cool
adjective,fresco,cool,fresca,[temperature],cool
adjective,fresco,cool,freschi,[temperature],cool
adjective,fresco,cool,fresche,[temperature],cool
adjective,gelido,freezing,gelido,[temperature],freezing
adjective,gelido,freezing,gelida,[temperature],freezing
adjective,gelido,freezing,gelidi,[temperature],freezing
adjective,gelido,freezing,gelide,[temperature],freezing
adjective,ghiacciato,icy,ghiacciato,[temperature],icy
adjective,ghiacciato,icy,ghiacciata,[temperature],icy
adjective,ghiacciato,icy,ghiacciati,[temperature],icy
adjective,ghiacciato,icy,ghiacciate,[temperature],icy
adjective,afoso,sweltering,afoso,[temperature],sweltering
adjective,afoso,sweltering,afosa,[temperature],sweltering
adjective,afoso,sweltering,afosi,[temperature],sweltering
adjective,afoso,sweltering,afose,[temperature],sweltering
adjective,torrido,blistering,torrido,[temperature],blistering
adjective,torrido,blistering,torrida,[temperature],blistering
adjective,torrido,blistering,torridi,[temperature],blistering
adjective,torrido,blistering,torride,[temperature],blistering
adjective,temperato,temperate,temperato,[temperature],temperate
adjective,temperato,temperate,temperata,[temperature],temperate
adjective,temperato,temperate,temperati,[temperature],temperate
adjective,temperato,temperate,temperate,[temperature],temperate
adjective,mite,mild,mite,[temperature],mild
adjective,mite,mild,miti,[temperature],mild
adjective,bollente,boiling,bollente,[temperature],boiling
adjective,bollente,boiling,bollenti,[temperature],boiling
adjective,rovente,scorching,rovente,[temperature],scorching
adjective,rovente,scorching,roventi,[temperature],scorching
adjective,glaciale,glacial,glaciale,[temperature],glacial
adjective,glaciale,glacial,glaciali,[temperature],glacial
noun,angolo,a corner,un angolo,[directions],a corner
noun,angolo,the corner,l'angolo,[directions],the corner
noun,angolo,the corners,gli angoli,[directions],the corners
noun,incrocio,an intersection,un incrocio,[directions],an intersection
noun,incrocio,the intersection,l'incrocio,[directions],the intersection
noun,incroci,the intersections,gli incroci,[directions],the intersections
noun,rotonda,a roundabout,una rotonda,[directions],a roundabout
noun,rotonda,the roundabout,la rotonda,[directions],the roundabout
noun,rotonde,the roundabouts,le rotonde,[directions],the roundabouts
noun,ponte,a bridge,un ponte,[directions],a bridge
noun,ponte,the bridge,il ponte,[directions],the bridge
noun,ponti,the bridges,i ponti,[directions],the bridges
noun,tunnel,a tunnel,un tunnel,[directions],a tunnel
noun,tunnel,the tunnel,il tunnel,[directions],the tunnel
noun,tunnel,the tunnels,i tunnel,[directions],the tunnels
noun,strada,a street,una strada,[directions],a street
noun,strada,the street,la strada,[directions],the street
noun,strada,the streets,le strade,[directions],the streets
noun,viale,an avenue,un viale,[directions],an avenue
noun,viale,the avenue,il viale,[directions],the avenue
noun,viali,the avenues,i viali,[directions],the avenues
noun,piazza,a square,una piazza,[directions],a square
noun,piazza,the square,la piazza,[directions],the square
noun,piazza,the squares,le piazze,[directions],the squares
noun,isolato,a block,un isolato,[directions],a block
noun,isolato,the block,l'isolato,[directions],the block
noun,isolato,the blocks,gli isolati,[directions],the blocks
noun,segnale,a sign,un segnale,[directions],a sign
noun,segnale,the sign,il segnale,[directions],the sign
noun,segnale,the signs,i segnali,[directions],the signs
noun,fermata,a stop,una fermata,[directions],a stop
noun,fermata,the stop,la fermata,[directions],the stop
noun,fermata,the stops,le fermate,[directions],the stops
noun,ingresso,an entrance,un ingresso,[directions],an entrance
noun,ingresso,the entrance,l'ingresso,[directions],the entrance
noun,ingresso,the entrances,gli ingressi,[directions],the entrances
noun,uscita,an exit,un'uscita,[directions],an exit
noun,uscita,the exit,l'uscita,[directions],the exit
noun,uscita,the exits,le uscite,[directions],the exits
noun,semaforo,a traffic light,un semaforo,[directions],a traffic light
noun,semaforo,the traffic light,il semaforo,[directions],the traffic light
noun,semaforo,the traffic lights,i semafori,[directions],the traffic lights
noun,svolta,a turn,una svolta,[directions],a turn
noun,svolta,the turn,la svolta,[directions],the turn
noun,svolta,the turns,le svolte,[directions],the turns
noun,nord,the north,il nord,[directions],the north
noun,nord,a north,un nord,[directions],a north
noun,sud,the south,il sud,[directions],the south
noun,sud,a south,un sud,[directions],a south
noun,est,the east,l'est,[directions],the east
noun,est,an east,un est,[directions],an east
noun,ovest,the west,l'ovest,[directions],the west
noun,ovest,a west,un ovest,[directions],a west
noun,sinistra,a left,una sinistra,[directions],a left
noun,sinistra,the left,la sinistra,[directions],the left
noun,destra,a right,una destra,[directions],a right
noun,destra,the right,la destra,[directions],the right
noun,acqua,the water,l'acqua,[drinks],the water
noun,acqua,water,acqua,[drinks],water
noun,acqua naturale,the still water,l'acqua naturale,[drinks],the still water
noun,acqua naturale,still water,acqua naturale,[drinks],still water
noun,acqua frizzante,the sparkling water,l'acqua frizzante,[drinks],the sparkling water
noun,acqua frizzante,sparkling water,acqua frizzante,[drinks],sparkling water
noun,caffè,the coffee,il caffè,[drinks],the coffee
noun,caffè,coffee,caffè,[drinks],coffee
noun,caffè,a coffee,un caffè,[drinks],a coffee
noun,espresso,the espresso,l'espresso,[drinks],the espresso
noun,espresso,an espresso,un espresso,[drinks],an espresso
noun,cappuccino,the cappuccino,il cappuccino,[drinks],the cappuccino
noun,cappuccino,a cappuccino,un cappuccino,[drinks],a cappuccino
noun,tè,the tea,il tè,[drinks],the tea
noun,tè,tea,tè,[drinks],tea
noun,tè,a tea,un tè,[drinks],a tea
noun,tisana,the herbal tea,la tisana,[drinks],the herbal tea
noun,tisana,an herbal tea,una tisana,[drinks],an herbal tea
noun,succo,the juice,il succo,[drinks],the juice
noun,succo,a juice,un succo,[drinks],a juice
noun,succo d'arancia,the orange juice,il succo d'arancia,[drinks],the orange juice
noun,succo d'arancia,an orange juice,un succo d'arancia,[drinks],an orange juice
noun,vino,the wine,il vino,[drinks],the wine
noun,vino,wine,vino,[drinks],wine
noun,bicchiere di vino,a glass of wine,un bicchiere di vino,[drinks],a glass of wine
noun,vino rosso,the red wine,il vino rosso,[drinks],the red wine
noun,vino bianco,the white wine,il vino bianco,[drinks],the white wine
noun,birra,the beer,la birra,[drinks],the beer
noun,birra,beer,birra,[drinks],beer
noun,birra,a beer,una birra,[drinks],a beer
noun,birra alla spina,the draft beer,la birra alla spina,[drinks],the draft beer
noun,birra alla spina,a draft beer,una birra alla spina,[drinks],a draft beer
noun,cocktail,the cocktail,il cocktail,[drinks],the cocktail
noun,cocktail,a cocktail,un cocktail,[drinks],a cocktail
noun,bibita,the soda,la bibita gassata,[drinks],the soda
noun,bibita,soda,bibita gassata,[drinks],soda
noun,cola,the cola,la cola,[drinks],the cola
noun,cola,a cola,una cola,[drinks],a cola
noun,latte,the milk,il latte,[drinks],the milk
noun,latte,milk,latte,[drinks],milk
noun,bicchiere di latte,a glass of milk,un bicchiere di latte,[drinks],a glass of milk
noun,cioccolata calda,the hot chocolate,la cioccolata calda,[drinks],the hot chocolate
noun,cioccolata calda,a hot chocolate,una cioccolata calda,[drinks],a hot chocolate
noun,limonata,the lemonade,la limonata,[drinks],the lemonade
noun,limonata,a lemonade,una limonata,[drinks],a lemonade
noun,tè freddo,the iced tea,il tè freddo,[drinks],the iced tea
noun,tè freddo,an iced tea,un tè freddo,[drinks],an iced tea
noun,acqua minerale frizzante,the sparkling mineral water,l'acqua minerale frizzante,[drinks],the sparkling mineral water
noun,acqua minerale naturale,the still mineral water,l'acqua minerale naturale,[drinks],the still mineral water
noun,vestito,the dress,il vestito,[fashion],the dress
noun,vestito,a dress,un vestito,[fashion],a dress
noun,vestito,the dresses,i vestiti,[fashion],the dresses
noun,camicia,the shirt,la camicia,[fashion],the shirt
noun,camicia,a shirt,una camicia,[fashion],a shirt
noun,camicia,the shirts,le camicie,[fashion],the shirts
noun,maglietta,the t-shirt,la maglietta,[fashion],the t-shirt
noun,maglietta,a t-shirt,una maglietta,[fashion],a t-shirt
noun,maglietta,the t-shirts,le magliette,[fashion],the t-shirts
noun,pantaloni,the pants,i pantaloni,[fashion],the pants
noun,pantaloni,pants,pantaloni,[fashion],pants
noun,jeans,the jeans,i jeans,[fashion],the jeans
noun,jeans,jeans,jeans,[fashion],jeans
noun,gonna,the skirt,la gonna,[fashion],the skirt
noun,gonna,a skirt,una gonna,[fashion],a skirt
noun,gonna,the skirts,le gonne,[fashion],the skirts
noun,completo,the suit,il completo,[fashion],the suit
noun,completo,a suit,un completo,[fashion],a suit
noun,completo,the suits,i completi,[fashion],the suits
noun,giacca,the jacket,la giacca,[fashion],the jacket
noun,giacca,a jacket,una giacca,[fashion],a jacket
noun,giaccha,the jackets,le giacche,[fashion],the jackets
noun,cappotto,the coat,il cappotto,[fashion],the coat
noun,cappotto,a coat,un cappotto,[fashion],a coat
noun,cappotto,the coats,i cappotti,[fashion],the coats
noun,maglione,the sweater,il maglione,[fashion],the sweater
noun,maglione,a sweater,un maglione,[fashion],a sweater
noun,maglione,the sweaters,i maglioni,[fashion],the sweaters
noun,scarpa,the shoe,la scarpa,[fashion],the shoe
noun,scarpa,a shoe,una scarpa,[fashion],a shoe
noun,scarpa,the shoes,le scarpe,[fashion],the shoes
noun,stivale,the boot,lo stivale,[fashion],the boot
noun,stivale,a boot,uno stivale,[fashion],a boot
noun,stivale,the boots,gli stivali,[fashion],the boots
noun,sandalo,the sandal,il sandalo,[fashion],the sandal
noun,sandalo,a sandal,un sandalo,[fashion],a sandal
noun,sandalo,the sandals,i sandali,[fashion],the sandals
noun,sciarpa,the scarf,la sciarpa,[fashion],the scarf
noun,sciarpa,a scarf,una sciarpa,[fashion],a scarf
noun,sciarpa,the scarves,le sciarpe,[fashion],the scarves
noun,cappello,the hat,il cappello,[fashion],the hat
noun,cappello,a hat,un cappello,[fashion],a hat
noun,cappello,the hats,i cappelli,[fashion],the hats
noun,pane,the bread,il pane,[food],the bread
noun,pane,bread,pane,[food],bread
noun,panino,the sandwich,il panino,[food],the sandwich
noun,panino,a sandwich,un panino,[food],a sandwich
noun,panino,the sandwiches,i panini,[food],the sandwiches
noun,pizza,the pizza,la pizza,[food],the pizza
noun,pizza,a pizza,una pizza,[food],a pizza
noun,pizza,the pizzas,le pizze,[food],the pizzas
noun,pasta,pasta,pasta,[food],pasta
noun,pasta,the pasta,la pasta,[food],the pasta
noun,formaggio,the cheese,il formaggio,[food],the cheese
noun,formaggio,cheese,formaggio,[food],cheese
noun,mela,the apple,la mela,[food],the apple
noun,mela,an apple,una mela,[food],an apple
noun,mela,the apples,le mele,[food],the apples
noun,banana,the banana,la banana,[food],the banana
noun,banana,a banana,una banana,[food],a banana
noun,banana,the bananas,le banane,[food],the bananas
noun,arancia,the orange,l'arancia,[food],the orange
noun,arancia,an orange,un'arancia,[food],an orange
noun,arancia,the oranges,le arance,[food],the oranges
noun,carota,the carrot,la carota,[food],the carrot
noun,carota,a carrot,una carota,[food],a carrot
noun,carota,the carrots,le carote,[food],the carrots
noun,pomodoro,the tomato,il pomodoro,[food],the tomato
noun,pomodoro,a tomato,un pomodoro,[food],a tomato
noun,pomodoro,the tomatoes,i pomodori,[food],the tomatoes
noun,insalata,the salad,l'insalata,[food],the salad
noun,insalata,a salad,un'insalata,[food],a salad
noun,insalata,the salads,le insalate,[food],the salads
noun,zuppa,the soup,la zuppa,[food],the soup
noun,zuppa,a soup,una zuppa,[food],a soup
noun,bistecca,the steak,la bistecca,[food],the steak
noun,bistecca,a steak,una bistecca,[food],a steak
noun,bistecca,the steaks,le bistecche,[food],the steaks
noun,pesce,fish,pesce,[food],fish
noun,pesce,the fish,il pesce,[food],the fish
noun,pollo,chicken,pollo,[food],chicken
noun,pollo,the chicken,il pollo,[food],the chicken
noun,riso,rice,riso,[food],rice
noun,riso,the rice,il riso,[food],the rice
noun,uovo,the egg,l'uovo,[food],the egg
noun,uovo,an egg,un uovo,[food],an egg
noun,uovo,the eggs,le uova,[food],the eggs
noun,gelato,the ice cream,il gelato,[food],the ice cream
noun,gelato,an ice cream,un gelato,[food],an ice cream
noun,gelato,the ice creams,i gelati,[food],the ice creams
noun,burro,the butter,il burro,[food],the butter
noun,burro,butter,burro,[food],butter
noun,olio,the olive oil,l'olio d'oliva,[food],the olive oil
noun,olio,olive oil,olio d'oliva,[food],olive oil
noun,casa,the house,la casa,[general],the house
noun,casa,a house,una casa,[general],a house
noun,casa,the houses,le case,[general],the houses
noun,appartamento,the apartment,l'appartamento,[general],the apartment
noun,appartamento,an apartment,un appartamento,[general],an apartment
noun,appartamento,the apartments,gli appartamenti,[general],the apartments
noun,stanza,the room,la stanza,[general],the room
noun,stanza,a room,una stanza,[general],a room
noun,stanza,the rooms,le stanze,[general],the rooms
noun,letto,the bed,il letto,[general],the bed
noun,letto,a bed,un letto,[general],a bed
noun,letto,the beds,i letti,[general],the beds
noun,tavolo,the table,il tavolo,[general],the table
noun,tavolo,a table,un tavolo,[general],a table
noun,tavolo,the tables,i tavoli,[general],the tables
noun,sedia,the chair,la sedia,[general],the chair
noun,sedia,a chair,una sedia,[general],a chair
noun,sedia,the chairs,le sedie,[general],the chairs
noun,porta,the door,la porta,[general],the door
noun,porta,a door,una porta,[general],a door
noun,porta,the doors,le porte,[general],the doors
noun,finestra,the window,la finestra,[general],the window
noun,finestra,a window,una finestra,[general],a window
noun,finestra,the windows,le finestre,[general],the windows
noun,chiave,the key,la chiave,[general],the key
noun,chiave,a key,una chiave,[general],a key
noun,chiave,the keys,le chiavi,[general],the keys
noun,telefono,the phone,il telefono,[general],the phone
noun,telefono,a phone,un telefono,[general],a phone
noun,telefono,the phones,i telefoni,[general],the phones
noun,computer,the computer,il computer,[general],the computer
noun,computer,a computer,un computer,[general],a computer
noun,computer,the computers,i computer,[general],the computers
noun,libro,the book,il libro,[general],the book
noun,libro,a book,un libro,[general],a book
noun,libro,the books,i libri,[general],the books
noun,penna,the pen,la penna,[general],the pen
noun,penna,a pen,una penna,[general],a pen
noun,penna,the pens,le penne,[general],the pens
noun,foto,the photo,la foto,[general],the photo
noun,foto,a photo,una foto,[general],a photo
noun,foto,the photos,le foto,[general],the photos
noun,mappa,the map,la mappa,[general],the map
noun,mappa,a map,una mappa,[general],a map
noun,mappa,the maps,le mappe,[general],the maps
noun,denaro,the money,il denaro,[general],the money
noun,denaro,money,denaro,[general],money
noun,idea,the idea,l'idea,[general],the idea
noun,idea,an idea,un'idea,[general],an idea
noun,idea,the ideas,le idee,[general],the ideas
noun,problema,the problem,il problema,[general],the problem
noun,problema,a problem,un problema,[general],a problem
noun,problema,the problems,i problemi,[general],the problems
noun,cosa,the thing,la cosa,[general],the thing
noun,cosa,a thing,una cosa,[general],a thing
noun,cosa,the things,le cose,[general],the things
noun,metallo,the metal,il metallo,[jewelry and metal working],the metal
noun,metallo,a metal,un metallo,[jewelry and metal working],a metal
noun,metallo,the metals,i metalli,[jewelry and metal working],the metals
noun,argento,the silver,l'argento,[jewelry and metal working],the silver
noun,argento,silver,argento,[jewelry and metal working],silver
noun,oro,the gold,l'oro,[jewelry and metal working],the gold
noun,oro,gold,oro,[jewelry and metal working],gold
noun,rame,the copper,il rame,[jewelry and metal working],the copper
noun,rame,copper,rame,[jewelry and metal working],copper
noun,ottone,the brass,l'ottone,[jewelry and metal working],the brass
noun,ottone,brass,ottone,[jewelry and metal working],brass
noun,bronzo,the bronze,il bronzo,[jewelry and metal working],the bronze
noun,bronzo,bronze,bronzo,[jewelry and metal working],bronze
noun,gemma,the gem,la gemma,[jewelry and metal working],the gem
noun,gemma,a gem,una gemma,[jewelry and metal working],a gem
noun,gemma,the gems,le gemme,[jewelry and metal working],the gems
noun,pietra,the stone,la pietra,[jewelry and metal working],the stone
noun,pietra,a stone,una pietra,[jewelry and metal working],a stone
noun,pietra,the stones,le pietre,[jewelry and metal working],the stones
noun,diamante,the diamond,il diamante,[jewelry and metal working],the diamond
noun,diamante,a diamond,un diamante,[jewelry and metal working],a diamond
noun,diamante,the diamonds,i diamanti,[jewelry and metal working],the diamonds
noun,anello,the ring,l'anello,[jewelry and metal working],the ring
noun,anello,a ring,un anello,[jewelry and metal working],a ring
noun,anello,the rings,gli anelli,[jewelry and metal working],the rings
noun,collana,the necklace,la collana,[jewelry and metal working],the necklace
noun,collana,a necklace,una collana,[jewelry and metal working],a necklace
noun,collana,the necklaces,le collane,[jewelry and metal working],the necklaces
noun,bracciale,the bracelet,il bracciale,[jewelry and metal working],the bracelet
noun,bracciale,a bracelet,un bracciale,[jewelry and metal working],a bracelet
noun,bracciale,the bracelets,i bracciali,[jewelry and metal working],the bracelets
noun,torcia,the torch,la torcia,[jewelry and metal working],the torch
noun,torcia,a torch,una torcia,[jewelry and metal working],a torch
noun,torcia,the torches,le torce,[jewelry and metal working],the torches
noun,fiamma,the flame,la fiamma,[jewelry and metal working],the flame
noun,fiamma,a flame,una fiamma,[jewelry and metal working],a flame
noun,fiamma,the flames,le fiamme,[jewelry and metal working],the flames
noun,sega,the saw,la sega,[jewelry and metal working],the saw
noun,sega,a saw,una sega,[jewelry and metal working],a saw
noun,sega,the saws,le seghe,[jewelry and metal working],the saws
noun,incudine,the anvil,l'incudine,[jewelry and metal working],the anvil
noun,incudine,an anvil,un'incudine,[jewelry and metal working],an anvil
noun,incudine,the anvils,le incudini,[jewelry and metal working],the anvils
noun,martello,the hammer,il martello,[jewelry and metal working],the hammer
noun,martello,a hammer,un martello,[jewelry and metal working],a hammer
noun,martello,the hammers,i martelli,[jewelry and metal working],the hammers
noun,lima,the file,la lima,[jewelry and metal working],the file
noun,lima,a file,una lima,[jewelry and metal working],a file
noun,lima,the files,le lime,[jewelry and metal working],the files
noun,pinze,pliers,pinze,[jewelry and metal working],pliers
noun,pinze,the pliers,le pinze,[jewelry and metal working],the pliers
noun,flussante,the flux,il flussante,[jewelry and metal working],the flux
noun,flussante,flux,flussante,[jewelry and metal working],flux
noun,stagno,the solder,lo stagno,[jewelry and metal working],the solder
noun,stagno,solder,stagno,[jewelry and metal working],solder
noun,crogiolo,the crucible,il crogiolo,[jewelry and metal working],the crucible
noun,crogiolo,a crucible,un crogiolo,[jewelry and metal working],a crucible
noun,crogiolo,the crucibles,i crogioli,[jewelry and metal working],the crucibles
noun,stampo,the mold,lo stampo,[jewelry and metal working],the mold
noun,stampo,a mold,uno stampo,[jewelry and metal working],a mold
noun,stampo,the molds,gli stampi,[jewelry and metal working],the molds
noun,platino,the platinum,il platino,[jewelry and metal working],the platinum
noun,platino,platinum,platino,[jewelry and metal working],platinum
noun,palladio,the palladium,il palladio,[jewelry and metal working],the palladium
noun,palladio,palladium,palladio,[jewelry and metal working],palladium
noun,acciaio,the steel,l'acciaio,[jewelry and metal working],the steel
noun,acciaio,steel,acciaio,[jewelry and metal working],steel
