english,italian,base_term,is_base,topic,part_of_speech
you went (plural),voi andaste,to go,False,foundational_words,verb
to come,venire,to come,True,foundational_words,verb
I come,io vengo,to come,False,foundational_words,verb
you come (informal),tu vieni,to come,False,foundational_words,verb
you come (formal),Lei viene,to come,False,foundational_words,verb
he comes,lui viene,to come,False,foundational_words,verb
she comes,lei viene,to come,False,foundational_words,verb
we come,noi veniamo,to come,False,foundational_words,verb
you come (plural),voi venite,to come,False,foundational_words,verb
I came,io venni,to come,False,foundational_words,verb
you came (informal),tu venisti,to come,False,foundational_words,verb
you came (formal),Lei venne,to come,False,foundational_words,verb
he came,lui venne,to come,False,foundational_words,verb
she came,lei venne,to come,False,foundational_words,verb
we came,noi venimmo,to come,False,foundational_words,verb
you came (plural),voi veniste,to come,False,foundational_words,verb
to give,dare,to give,True,foundational_words,verb
I give,io do,to give,False,foundational_words,verb
you give (informal),tu dai,to give,False,foundational_words,verb
you give (formal),Lei dà,to give,False,foundational_words,verb
he gives,lui dà,to give,False,foundational_words,verb
she gives,lei dà,to give,False,foundational_words,verb
we give,noi diamo,to give,False,foundational_words,verb
you give (plural),voi date,to give,False,foundational_words,verb
I gave,io diedi,to give,False,foundational_words,verb
you gave (informal),tu desti,to give,False,foundational_words,verb
you gave (formal),Lei diede,to give,False,foundational_words,verb
he gave,lui diede,to give,False,foundational_words,verb
she gave,lei diede,to give,False,foundational_words,verb
we gave,noi demmo,to give,False,foundational_words,verb
you gave (plural),voi deste,to give,False,foundational_words,verb
to say / to tell,dire,to say / to tell,True,foundational_words,verb
I say / I tell,io dico,to say / to tell,False,foundational_words,verb
you say / you tell (informal),tu dici,to say / to tell,False,foundational_words,verb
you say / you tell (formal),Lei dice,to say / to tell,False,foundational_words,verb
he says / he tells,lui dice,to say / to tell,False,foundational_words,verb
she says / she tells,lei dice,to say / to tell,False,foundational_words,verb
we say / we tell,noi diciamo,to say / to tell,False,foundational_words,verb
you say / you tell (plural),voi dite,to say / to tell,False,foundational_words,verb
I said / I told,io dissi,to say / to tell,False,foundational_words,verb
you said / you told (informal),tu dicesti,to say / to tell,False,foundational_words,verb
you said / you told (formal),Lei disse,to say / to tell,False,foundational_words,verb
he said / he told,lui disse,to say / to tell,False,foundational_words,verb
she said / she told,lei disse,to say / to tell,False,foundational_words,verb
we said / we told,noi dicemmo,to say / to tell,False,foundational_words,verb
you said / you told (plural),voi diceste,to say / to tell,False,foundational_words,verb
to see,vedere,to see,True,foundational_words,verb
I see,io vedo,to see,False,foundational_words,verb
you see (informal),tu vedi,to see,False,foundational_words,verb
you see (formal),Lei vede,to see,False,foundational_words,verb
he sees,lui vede,to see,False,foundational_words,verb
she sees,lei vede,to see,False,foundational_words,verb
we see,noi vediamo,to see,False,foundational_words,verb
you see (plural),voi vedete,to see,False,foundational_words,verb
I saw,io vidi,to see,False,foundational_words,verb
you saw (informal),tu vedesti,to see,False,foundational_words,verb
you saw (formal),Lei vide,to see,False,foundational_words,verb
he saw,lui vide,to see,False,foundational_words,verb
she saw,lei vide,to see,False,foundational_words,verb
we saw,noi vedemmo,to see,False,foundational_words,verb
you saw (plural),voi vedeste,to see,False,foundational_words,verb
can / to be able,potere,can / to be able,True,foundational_words,verb
I can / I am able,io posso,can / to be able,False,foundational_words,verb
you can / you are able (informal),tu puoi,can / to be able,False,foundational_words,verb
you can / you are able (formal),Lei può,can / to be able,False,foundational_words,verb
he can / he is able,lui può,can / to be able,False,foundational_words,verb
she can / she is able,lei può,can / to be able,False,foundational_words,verb
we can / we are able,noi possiamo,can / to be able,False,foundational_words,verb
you can / you are able (plural),voi potete,can / to be able,False,foundational_words,verb
I could / I was able,io potei,can / to be able,False,foundational_words,verb
you could / you were able (informal),tu potesti,can / to be able,False,foundational_words,verb
you could / you were able (formal),Lei poté,can / to be able,False,foundational_words,verb
he could / he was able,lui poté,can / to be able,False,foundational_words,verb
she could / she was able,lei poté,can / to be able,False,foundational_words,verb
we could / we were able,noi potemmo,can / to be able,False,foundational_words,verb
you could / you were able (plural),voi poteste,can / to be able,False,foundational_words,verb
to want,volere,to want,True,foundational_words,verb
I want,io voglio,to want,False,foundational_words,verb
you want (informal),tu vuoi,to want,False,foundational_words,verb
you want (formal),Lei vuole,to want,False,foundational_words,verb
he wants,lui vuole,to want,False,foundational_words,verb
she wants,lei vuole,to want,False,foundational_words,verb
we want,noi vogliamo,to want,False,foundational_words,verb
you want (plural),voi volete,to want,False,foundational_words,verb
I wanted,io volli,to want,False,foundational_words,verb
you wanted (informal),tu volesti,to want,False,foundational_words,verb
you wanted (formal),Lei volle,to want,False,foundational_words,verb
he wanted,lui volle,to want,False,foundational_words,verb
she wanted,lei volle,to want,False,foundational_words,verb
we wanted,noi volemmo,to want,False,foundational_words,verb
you wanted (plural),voi voleste,to want,False,foundational_words,verb
must / have to,dovere,must / have to,True,foundational_words,verb
I must / I have to,io devo,must / have to,False,foundational_words,verb
you must / you have to (informal),tu devi,must / have to,False,foundational_words,verb
you must / you have to (formal),Lei deve,must / have to,False,foundational_words,verb
he must / he has to,lui deve,must / have to,False,foundational_words,verb
she must / she has to,lei deve,must / have to,False,foundational_words,verb
we must / we have to,noi dobbiamo,must / have to,False,foundational_words,verb
you must / you have to (plural),voi dovete,must / have to,False,foundational_words,verb
I had to,io dovevo,must / have to,False,foundational_words,verb
you had to (informal),tu dovevi,must / have to,False,foundational_words,verb
you had to (formal),Lei doveva,must / have to,False,foundational_words,verb
he had to,lui doveva,must / have to,False,foundational_words,verb
she had to,lei doveva,must / have to,False,foundational_words,verb
we had to,noi dovevamo,must / have to,False,foundational_words,verb
you had to (plural),voi dovevate,must / have to,False,foundational_words,verb
to know (fact),sapere,to know (fact),True,foundational_words,verb
I know (fact),io so,to know (fact),False,foundational_words,verb
you know (fact) (informal),tu sai,to know (fact),False,foundational_words,verb
you know (fact) (formal),Lei sa,to know (fact),False,foundational_words,verb
he knows (fact),lui sa,to know (fact),False,foundational_words,verb
she knows (fact),lei sa,to know (fact),False,foundational_words,verb
we know (fact),noi sappiamo,to know (fact),False,foundational_words,verb
you know (fact) (plural),voi sapete,to know (fact),False,foundational_words,verb
I knew (fact),io seppi,to know (fact),False,foundational_words,verb
you knew (fact) (informal),tu sapesti,to know (fact),False,foundational_words,verb
you knew (fact) (formal),Lei seppe,to know (fact),False,foundational_words,verb
he knew (fact),lui seppe,to know (fact),False,foundational_words,verb
she knew (fact),lei seppe,to know (fact),False,foundational_words,verb
we knew (fact),noi sapemmo,to know (fact),False,foundational_words,verb
you knew (fact) (plural),voi sapeste,to know (fact),False,foundational_words,verb
to stay / to be located,stare,to stay / to be located,True,foundational_words,verb
I stay / I am located,io sto,to stay / to be located,False,foundational_words,verb
you stay / you are located (informal),tu stai,to stay / to be located,False,foundational_words,verb
you stay / you are located (formal),Lei sta,to stay / to be located,False,foundational_words,verb
he stays / he is located,lui sta,to stay / to be located,False,foundational_words,verb
she stays / she is located,lei sta,to stay / to be located,False,foundational_words,verb
we stay / we are located,noi stiamo,to stay / to be located,False,foundational_words,verb
you stay / you are located (plural),voi state,to stay / to be located,False,foundational_words,verb
I stayed / I was located,io stetti,to stay / to be located,False,foundational_words,verb
you stayed / you were located (informal),tu stesti,to stay / to be located,False,foundational_words,verb
you stayed / you were located (formal),Lei stette,to stay / to be located,False,foundational_words,verb
he stayed / he was located,lui stette,to stay / to be located,False,foundational_words,verb
she stayed / she was located,lei stette,to stay / to be located,False,foundational_words,verb
we stayed / we were located,noi stemmo,to stay / to be located,False,foundational_words,verb
you stayed / you were located (plural),voi steste,to stay / to be located,False,foundational_words,verb
to go out,uscire,to go out,True,foundational_words,verb
I go out,io esco,to go out,False,foundational_words,verb
you go out (informal),tu esci,to go out,False,foundational_words,verb
you go out (formal),Lei esce,to go out,False,foundational_words,verb
he goes out,lui esce,to go out,False,foundational_words,verb
she goes out,lei esce,to go out,False,foundational_words,verb
we go out,noi usciamo,to go out,False,foundational_words,verb
you go out (plural),voi uscite,to go out,False,foundational_words,verb
I went out,io uscii,to go out,False,foundational_words,verb
you went out (informal),tu uscisti,to go out,False,foundational_words,verb
you went out (formal),Lei uscì,to go out,False,foundational_words,verb
he went out,lui uscì,to go out,False,foundational_words,verb
she went out,lei uscì,to go out,False,foundational_words,verb
we went out,noi uscimmo,to go out,False,foundational_words,verb
you went out (plural),voi usciste,to go out,False,foundational_words,verb
here (precise),qui,here,True,foundational_words,adverb
here (approximate),qua,here,False,foundational_words,adverb
there (precise),lì,there,True,foundational_words,adverb
there (approximate),là,there,False,foundational_words,adverb
already,già,already,True,foundational_words,adverb
still / yet,ancora,still / yet,True,foundational_words,adverb
I,io,I,True,foundational_words,pronoun
you,tu,you,True,foundational_words,pronoun
you (formal),Lei,you,True,foundational_words,pronoun
he,lui,he,True,foundational_words,pronoun
she,lei,she,True,foundational_words,pronoun
we,noi,we,True,foundational_words,pronoun
you (plural),voi,you,True,foundational_words,pronoun
they,loro,they,True,foundational_words,pronoun
me,mi,I,False,foundational_words,pronoun
you (object),ti,you,False,foundational_words,pronoun
to her,le,her,False,foundational_words,pronoun
to him,gli,him,False,foundational_words,pronoun
us,ci,we,False,foundational_words,pronoun
you (plural object),vi,you,False,foundational_words,pronoun
oneself,si,oneself,False,foundational_words,pronoun
it/him,lo,it,False,foundational_words,pronoun
it/her,la,it,False,foundational_words,pronoun
them (masculine),li,they,False,foundational_words,pronoun
them (feminine),le,they,False,foundational_words,pronoun
who,chi,who,False,foundational_words,pronoun
what / that,che,what,False,foundational_words,pronoun
which,quale,which,False,foundational_words,pronoun
this (masculine),questo,this,True,foundational_words,determiner
this (feminine),questa,this,False,foundational_words,determiner
these (masculine),questi,these,True,foundational_words,determiner
these (feminine),queste,these,False,foundational_words,determiner
that (masculine),quello,that,True,foundational_words,determiner
that (feminine),quella,that,False,foundational_words,determiner
those (masculine),quelli,those,False,foundational_words,determiner
those (feminine),quelle,those,False,foundational_words,determiner
every,ogni,every,True,foundational_words,determiner
some,qualche,some,True,foundational_words,determiner
a few (masculine),alcuni,a few,True,foundational_words,determiner
a few (feminine),alcune,a few,False,foundational_words,determiner
the (masculine),il,the,True,foundational_words,article
the (feminine),la,the,False,foundational_words,article
the (masculine) (plural),i,the,False,foundational_words,article
the (feminine) (plural),le,the,False,foundational_words,article
a / an (masculine),un / uno,a,True,foundational_words,article
a / an (feminine),un' / una,a,False,foundational_words,article
where,dove,where,True,foundational_words,question
when,quando,when,True,foundational_words,question
how,come,how,True,foundational_words,question
why/because,perché,why,True,foundational_words,question
how much (masculine),quanto,how much,True,foundational_words,question
how much (feminine),quanta,how much,False,foundational_words,question
how many (masculine),quanti,how many,True,foundational_words,question
how many (feminine),quante,how many,False,foundational_words,question
