text	pronunciation	translation_en
fattucchiera	faht-took-KYER-rah	sorceress; witch
fattucchiere	faht-took-KYER-reh	sorceresses; witches
fattura	faht-TOO-rah	invoice; bill
fatturato	faht-too-RAH-toh	revenue; turnover
fava	FAH-vah	fava bean; broad bean
favelas	fah-VEH-lahs	favelas; shantytowns
favola	FAH-voh-lah	fable; fairy tale
favorita	fah-voh-REE-tah	favorite (feminine)
fax	FAHKS	fax
fazioni	fah-TSYOH-nee	factions
fazzoletti	faht-tsoh-LEHT-tee	handkerchiefs
fazzolettino	faht-tsoh-let-TEE-noh	little handkerchief; tissue
fazzoletto	faht-tsoh-LET-toh	handkerchief
febbraio	feb-BRAH-yoh	february
febbre	FEHB-breh	fever
feci	FEH-chee	I made; I did
fedeltà	feh-del-TAH	faithfulness; loyalty
fedina	feh-DEE-nah	criminal record
fegato	FEH-gah-toh	liver
felicitazioni	feh-lee-chee-tah-TSEE-oh-nee	congratulations
felicità	feh-lee-chee-TAH	happiness
femmina	FEM-mee-nah	female (feminine)
femmine	FEM-mee-neh	females
femminella	fem-mee-NEL-lah	sucker shoot; young female
femminelle	fem-mee-NEL-leh	sucker shoots; young females
femminismo	fem-mee-NEEZ-moh	feminism
femministe	fem-mee-NEES-teh	feminists
femminucce	fem-mee-NOO-cheh	little girls; girly girls
femminuccia	fem-mee-NOO-chah	little girl; girly girl
fenomeni	feh-NOH-meh-nee	phenomena
fenomeno	feh-NOH-meh-noh	phenomenon; prodigy
ferie	FEH-ryeh	vacation days; holidays
ferirti	feh-REER-tee	hurt you
ferita	feh-REE-tah	wound
ferite	feh-REE-teh	wounds
feriti	feh-REE-tee	wounded men; injured people
ferito	feh-REE-toh	wounded man; injured person
fermata	fer-MAH-tah	stop; station
fermate	fer-MAH-teh	stops; stations
ferme	FER-meh	stop (feminine plural imperative)
fermentazione	fer-men-tah-TSEE-oh-neh	fermentation
fermento	fer-MEN-toh	ferment; turmoil
fermi	FER-mee	stop (masculine plural imperative)
fermo	FER-moh	custody; detention
ferramenta	fer-rah-MEN-tah	hardware store; hardware
ferri	FEHR-ree	irons; tools
ferro	FEHR-roh	iron
ferrovia	fer-roh-VEE-ah	railway
ferrovie	fer-roh-VEE-eh	railways
fertilizzante	fer-tee-leet-TSAN-teh	fertilizer
fertilizzanti	fer-tee-leet-TSAN-tee	fertilizers
fesso	FEHS-soh	fool; sucker
festaiolo	fes-tah-YOH-loh	partygoer; party animal
festeggiamento	fes-tehj-jah-MEN-toh	celebration
festival	FES-tee-vahl	festival
festivi	fes-TEE-vee	holidays
festività	fes-tee-vee-TAH	holiday; festivities
fetta	FEHT-tah	slice
fette	FEHT-teh	slices
fettuccine	fet-too-CHEE-neh	fettuccine
fiaba	FYA-bah	fairy tale
fiamma	FYAHM-mah	flame
fiamme	FYAHM-meh	flames
fiammiferi	fya-mee-FEH-ree	matches
fiammifero	fya-mee-FEH-roh	matchstick
fianchi	FYAHN-kee	hips; sides
fianco	FYAHN-koh	side; flank
fiato	FYAH-toh	breath
fibre	FEE-breh	fibers
fichi	FEE-kee	figs
fiction	FEEK-shon	fiction (TV series)
fidandoti	fee-DAHN-doh-tee	trusting him
fidanzamento	fee-dahn-zah-MEN-toh	engagement
fidanzate	fee-dahn-ZAH-teh	fiancées
fidati	FEE-dah-tee	trust me
fiducia	fee-DOO-chah	trust; confidence
fienile	fee-eh-NEE-leh	barn; hayloft
fienili	fee-eh-NEE-lee	barns; haylofts
fieno	FYAY-noh	hay
fierezza	fyay-REHT-tsah	pride
figa	FEE-gah	pussy
figata	fee-GAH-tah	cool thing
fighette	fee-GEHT-teh	prissy girls
figliastra	feelyah-STRAH	stepdaughter
figliastro	feelyah-STROH	stepson
figlie	FEEL-yeh	daughters
figliuoli	feelyoo-OH-lee	children; sons
figura	fee-GOO-rah	figure; image
figure	fee-GOO-reh	figures; images
figurine	fee-goo-REE-neh	figurines; trading cards
fila	FEE-lah	line; row
filantropo	fee-LAN-troh-poh	philanthropist
file	FEE-leh	lines; rows
filetto	fee-LEHT-toh	fillet; tenderloin
fili	FEE-lee	threads; wires
filiale	fee-LYAH-leh	branch office
filippino	fee-leep-PEE-noh	Filipino; Filipino language
filo	FEE-loh	thread; wire
filologia	fee-loh-loh-JEE-ah	philology
filologo	fee-LOH-loh-goh	philologist
filosofa	fee-LOH-soh-fah	philosopher (feminine)
filosofi	fee-LOH-soh-fee	philosophers
filosofia	fee-loh-soh-FEE-ah	philosophy
filosofo	fee-LOH-soh-foh	philosopher
fina	FEE-nah	until; till
finale	fee-NAH-leh	final; ending
finanza	fee-NAHN-tsah	finance
finanze	fee-NAHN-tseh	finances
finanziamenti	fee-nahn-tsyah-MEN-tee	fundings; loans
finanziamento	fee-nahn-tsyah-MEN-toh	funding; financing
finestrino	fee-neh-STREE-noh	car window
finezza	fee-NET-tsah	fineness; refinement
finitura	fee-nee-TOO-rah	finish; finishing
finlandese	feen-lahn-DEH-seh	Finnish; Finn
finlandesi	feen-lahn-DEH-see	Finns
finta	FEEN-tah	feint; fake
finzione	feen-TSYOH-neh	fiction; pretense
finzioni	feen-TSYOH-nee	fictions; pretenses
fiorai	fee-oh-RAH-ee	florists
fiorellino	fee-oh-rel-LEE-noh	little flower
fiorista	fee-oh-REE-stah	florist
fioristi	fee-oh-REE-stee	florists
fioritura	fee-oh-ree-TOO-rah	bloom; flowering
firewall	FIRE-wohl	firewall
firma	FEER-mah	signature
firmi	FEER-mee	sign (formal imperative)
fisarmonica	fee-zar-MOH-nee-kah	accordion
fischietto	fee-SKYET-toh	whistle
fischio	FEE-skee-oh	whistle; hiss
fish	FEESH	fish (loanword)
fisica	FEE-zee-kah	physics
fisici	FEE-zee-chee	physicists
fisico	FEE-zee-koh	physicist; physique
fisiologia	fee-zee-oh-loh-JEE-ah	physiology
fisioterapista	fee-zyoh-teh-rah-PEES-tah	physical therapist
fisioterapisti	fee-zyoh-teh-rah-PEES-tee	physical therapists
fiuto	FYOO-toh	sense of smell
flauto	FLAH-oo-toh	flute
flessibilità	fles-see-bee-lee-TAH	flexibility
flessioni	fles-SYOH-nee	push-ups; bends
fluenza	floo-EN-tsah	fluency
fluidi	FLOO-ee-dee	fluids
fluido	FLOO-ee-doh	fluid
flusso	FLOOS-soh	flow
fobia	FOH-bee-ah	phobia
focolare	foh-koh-LAH-reh	hearth; home
focolari	foh-koh-LAH-ree	hearths; households
fogli	FOH-yee	sheets; leaves
foglia	FOHL-yah	leaf
foglie	FOHL-yeh	leaves
foglietto	foh-LYET-toh	small sheet; leaflet
foglio	FOHL-yoh	sheet; page
fogna	FOHN-yah	sewer
fognature	fohn-yah-TOO-reh	sewer systems; drains
folk	FOLK	folk (music)
folla	FOHL-lah	crowd
folle	FOHL-leh	madman; lunatic
folli	FOHL-lee	mad people; crazy ones
follia	foh-LEE-ah	madness; folly
follie	foh-LEE-eh	madnesses; extravagances
fon	FON	hair dryer
fondamenta	fon-dah-MEN-tah	foundations
fondamentalismo	fon-dah-men-tah-LEEZ-moh	fundamentalism
fondamentalisti	fon-dah-men-tah-LEE-stee	fundamentalists
fondamento	fon-dah-MEN-toh	foundation; basis
fondatezza	fon-dah-TET-tsah	soundness; validity
fondatore	fon-dah-TOH-reh	founder
fondi	FON-dee	funds
fondo	FON-doh	bottom; fund
foni	FOH-nee	sounds; phonemes
fonologia	foh-noh-loh-JEE-ah	phonology
font	FONT	font
fontana	fon-TAH-nah	fountain
fonte	FOHN-teh	source; spring
fonti	FOHN-tee	sources
football	FOOT-bol	football
footing	FOO-ting	jogging
forbici	FOR-bee-chee	scissors
forcelle	for-CHEL-leh	forked ends; clamps
forchetta	for-KET-tah	fork
forchette	for-KET-teh	forks
foresta	foh-RES-tah	forest
foreste	foh-RES-teh	forests
forfora	FOR-foh-rah	dandruff
fori	FOH-ree	holes
formaggi	for-MAHJ-jee	cheeses
formaggio	for-MAHJ-joh	cheese
formalità	for-mah-lee-TAH	formality; formalities
formato	for-MAH-toh	format; size
formazione	for-mah-TSYOH-neh	training; formation
formica	for-MEE-kah	ant
formiche	for-MEE-keh	ants
formichieri	for-mee-KYER-ree	anteaters
formula	FOR-moo-lah	formula
formule	FOR-moo-leh	formulas
fornello	for-NEL-loh	stove; burner
forni	FOR-nee	ovens
fornitori	for-nee-TOH-ree	suppliers
forniture	for-nee-TOO-reh	supplies
forno	FOR-noh	oven
foro	FOH-roh	hole; forum
forsennato	for-sen-NAH-toh	madman; frantic person
forte	FOR-teh	fort; strength
fortezza	for-TEHT-tsah	fortress
fortezze	for-TEHT-tseh	fortresses
forti	FOR-tee	forts; strong ones
fortunata	for-too-NAH-tah	lucky woman
fortunato	for-too-NAH-toh	lucky man
fortune	for-TOO-neh	fortunes
forum	FOR-oom	forum
forza	FOR-tsah	force; strength
forze	FOR-tseh	forces; strengths
foschia	fos-KEE-ah	mist; haze
fosforo	FOS-foh-roh	phosphorus
fossa	FOS-sah	pit; grave
fossato	fos-SAH-toh	ditch; moat
fossi	FOS-see	ditches
fossili	FOS-see-lee	fossils
fosso	FOS-soh	ditch
foste	FOHS-teh	you were
fotocamera	foh-toh-KAH-meh-rah	camera
fotocopiatrice	foh-toh-koh-pee-ah-TREE-cheh	photocopier
fotocopie	foh-toh-KOH-pee-eh	photocopies
fotografa	foh-TOH-grah-fah	photographer (feminine)
fotografo	foh-TOH-grah-foh	photographer
fotomontaggio	foh-toh-mon-TAHJ-joh	photomontage
fottuta	foht-TOO-tah	fucking woman
fottuto	foht-TOO-toh	fucking guy
fracasso	fra-KAH-soh	crash; racket
fradicia	FRAH-dee-chah	soaked woman
fragola	FRAH-goh-lah	strawberry
fragole	FRAH-goh-leh	strawberries
fraintendimento	frain-ten-dee-MEN-toh	misunderstanding
frammenti	fruh-MEN-tee	fragments
frammento	fruh-MEN-toh	fragment
frana	FRAH-nah	landslide
franchezza	fran-KEHT-tsah	frankness
franchi	FRAN-kee	francs
franco	FRAN-koh	franc
francobolli	fran-koh-BOHL-lee	stamps
francobollo	fran-koh-BOHL-loh	stamp
francofoni	fran-koh-FOH-nee	francophones
frantumi	fran-TOO-mee	shards; fragments
frasca	FRAH-skah	bough; branch
fratellanza	fra-tel-LAN-tsah	brotherhood
fratellastro	fra-tel-LAS-troh	stepbrother
frattempo	frat-TEM-poh	meantime
freccetta	freht-CHET-tah	dart
freccette	freht-CHET-teh	darts
freccia	FREH-chah	arrow
fredda	FRED-dah	cold woman
freddo	FRED-doh	cold; chill
freelance	FREE-lans	freelance
freelancer	FREE-lan-ser	freelancer
freezer	FREE-zer	freezer
fregna	FREHN-yah	pussy
freni	FREH-nee	brakes
freno	FREH-noh	brake
frenologia	freh-noh-loh-JEE-ah	phrenology
frequente	freh-KWEN-teh	frequently
frequenza	freh-KWEN-tsah	frequency
freta	FREH-tah	hurry; haste
fricchettona	free-keht-TOH-nah	hippie girl
fricchettone	free-keht-TOH-neh	hippie guy
frigo	FREE-goh	fridge
frigorifero	free-goh-REE-feh-roh	refrigerator
fringuelli	frin-GWEL-lee	finches
fringuello	frin-GWEL-loh	finch
frittata	freet-TAH-tah	omelette
frittella	freet-TEL-lah	fritter
frittelle	freet-TEL-leh	fritters
frizione	free-TSYOH-neh	clutch; friction
frizzante	free-TSAN-teh	sparkling drink
frode	FROH-deh	fraud
frodo	FROH-doh	poached goods; contraband
frontiera	fron-TYEH-rah	border; frontier
frontiere	fron-TYEH-reh	borders; frontiers
frullatore	frul-lah-TOH-reh	blender
frustrazione	froos-trah-TSYOH-neh	frustration
frustrazioni	froos-trah-TSYOH-nee	frustrations
frutteria	frut-teh-REE-ah	fruit shop
frutteto	frut-TEH-toh	orchard
frutti	FROO-tee	fruits
frutto	FROO-toh	fruit
fucile	foo-CHEE-leh	rifle
fucsia	FOOK-syah	fuchsia
fuga	FOO-gah	escape; flight
fuggitivo	foo-jee-TEE-voh	fugitive
fukusa	foo-KOO-sah	fukusa cloth
fuliggine	foo-LEE-jee-neh	soot
fulmine	FOOL-mee-neh	lightning bolt
fulmini	FOOL-mee-nee	lightning bolts
fuma	FOO-mah	smokes
fumate	FOO-mah-teh	smokes; puffs
fumatore	foo-mah-TOH-reh	smoker
fumatori	foo-mah-TOH-ree	smokers
fumetti	foo-MET-tee	comics
fumettista	foo-met-TEES-tah	comic artist
fumetto	foo-MET-toh	comic
fumi	FOO-mee	smokes; fumes
fumo	FOO-moh	smoke
fune	FOO-neh	rope
funerale	foo-neh-RAH-leh	funeral
funerali	foo-neh-RAH-lee	funerals
funghi	FOON-ghee	mushrooms
fungo	FOON-goh	mushroom
funtore	foon-TOH-reh	functor
funzionalità	foon-dzyoh-nah-lee-TAH	functionality
funzionari	foon-dzyoh-NAH-ree	officials
funzione	foon-DZYO-neh	function
funzioni	foon-DZYO-nee	functions
fuoricampo	foo-oh-ree-KAHM-poh	home run; out-of-bounds hit
fuorilegge	foo-oh-ree-LEH-jeh	outlaw
furgoncino	foor-gon-CHEE-noh	van; minivan
furgone	foor-GOH-neh	van; truck
furia	FOO-ryah	fury; rage
furigana	foo-ree-GAH-nah	furigana
furore	foo-ROH-reh	fury; craze
furto	FOOR-toh	theft
fusa	FOO-zah	purrs
fuso	FOO-zoh	spindle
