cialtrone|slob; boor
concorso|contest; competition
condanna|sentence; conviction
condanne|sentences; convictions
condimento|seasoning; dressing
condivisione|sharing
condizionamenti|conditioning; constraints
condizionator|air conditioner
condizionatore|air conditioner
condizione|condition
condizioni|conditions
condoglianze|condolences
condominio|condominium
condor|condor
condotta|conduct; behavior
condotto|duct; conduit
conducente|driver
conducenti|drivers
conduttore|conductor; host
conferenza|conference
conferenze|conferences
conferma|confirmation
confessionale|confessional booth
confessione|confession
confezioni|packages; packaging
confidenza|confidence; familiarity
confine|border
confini|borders
conflitti|conflicts
conflitto|conflict
conformità|compliance; conformity
conforto|comfort
confronti|comparisons
confronto|comparison; confrontation
confucianesimo|Confucianism
confusione|confusion
congedo|leave; furlough
congelatore|freezer
congiuntivite|conjunctivitis
congiuntivo|subjunctive
congiunzione|conjunction
congiura|conspiracy; plot
congratulazioni|congratulations
congrega|clique; coterie
congregazione|congregation
conigli|rabbits
coniglietto|bunny; little rabbit
coniglio|rabbit
coniugazione|conjugation
coniugi|spouses
connessione|connection
cono|cone
conobbi|I met
conoscenti|acquaintances
conquista|conquest; achievement
consapevolezza|awareness
consegna|delivery; handover
consegne|deliveries; assignments
conseguenza|consequence
conseguenze|consequences
consenso|consent; approval
conservanti|preservatives
conservatore|conservative; curator
conservatori|conservatives; curators
conservatorio|conservatory; music school
considerazione|consideration
consigliera|counselor (feminine); councilor
consigliere|counselor (masculine); adviser
consolate|consulates
consolato|consulate
console|consul
consuetudine|custom; habit
consulente|consultant; adviser
consumatori|consumers
consumazione|consumption; purchase
consumo|consumption
conta|count; tally
contabile|accountant
contabilità|accounting; bookkeeping
contaci|count on it
contadina|farmer (feminine)
contadini|farmers (masculine)
contadino|farmer (masculine)
contagio|contagion; infection
contanti|cash
contatore|meter; counter
contee|counties
conteggio|count; tally
contemporanea|contemporary (feminine)
contemporanei|contemporaries (masculine)
contemporaneo|contemporary (masculine)
contenitore|container
contenitori|containers
contenuti|contents
contenuto|content
contesti|contexts
contesto|context
contestualizzazione|contextualization
conti|accounts
continente|continent
continenti|continents
continuazione|continuation
contrabbando|smuggling
contraddizioni|contradictions
contrario|opposite; contrary
contrasto|contrast; conflict
contrattempo|setback; hitch
contratto|contract
contribuenti|taxpayers
contributi|contributions
contributo|contribution
controller|controller
controlli|checks; inspections
controlliamola|let's check it (feminine)
controlliamolo|let's check it (masculine)
controllo|check; inspection
controllori|inspectors; controllers
controparte|counterpart; opposing party
convegni|conferences
convegno|conference
convenienza|convenience; bargain
conventi|convents
convento|convent; monastery
convenzione|convention; agreement
conversazione|conversation
conversazioni|conversations
conversione|conversion
convinzione|conviction; belief
convinzioni|convictions; beliefs
convulsioni|convulsions
cookie|cookie (web)
cooperazione|cooperation
coordinamento|coordination
coperchi|lids
coperchio|lid
coperta|blanket
coperte|blankets
copertina|cover; jacket
copertura|coverage; cover
coperture|coverings; coverage
copia|copy
copie|copies
copione|script
copioni|scripts
coppa|cup; trophy
coppe|cups; trophies
coppia|couple; pair
coppie|couples; pairs
coprifuoco|curfew
copyright|copyright
coraggio|courage
corda|rope; cord
corde|ropes; strings
cordialità|cordiality; friendliness
coreani|Koreans (masculine)
coreano|Korean (language/person)
corista|chorister; choir singer
cormorano|cormorant
corna|horns; cuckoldry
cornamusa|bagpipe
cornamuse|bagpipes
cornetto|croissant
cornice|frame
corno|horn
cornuto|cuckold
coro|choir
corona|crown
corone|crowns
corpora|corpora
corpus|corpus
corre|runs
correlazione|correlation
corrente|current; stream
correttore|proofreader; corrector
correzioni|corrections
corrida|bullfight
corridoio|corridor
corridore|runner
corridori|runners
corrispondenza|correspondence
corruzione|corruption
corsa|race; run
corse|races; runs
corsetta|jog; short run
corsi|courses
corsia|lane; ward
corsivo|italics; cursive
corso|course
corte|court
corteccia|bark
corteggiatore|suitor
cortesia|courtesy
cortigiano|courtier
cortile|courtyard
corto|short film; short
corvi|crows
corvo|crow
coscia|thigh
coscienza|conscience
cosmo|cosmos
cosmonauti|cosmonauts
costa|coast
costante|constant
coste|coasts; ribs
costellazione|constellation
costi|costs
costituzione|constitution
costo|cost
costola|rib
costruzione|construction
costruzioni|constructions; buildings
costume|costume; custom
costumi|costumes; customs
cotone|cotton
cotta|crush; infatuation
cottage|cottage
cottura|cooking; baking
coulrofobia|coulrophobia
country|country music
cowboy|cowboy
