english_term,italian_term,part_of_speech,topics,english_base_term,italian_base_term,is_base
a day,un giorno,noun,[time],day,giorno,False
the day,il giorno,noun,[time],day,giorno,False
dessert,dolce,noun,[restaurant],dessert,dolce,True
the desserts,i dolci,noun,[restaurant],dessert,dolce,False
the dessert,il dolce,noun,[restaurant],dessert,dolce,False
a dessert,un dolce,noun,[restaurant],dessert,dolce,False
diamond,diamante,noun,[jewelry and metal working],diamond,diamante,True
the diamond,il diamante,noun,[jewelry and metal working],diamond,diamante,False
a diamond,un diamante,noun,[jewelry and metal working],diamond,diamante,False
the diamonds,i diamanti,noun,[jewelry and metal working],diamond,diamante,False
discounted (feminine),scontata,adjective,[cost],discounted,scontato,False
discounted (masculine),scontato,adjective,[cost],discounted,scontato,True
doctor (masculine),dottore,noun,[people],doctor,dottore,True
the doctor (masculine),il dottore,noun,[people],doctor,dottore,False
a doctor (masculine),un dottore,noun,[people],doctor,dottore,False
the doctors (masculine),i dottori,noun,[people],doctor,dottore,False
doctor (feminine),dottoressa,noun,[people],doctor,dottore,False
a doctor (feminine),una dottoressa,noun,[people],doctor,dottore,False
the doctors (feminine),le dottoresse,noun,[people],doctor,dottore,False
the doctor (feminine),la dottoressa,noun,[people],doctor,dottore,False
door,porta,noun,[general],door,porta,True
a door,una porta,noun,[general],door,porta,False
the doors,le porte,noun,[general],door,porta,False
the door,la porta,noun,[general],door,porta,False
draft beer,birra alla spina,noun,[drinks],draft beer,birra alla spina,True
the draft beer,la birra alla spina,noun,[drinks],draft beer,birra alla spina,unknown
a draft beer,una birra alla spina,noun,[drinks],draft beer,birra alla spina,unknown
drawplate,trafila,noun,[jewelry and metal working],drawplate,trafila,True
the drawplate,la trafila,noun,[jewelry and metal working],drawplate,trafila,unknown
the drawplates,le trafile,noun,[jewelry and metal working],drawplate,trafila,unknown
a drawplate,una trafila,noun,[jewelry and metal working],drawplate,trafila,unknown
dress,vestito,noun,[fashion],dress,vestito,True
the dresses,i vestiti,noun,[fashion],dress,vestito,unknown
the dress,il vestito,noun,[fashion],dress,vestito,unknown
a dress,un vestito,noun,[fashion],dress,vestito,unknown
drizzle,pioggerella,noun,[weather],drizzle,pioggerella,True
the drizzle,la pioggerella,noun,[weather],drizzle,pioggerella,False
east,est,noun,[directions],east,est,True
the east,l'est,noun,[directions],east,est,False
easy,facile,adjective,[general],easy,facile,True
easy (plural),facili,adjective,[general],easy,facile,False
egg,ovo,noun,[food],egg,uovo,True
the eggs,le uova,noun,[food],egg,uovo,unknown
the egg,l'uovo,noun,[food],egg,uovo,unknown
an egg,un uovo,noun,[food],egg,uovo,unknown
the emerald,lo smeraldo,noun,[jewelry and metal working],emerald,smeraldo,unknown
an emerald,uno smeraldo,noun,[jewelry and metal working],emerald,smeraldo,unknown
the emeralds,gli smeraldi,noun,[jewelry and metal working],emerald,smeraldo,unknown
enough,abbastanza,adjective,[quantity],enough,abbastanza,True
an entrance,un ingresso,noun,[directions],entrance,ingresso,unknown
the entrance,l'ingresso,noun,[directions],entrance,ingresso,unknown
the entrances,gli ingressi,noun,[directions],entrance,ingresso,unknown
the espresso,l'espresso,noun,[drinks],espresso,espresso,unknown
an espresso,un espresso,noun,[drinks],espresso,espresso,unknown
the evening,la sera,noun,[time],evening,sera,unknown
an evening,una sera,noun,[time],evening,sera,unknown
the evenings,le sere,noun,[time],evening,sera,unknown
excellent,eccellente,adjective,[quality],excellent,eccellente,True
excited (masculine),eccitato,adjective,[emotion],excited,eccitato,True
excited (feminine),eccitata,adjective,[emotion],excited,eccitato,False
expensive (masculine),caro,adjective,[cost],expensive,caro,True
expensive (feminine),cara,adjective,[cost],expensive,caro,False
fake (masculine),falso,adjective,[quality],fake,falso,True
fake (feminine),falsa,adjective,[quality],fake,falso,False
fashionable,alla moda,adjective,[shopping],fashionable,alla moda,True
few (feminine) (plural),poche,adjective,[quantity],few,poco,False
few (masculine) (plural),pochi,adjective,[quantity],few,poco,True
the fish,il pesce,noun,[food],fish,pesce,False
fish,pesce,noun,[food],fish,pesce,True
the flame,la fiamma,noun,[jewelry and metal working],flame,fiamma,unknown
a flame,una fiamma,noun,[jewelry and metal working],flame,fiamma,unknown
the flames,le fiamme,noun,[jewelry and metal working],flame,fiamma,unknown
the flux,il flussante,noun,[jewelry and metal working],flux,flussante,False
flux,flussante,noun,[jewelry and metal working],flux,flussante,True
fog,nebbia,noun,[weather],fog,nebbia,True
the fog,la nebbia,noun,[weather],fog,nebbia,False
the forks,le forchette,noun,[restaurant],fork,forchetta,unknown
the fork,la forchetta,noun,[restaurant],fork,forchetta,unknown
a fork,una forchetta,noun,[restaurant],fork,forchetta,unknown
free (feminine),gratuita,adjective,[cost],free,gratuito,False
free (masculine),gratuito,adjective,[cost],free,gratuito,True
freezing (feminine) (plural),gelide,adjective,[temperature],freezing,gelido,False
freezing (masculine) (plural),gelidi,adjective,[temperature],freezing,gelido,False
freezing (feminine),gelida,adjective,[temperature],freezing,gelido,False
freezing (masculine),gelido,adjective,[temperature],freezing,gelido,True
the friend (feminine),l'amica,noun,[people],friend,amica,unknown
the friends (feminine),le amiche,noun,[people],friend,amica,unknown
a friend (feminine),un'amica,noun,[people],friend,amica,unknown
the friend (masculine),l'amico,noun,[people],friend,amico,unknown
the friends (masculine),gli amici,noun,[people],friend,amico,unknown
a friend (masculine),un amico,noun,[people],friend,amico,unknown
the gate,il gate,noun,[travel],gate,gate,unknown
a gate,un gate,noun,[travel],gate,gate,unknown
the gates,i gate,noun,[travel],gate,gate,unknown
a gem,una gemma,noun,[jewelry and metal working],gem,gemma,unknown
the gem,la gemma,noun,[jewelry and metal working],gem,gemma,unknown
the gems,le gemme,noun,[jewelry and metal working],gem,gemma,unknown
gigantic (feminine) (plural),gigantesche,adjective,[size],gigantic,gigantesco,False
gigantic (masculine) (plural),giganteschi,adjective,[size],gigantic,gigantesco,False
gigantic (feminine),gigantesca,adjective,[size],gigantic,gigantesco,False
gigantic (masculine),gigantesco,adjective,[size],gigantic,gigantesco,True
the girl,la ragazza,noun,[people],girl,ragazza,unknown
the girls,le ragazze,noun,[people],girl,ragazza,unknown
a girl,una ragazza,noun,[people],girl,ragazza,unknown
glacial,glaciale,adjective,[temperature],glacial,glaciale,True
glacial (plural),glaciali,adjective,[temperature],glacial,glaciale,False
a glass of milk,un bicchiere di latte,noun,[drinks],glass of milk,bicchiere di latte,True
a glass of wine,un bicchiere di vino,noun,[drinks],glass of wine,bicchiere di vino,True
a glass,un bicchiere,noun,[restaurant],glass,bicchiere,unknown
the glass,il bicchiere,noun,[restaurant],glass,bicchiere,unknown
the glasses,i bicchieri,noun,[restaurant],glass,bicchiere,unknown
gold,oro,noun,[jewelry and metal working],gold,oro,True
the gold,l'oro,noun,[jewelry and metal working],gold,oro,False
good (masculine) (plural),buoni,adjective,[general],good,buono,False
good (feminine),buona,adjective,[general],good,buono,False
good (masculine),buono,adjective,[general],good,buono,True
good (feminine) (plural),buone,adjective,[general],good,buono,False
grain,granulato,noun,[jewelry and metal working],grain,granulato,True
the grain,il granulato,noun,[jewelry and metal working],grain,granulato,False
gray (feminine),grigia,adjective,[color],gray,grigio,False
gray (masculine),grigio,adjective,[color],gray,grigio,True
green,verde,adjective,[color],green,verde,True
the guidebooks,le guide,noun,[travel],guidebook,guida,unknown
the guidebook,la guida,noun,[travel],guidebook,guida,unknown
a guidebook,una guida,noun,[travel],guidebook,guida,unknown
hail,grandine,noun,[weather],hail,grandine,True
the hail,la grandine,noun,[weather],hail,grandine,False
happy,felice,adjective,[emotion],happy,felice,True
happy (plural),felici,adjective,[general],happy,felice,False
the hat,il cappello,noun,[fashion],hat,cappello,unknown
a hat,un cappello,noun,[fashion],hat,cappello,unknown
the hats,i cappelli,noun,[fashion],hat,cappello,unknown
he,lui,pronoun,[subject],he,lui,True
the heat,il caldo,noun,[weather],heat,caldo,False
heat,caldo,noun,[weather],heat,caldo,True
her,la,pronoun,[object],her,la,True
the herbal tea,la tisana,noun,[drinks],herbal tea,tisana,unknown
an herbal tea,una tisana,noun,[drinks],herbal tea,tisana,unknown
him,lo,pronoun,[object],him,lo,True
himself/herself/itself,si,pronoun,[reflexive],himself/herself/itself,si,True
his/hers (masculine) (plural),i suoi,pronoun,[possessive],his/hers,suo,False
his/hers (masculine),il suo,pronoun,[possessive],his/hers,suo,True
his/hers (feminine) (plural),le sue,pronoun,[possessive],his/hers,suo,False
his/hers (feminine),la sua,pronoun,[possessive],his/hers,suo,False
the holiday,la festa,noun,[time],holiday,festa,unknown
the holidays,le feste,noun,[time],holiday,festa,unknown
a holiday,una festa,noun,[time],holiday,festa,unknown
the hospital,l'ospedale,noun,[places],hospital,ospedale,unknown
a hospital,un ospedale,noun,[places],hospital,ospedale,unknown
the hospitals,gli ospedali,noun,[places],hospital,ospedale,unknown
a hot chocolate,una cioccolata calda,noun,[drinks],hot chocolate,cioccolata calda,unknown
the hot chocolate,la cioccolata calda,noun,[drinks],hot chocolate,cioccolata calda,unknown
hot (feminine) (plural),calde,adjective,[general],hot,caldo,False
hot (feminine),calda,adjective,[general],hot,caldo,False
hot (masculine),caldo,adjective,[general],hot,caldo,True
hot (masculine) (plural),caldi,adjective,[general],hot,caldo,False
the hotels,gli hotel,noun,[places],hotel,hotel,unknown
a hotel,un hotel,noun,[places],hotel,hotel,unknown
the hotel,l'hotel,noun,[places],hotel,hotel,unknown
the hour,l'ora,noun,[time],hour,ora,unknown
an hour,un'ora,noun,[time],hour,ora,unknown
the hours,le ore,noun,[time],hour,ora,unknown
a house,una casa,noun,[general],house,casa,unknown
the house,la casa,noun,[general],house,casa,unknown
the houses,le case,noun,[general],house,casa,unknown
huge,enorme,adjective,[size],huge,enorme,True
huge (plural),enormi,adjective,[size],huge,enorme,False
the humidity,l'umidità,noun,[weather],humidity,umidità,False
humidity,umidità,noun,[weather],humidity,umidità,True
the ice creams,i gelati,noun,[food],ice cream,gelato,unknown
the ice cream,il gelato,noun,[food],ice cream,gelato,unknown
an ice cream,un gelato,noun,[food],ice cream,gelato,unknown
ice,ghiaccio,noun,[weather],ice,ghiaccio,True
the ice,il ghiaccio,noun,[weather],ice,ghiaccio,False
an iced tea,un tè freddo,noun,[drinks],iced tea,tè freddo,unknown
the iced tea,il tè freddo,noun,[drinks],iced tea,tè freddo,unknown
icy (masculine) (plural),ghiacciati,adjective,[temperature],icy,ghiacciato,False
icy (feminine),ghiacciata,adjective,[temperature],icy,ghiacciato,False
icy (masculine),ghiacciato,adjective,[temperature],icy,ghiacciato,True
icy (feminine) (plural),ghiacciate,adjective,[temperature],icy,ghiacciato,False
the idea,l'idea,noun,[general],idea,idea,unknown
the ideas,le idee,noun,[general],idea,idea,unknown
an idea,un'idea,noun,[general],idea,idea,unknown
the ingot,il lingotto,noun,[jewelry and metal working],ingot,lingotto,unknown
an ingot,un lingotto,noun,[jewelry and metal working],ingot,lingotto,unknown
the ingots,i lingotti,noun,[jewelry and metal working],ingot,lingotto,unknown
the intersection,l'incrocio,noun,[directions],intersection,incrocio,unknown
the intersections,gli incroci,noun,[directions],intersection,incrocio,unknown
an intersection,un incrocio,noun,[directions],intersection,incrocio,unknown
the jackets,le giacche,noun,[fashion],jacket,giacca,unknown
a jacket,una giacca,noun,[fashion],jacket,giacca,unknown
the jacket,la giacca,noun,[fashion],jacket,giacca,unknown
jeans,jeans,noun,[fashion],jeans,jeans,True
the jeans,i jeans,noun,[fashion],jeans,jeans,False
the juice,il succo,noun,[drinks],juice,succo,unknown
a juice,un succo,noun,[drinks],juice,succo,unknown
the jump ring,l'anellino,noun,[jewelry and metal working],jump ring,anellino,unknown
a jump ring,un anellino,noun,[jewelry and metal working],jump ring,anellino,unknown
the jump rings,gli anellini,noun,[jewelry and metal working],jump ring,anellino,unknown
the key,la chiave,noun,[general],key,chiave,unknown
the keys,le chiavi,noun,[general],key,chiave,unknown
a key,una chiave,noun,[general],key,chiave,unknown
the knife,il coltello,noun,[restaurant],knife,coltello,unknown
a knife,un coltello,noun,[restaurant],knife,coltello,unknown
the knives,i coltelli,noun,[restaurant],knife,coltello,unknown
left,sinistra,noun,[directions],left,sinistra,True
a lemonade,una limonata,noun,[drinks],lemonade,limonata,unknown
the lemonade,la limonata,noun,[drinks],lemonade,limonata,unknown
light blue (feminine),azzurra,adjective,[color],light blue,azzurro,False
light blue (masculine),azzurro,adjective,[color],light blue,azzurro,True
lightning,fulmine,noun,[weather],lightning,fulmine,True
the lightning,il fulmine,noun,[weather],lightning,fulmine,False
little (masculine),poco,adjective,[quantity],little,poco,True
little (feminine),poca,adjective,[quantity],little,poco,False
long (masculine),lungo,adjective,[size],long,lungo,True
long (feminine) (plural),lunghe,adjective,[size],long,lungo,False
long (masculine) (plural),lunghi,adjective,[size],long,lungo,False
long (feminine),lunga,adjective,[size],long,lungo,False
the loupe,la lente d'ingrandimento,noun,[jewelry and metal working],loupe,lente d'ingrandimento,unknown
a loupe,una lente d'ingrandimento,noun,[jewelry and metal working],loupe,lente d'ingrandimento,unknown
the luggage,il bagaglio,noun,[travel],luggage,bagaglio,False
luggage,bagaglio,noun,[travel],luggage,bagaglio,True
luxurious (feminine),lussuosa,adjective,[cost],luxurious,lussuoso,False
luxurious (masculine),lussuoso,adjective,[cost],luxurious,lussuoso,True
a man,un uomo,noun,[people],man,uomo,unknown
the man,l'uomo,noun,[people],man,uomo,unknown
the men,gli uomini,noun,[people],man,uomo,unknown
a mandrel,un mandrino,noun,[jewelry and metal working],mandrel,mandrino,unknown
the mandrel,il mandrino,noun,[jewelry and metal working],mandrel,mandrino,unknown
the mandrels,i mandrini,noun,[jewelry and metal working],mandrel,mandrino,unknown
many (feminine) (plural),molte,adjective,[quantity],many,molto,False
many (masculine) (plural),molti,adjective,[quantity],many,molto,True
the maps,le mappe,noun,[general],map,mappa,unknown
a map,una mappa,noun,[general],map,mappa,unknown
the map,la mappa,noun,[general],map,mappa,unknown
