term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
con l’acqua,false,acqua,with the water,"beverages,basics",feminine,singular,articulated_preposition,l’,con l’,con,,"Lavo i piatti con l’acqua.","I wash the dishes with the water."
con le acque,false,acqua,with the waters,"beverages,basics",feminine,plural,articulated_preposition,le,con le,con,,"Lavoriamo con le acque locali.","We work with the local waters."
vino,true,vino,wine,"beverages,dining",masculine,singular,none,n/a,n/a,n/a,base lemma,"Assaggio vino locale.","I taste local wine."
un vino,false,vino,a wine,"beverages,dining",masculine,singular,indefinite,un,un,n/a,used for a type/label,"Prendo un vino rosso.","I’ll have a red wine."
il vino,false,vino,the wine,"beverages,dining",masculine,singular,definite,il,il,n/a,,"Il vino è secco.","The wine is dry."
vini,false,vino,wines,"beverages,dining",masculine,plural,none,n/a,n/a,n/a,plural form,"Vini italiani vincono premi.","Italian wines win awards."
i vini,false,vino,the wines,"beverages,dining",masculine,plural,definite,i,i,n/a,,"I vini sono in carta.","The wines are on the list."
dei vini,false,vino,some wines,"beverages,dining",masculine,plural,articulated_preposition,i,dei,di,,"Assaggiamo dei vini locali.","We taste some local wines."
del vino,false,vino,of the wine,"beverages,dining",masculine,singular,articulated_preposition,il,del,di,,"C’è profumo del vino.","There is aroma of the wine."
al vino,false,vino,to the wine,"beverages,dining",masculine,singular,articulated_preposition,il,al,a,,"Aggiungo acqua al vino.","I add water to the wine."
ai vini,false,vino,to the wines,"beverages,dining",masculine,plural,articulated_preposition,i,ai,a,,"Abbino i formaggi ai vini.","I pair cheeses with the wines."
dal vino,false,vino,from the wine,"beverages,dining",masculine,singular,articulated_preposition,il,dal,da,,"Il profumo dal vino è intenso.","The aroma from the wine is intense."
dai vini,false,vino,from the wines,"beverages,dining",masculine,plural,articulated_preposition,i,dai,da,,"I profumi dai vini sono complessi.","The aromas from the wines are complex."
nel vino,false,vino,in the wine,"beverages,dining",masculine,singular,articulated_preposition,il,nel,in,,"Metto le pere nel vino.","I put the pears in the wine."
nei vini,false,vino,in the wines,"beverages,dining",masculine,plural,articulated_preposition,i,nei,in,,"Non va zucchero nei vini secchi.","Sugar doesn’t go in dry wines."
sul vino,false,vino,on the wine,"beverages,dining",masculine,singular,articulated_preposition,il,sul,su,,"Un libro sul vino.","A book about wine."
sui vini,false,vino,on the wines,"beverages,dining",masculine,plural,articulated_preposition,i,sui,su,,"Parlo spesso sui vini naturali.","I often talk about natural wines."
col vino,false,vino,with the wine,"beverages,dining",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Brindiamo col vino.","We toast with the wine."
coi vini,false,vino,with the wines,"beverages,dining",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Cuciniamo coi vini locali.","We cook with the local wines."
pane,true,pane,bread,"food,basics",masculine,singular,none,n/a,n/a,n/a,base lemma,"Mangio pane caldo.","I eat warm bread."
un pane,false,pane,a bread,"food,basics",masculine,singular,indefinite,un,un,n/a,used for a loaf,"Compro un pane integrale.","I buy a wholemeal loaf."
il pane,false,pane,the bread,"food,basics",masculine,singular,definite,il,il,n/a,,"Il pane è fresco.","The bread is fresh."
pani,false,pane,breads,"food,basics",masculine,plural,none,n/a,n/a,n/a,plural form,"Pani diversi sono in vetrina.","Different breads are on display."
i pani,false,pane,the breads,"food,basics",masculine,plural,definite,i,i,n/a,,"I pani sono artigianali.","The breads are artisanal."
dei pani,false,pane,some breads,"food,basics",masculine,plural,articulated_preposition,i,dei,di,,"Assaggio dei pani tipici.","I taste some typical breads."
del pane,false,pane,of the bread,"food,basics",masculine,singular,articulated_preposition,il,del,di,,"Mangio del pane.","I eat some bread."
al pane,false,pane,to the bread,"food,basics",masculine,singular,articulated_preposition,il,al,a,,"Aggiungo olio al pane.","I add oil to the bread."
ai pani,false,pane,to the breads,"food,basics",masculine,plural,articulated_preposition,i,ai,a,,"Metto etichette ai pani.","I put labels on the breads."
dal pane,false,pane,from the bread,"food,basics",masculine,singular,articulated_preposition,il,dal,da,,"Il profumo viene dal pane.","The aroma comes from the bread."
dai pani,false,pane,from the breads,"food,basics",masculine,plural,articulated_preposition,i,dai,da,,"Le briciole cadono dai pani.","Crumbs fall from the breads."
nel pane,false,pane,in the bread,"food,basics",masculine,singular,articulated_preposition,il,nel,in,,"C’è noci nel pane.","There are nuts in the bread."
nei pani,false,pane,in the breads,"food,basics",masculine,plural,articulated_preposition,i,nei,in,,"Semi nei pani integrali.","Seeds in the whole-grain breads."
sul pane,false,pane,on the bread,"food,basics",masculine,singular,articulated_preposition,il,sul,su,,"Metto miele sul pane.","I put honey on the bread."
sui pani,false,pane,on the breads,"food,basics",masculine,plural,articulated_preposition,i,sui,su,,"Scritte sui pani.","Writings on the breads."
col pane,false,pane,with the bread,"food,basics",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Servo formaggio col pane.","I serve cheese with the bread."
coi pani,false,pane,with the breads,"food,basics",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Lavoro coi pani del forno.","I work with the bakery’s breads."
pizza,true,pizza,pizza,"food,dining",feminine,singular,none,n/a,n/a,n/a,base lemma,"Ordino pizza stasera.","I’m ordering pizza tonight."
una pizza,false,pizza,a pizza,"food,dining",feminine,singular,indefinite,una,una,n/a,,"Prendo una pizza margherita.","I’ll have a margherita pizza."
la pizza,false,pizza,the pizza,"food,dining",feminine,singular,definite,la,la,n/a,,"La pizza è pronta.","The pizza is ready."
pizze,false,pizza,pizzas,"food,dining",feminine,plural,none,n/a,n/a,n/a,plural form,"Pizze grandi escono dal forno.","Large pizzas come out of the oven."
le pizze,false,pizza,the pizzas,"food,dining",feminine,plural,definite,le,le,n/a,,"Le pizze sono ottime.","The pizzas are excellent."
delle pizze,false,pizza,some pizzas,"food,dining",feminine,plural,articulated_preposition,le,delle,di,,"Ordiniamo delle pizze.","We’re ordering some pizzas."
della pizza,false,pizza,of the pizza,"food,dining",feminine,singular,articulated_preposition,la,della,di,,"Mangio della pizza.","I eat some pizza."
alla pizza,false,pizza,to the pizza,"food,dining",feminine,singular,articulated_preposition,la,alla,a,,"Aggiungo basilico alla pizza.","I add basil to the pizza."
alle pizze,false,pizza,to the pizzas,"food,dining",feminine,plural,articulated_preposition,le,alle,a,,"Porto olio alle pizze.","I bring oil to the pizzas."
dalla pizza,false,pizza,from the pizza,"food,dining",feminine,singular,articulated_preposition,la,dalla,da,,"Il profumo viene dalla pizza.","The smell comes from the pizza."
dalle pizze,false,pizza,from the pizzas,"food,dining",feminine,plural,articulated_preposition,le,dalle,da,,"Fumo esce dalle pizze.","Smoke comes out of the pizzas."
nella pizza,false,pizza,in the pizza,"food,dining",feminine,singular,articulated_preposition,la,nella,in,,"C’è origano nella pizza.","There’s oregano in the pizza."
nelle pizze,false,pizza,in the pizzas,"food,dining",feminine,plural,articulated_preposition,le,nelle,in,,"Mettono olive nelle pizze.","They put olives on the pizzas."
sulla pizza,false,pizza,on the pizza,"food,dining",feminine,singular,articulated_preposition,la,sulla,su,,"Metto olio sulla pizza.","I put oil on the pizza."
sulle pizze,false,pizza,on the pizzas,"food,dining",feminine,plural,articulated_preposition,le,sulle,su,,"Offerte sulle pizze.","Deals on pizzas."
con la pizza,false,pizza,with the pizza,"food,dining",feminine,singular,articulated_preposition,la,con la,con,,"Bevo birra con la pizza.","I drink beer with the pizza."
con le pizze,false,pizza,with the pizzas,"food,dining",feminine,plural,articulated_preposition,le,con le,con,,"Arrivo con le pizze.","I arrive with the pizzas."
pasta,true,pasta,pasta,"food,dining",feminine,singular,none,n/a,n/a,n/a,base lemma,"Cucino pasta spesso.","I cook pasta often."
una pasta,false,pasta,a pastry,"food,dining",feminine,singular,indefinite,una,una,n/a,as a pastry in cafés; for quantity use della,"Prendo una pasta alla crema.","I’ll have a cream pastry."
la pasta,false,pasta,the pasta,"food,dining",feminine,singular,definite,la,la,n/a,,"La pasta è al dente.","The pasta is al dente."
paste,false,pasta,pastas,"food,dining",feminine,plural,none,n/a,n/a,n/a,plural form,"Paste fresche oggi.","Fresh pastas today."
le paste,false,pasta,the pastas,"food,dining",feminine,plural,definite,le,le,n/a,,"Le paste sono fatte in casa.","The pastas are homemade."
delle paste,false,pasta,some pastas,"food,dining",feminine,plural,articulated_preposition,le,delle,di,,"Assaggio delle paste ripiene.","I taste some stuffed pastas."
della pasta,false,pasta,of the pasta,"food,dining",feminine,singular,articulated_preposition,la,della,di,,"Mangio della pasta.","I eat some pasta."
alla pasta,false,pasta,to the pasta,"food,dining",feminine,singular,articulated_preposition,la,alla,a,,"Aggiungo salsa alla pasta.","I add sauce to the pasta."
alle paste,false,pasta,to the pastas,"food,dining",feminine,plural,articulated_preposition,le,alle,a,,"Do forma alle paste.","I shape the pastas."
dalla pasta,false,pasta,from the pasta,"food,dining",feminine,singular,articulated_preposition,la,dalla,da,,"Il profumo viene dalla pasta.","The smell comes from the pasta."
dalle paste,false,pasta,from the pastas,"food,dining",feminine,plural,articulated_preposition,le,dalle,da,,"Sugo cola dalle paste.","Sauce drips from the pastas."
nella pasta,false,pasta,in the pasta,"food,dining",feminine,singular,articulated_preposition,la,nella,in,,"C’è pepe nella pasta.","There is pepper in the pasta."
nelle paste,false,pasta,in the pastas,"food,dining",feminine,plural,articulated_preposition,le,nelle,in,,"Erbe nelle paste fresche.","Herbs in the fresh pastas."
sulla pasta,false,pasta,on the pasta,"food,dining",feminine,singular,articulated_preposition,la,sulla,su,,"Metto formaggio sulla pasta.","I put cheese on the pasta."
sulle paste,false,pasta,on the pastas,"food,dining",feminine,plural,articulated_preposition,le,sulle,su,,"Sughi diversi sulle paste.","Different sauces on the pastas."
con la pasta,false,pasta,with the pasta,"food,dining",feminine,singular,articulated_preposition,la,con la,con,,"Servo vino con la pasta.","I serve wine with the pasta."
con le paste,false,pasta,with the pastas,"food,dining",feminine,plural,articulated_preposition,le,con le,con,,"Lavoro con le paste fresche.","I work with fresh pastas."
ristorante,true,ristorante,restaurant,"travel,dining",masculine,singular,none,n/a,n/a,n/a,base lemma,"Cerco ristorante economico.","I’m looking for an inexpensive restaurant."
un ristorante,false,ristorante,a restaurant,"travel,dining",masculine,singular,indefinite,un,un,n/a,,"Conosco un ristorante buono.","I know a good restaurant."
il ristorante,false,ristorante,the restaurant,"travel,dining",masculine,singular,definite,il,il,n/a,,"Il ristorante apre alle sette.","The restaurant opens at seven."
ristoranti,false,ristorante,restaurants,"travel,dining",masculine,plural,none,n/a,n/a,n/a,plural form,"Ristoranti nuovi aprono spesso.","New restaurants open often."
i ristoranti,false,ristorante,the restaurants,"travel,dining",masculine,plural,definite,i,i,n/a,,"I ristoranti sono pieni.","The restaurants are full."
dei ristoranti,false,ristorante,some restaurants,"travel,dining",masculine,plural,articulated_preposition,i,dei,di,,"Provo dei ristoranti locali.","I try some local restaurants."
del ristorante,false,ristorante,of the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,del,di,,"L’orario del ristorante è online.","The restaurant’s hours are online."
al ristorante,false,ristorante,to the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,al,a,,"Andiamo al ristorante.","We’re going to the restaurant."
ai ristoranti,false,ristorante,to the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,ai,a,,"Prenoto ai ristoranti del centro.","I book at the downtown restaurants."
dal ristorante,false,ristorante,from the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,dal,da,,"Esco dal ristorante.","I leave the restaurant."
dai ristoranti,false,ristorante,from the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,dai,da,,"Profumi dai ristoranti vicini.","Scents from the nearby restaurants."
nel ristorante,false,ristorante,in the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,nel,in,,"Lavoro nel ristorante.","I work in the restaurant."
nei ristoranti,false,ristorante,in the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,nei,in,,"Non si fuma nei ristoranti.","You can’t smoke in restaurants."
sul ristorante,false,ristorante,on the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,sul,su,,"Leggo una recensione sul ristorante.","I read a review about the restaurant."
sui ristoranti,false,ristorante,on the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,sui,su,,"Ho dati sui ristoranti locali.","I have data on local restaurants."
col ristorante,false,ristorante,with the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Collaboro col ristorante.","I collaborate with the restaurant."
coi ristoranti,false,ristorante,with the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Lavoriamo coi ristoranti partner.","We work with partner restaurants."
bar,true,bar,bar,"travel,cafe",masculine,singular,none,n/a,n/a,n/a,base lemma,"Vedo un bar vicino.","I see a nearby bar."
un bar,false,bar,a bar,"travel,cafe",masculine,singular,indefinite,un,un,n/a,,"Entriamo in un bar.","We’re going into a bar."
il bar,false,bar,the bar,"travel,cafe",masculine,singular,definite,il,il,n/a,,"Il bar apre presto.","The bar opens early."
bar,false,bar,bars,"travel,cafe",masculine,plural,none,n/a,n/a,n/a,invariable plural,"Bar affollati stasera.","Bars are crowded tonight."
i bar,false,bar,the bars,"travel,cafe",masculine,plural,definite,i,i,n/a,invariable plural,"I bar sono pieni.","The bars are full."
dei bar,false,bar,some bars,"travel,cafe",masculine,plural,articulated_preposition,i,dei,di,invariable plural,"Visito dei bar nuovi.","I visit some new bars."
del bar,false,bar,of the bar,"travel,cafe",masculine,singular,articulated_preposition,il,del,di,,"Il bancone del bar è lungo.","The bar’s counter is long."
al bar,false,bar,to the bar,"travel,cafe",masculine,singular,articulated_preposition,il,al,a,,"Andiamo al bar.","We’re going to the bar."
ai bar,false,bar,to the bars,"travel,cafe",masculine,plural,articulated_preposition,i,ai,a,invariable plural,"Lavoro ai bar del porto.","I work at the harbor’s bars."
dal bar,false,bar,from the bar,"travel,cafe",masculine,singular,articulated_preposition,il,dal,da,,"Esco dal bar.","I leave the bar."
dai bar,false,bar,from the bars,"travel,cafe",masculine,plural,articulated_preposition,i,dai,da,invariable plural,"Rumori dai bar vicini.","Noises from nearby bars."
nel bar,false,bar,in the bar,"travel,cafe",masculine,singular,articulated_preposition,il,nel,in,,"Lavoro nel bar.","I work in the bar."
nei bar,false,bar,in the bars,"travel,cafe",masculine,plural,articulated_preposition,i,nei,in,invariable plural,"Musica nei bar del centro.","Music in downtown bars."
sul bar,false,bar,on the bar,"travel,cafe",masculine,singular,articulated_preposition,il,sul,su,,"Metto il giornale sul bar.","I put the newspaper on the bar."
sui bar,false,bar,on the bars,"travel,cafe",masculine,plural,articulated_preposition,i,sui,su,invariable plural,"Regole sui bar notturni.","Rules about night bars."
col bar,false,bar,with the bar,"travel,cafe",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Parlo col bar di quartiere.","I talk with the neighborhood bar."
coi bar,false,bar,with the bars,"travel,cafe",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Lavoriamo coi bar locali.","We work with local bars."
tavolo,true,tavolo,table,"home,dining",masculine,singular,none,n/a,n/a,n/a,base lemma,"Monto un tavolo nuovo.","I assemble a new table."
un tavolo,false,tavolo,a table,"home,dining",masculine,singular,indefinite,un,un,n/a,,"Cerco un tavolo libero.","I’m looking for a free table."
il tavolo,false,tavolo,the table,"home,dining",masculine,singular,definite,il,il,n/a,,"Il tavolo è rotondo.","The table is round."
tavoli,false,tavolo,tables,"home,dining",masculine,plural,none,n/a,n/a,n/a,plural form,"Tavoli in legno ovunque.","Wooden tables everywhere."
i tavoli,false,tavolo,the tables,"home,dining",masculine,plural,definite,i,i,n/a,,"I tavoli sono occupati.","The tables are occupied."
dei tavoli,false,tavolo,some tables,"home,dining",masculine,plural,articulated_preposition,i,dei,di,,"Compriamo dei tavoli nuovi.","We’re buying some new tables."
del tavolo,false,tavolo,of the table,"home,dining",masculine,singular,articulated_preposition,il,del,di,,"Il bordo del tavolo è scheggiato.","The table’s edge is chipped."
al tavolo,false,tavolo,to the table,"home,dining",masculine,singular,articulated_preposition,il,al,a,,"Mi siedo al tavolo.","I sit at the table."
ai tavoli,false,tavolo,to the tables,"home,dining",masculine,plural,articulated_preposition,i,ai,a,,"Serviamo ai tavoli.","We serve at the tables."
dal tavolo,false,tavolo,from the table,"home,dining",masculine,singular,articulated_preposition,il,dal,da,,"Scende dal tavolo.","He gets down from the table."
dai tavoli,false,tavolo,from the tables,"home,dining",masculine,plural,articulated_preposition,i,dai,da,,"Rumori dai tavoli vicini.","Noises from the nearby tables."
nel tavolo,false,tavolo,in the table,"home,dining",masculine,singular,articulated_preposition,il,nel,in,,"C’è un graffio nel tavolo.","There’s a scratch in the table."
nei tavoli,false,tavolo,in the tables,"home,dining",masculine,plural,articulated_preposition,i,nei,in,,"Viti nei tavoli nuovi.","Screws in the new tables."
sul tavolo,false,tavolo,on the table,"home,dining",masculine,singular,articulated_preposition,il,sul,su,,"Metto i piatti sul tavolo.","I put the plates on the table."
sui tavoli,false,tavolo,on the tables,"home,dining",masculine,plural,articulated_preposition,i,sui,su,,"Fiori sui tavoli.","Flowers on the tables."
col tavolo,false,tavolo,with the table,"home,dining",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Lavoro col tavolo pieghevole.","I work with the folding table."
coi tavoli,false,tavolo,with the tables,"home,dining",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Coordino coi tavoli prenotati.","I coordinate with the reserved tables."
sedia,true,sedia,chair,"home,furniture",feminine,singular,none,n/a,n/a,n/a,base lemma,"Cerco sedia comoda.","I’m looking for a comfortable chair."
una sedia,false,sedia,a chair,"home,furniture",feminine,singular,indefinite,una,una,n/a,,"Mi serve una sedia.","I need a chair."
la sedia,false,sedia,the chair,"home,furniture",feminine,singular,definite,la,la,n/a,,"La sedia è rotta.","The chair is broken."
sedie,false,sedia,chairs,"home,furniture",feminine,plural,none,n/a,n/a,n/a,plural form,"Sedie nuove arrivano oggi.","New chairs arrive today."
le sedie,false,sedia,the chairs,"home,furniture",feminine,plural,definite,le,le,n/a,,"Le sedie sono leggere.","The chairs are light."
delle sedie,false,sedia,some chairs,"home,furniture",feminine,plural,articulated_preposition,le,delle,di,,"Compriamo delle sedie.","We’re buying some chairs."
della sedia,false,sedia,of the chair,"home,furniture",feminine,singular,articulated_preposition,la,della,di,,"La gamba della sedia balla.","The chair’s leg wobbles."
alla sedia,false,sedia,to the chair,"home,furniture",feminine,singular,articulated_preposition,la,alla,a,,"Mi avvicino alla sedia.","I move closer to the chair."
alle sedie,false,sedia,to the chairs,"home,furniture",feminine,plural,articulated_preposition,le,alle,a,,"Porto cuscini alle sedie.","I bring cushions to the chairs."
dalla sedia,false,sedia,from the chair,"home,furniture",feminine,singular,articulated_preposition,la,dalla,da,,"Mi alzo dalla sedia.","I get up from the chair."
dalle sedie,false,sedia,from the chairs,"home,furniture",feminine,plural,articulated_preposition,le,dalle,da,,"Toglilo dalle sedie.","Remove it from the chairs."
nella sedia,false,sedia,in the chair,"home,furniture",feminine,singular,articulated_preposition,la,nella,in,,"C’è un difetto nella sedia.","There’s a flaw in the chair."
nelle sedie,false,sedia,in the chairs,"home,furniture",feminine,plural,articulated_preposition,le,nelle,in,,"Viti nelle sedie nuove.","Screws in the new chairs."
sulla sedia,false,sedia,on the chair,"home,furniture",feminine,singular,articulated_preposition,la,sulla,su,,"Metto la giacca sulla sedia.","I put the jacket on the chair."
sulle sedie,false,sedia,on the chairs,"home,furniture",feminine,plural,articulated_preposition,le,sulle,su,,"Borse sulle sedie.","Bags on the chairs."
con la sedia,false,sedia,with the chair,"home,furniture",feminine,singular,articulated_preposition,la,con la,con,,"Lavoro con la sedia ergonomica.","I work with the ergonomic chair."
con le sedie,false,sedia,with the chairs,"home,furniture",feminine,plural,articulated_preposition,le,con le,con,,"Arredo con le sedie bianche.","I furnish with the white chairs."
bagno,true,bagno,bathroom,"home,facilities",masculine,singular,none,n/a,n/a,n/a,base lemma,"Cerco bagno pulito.","I’m looking for a clean bathroom."
un bagno,false,bagno,a bathroom,"home,facilities",masculine,singular,indefinite,un,un,n/a,,"Abbiamo un bagno grande.","We have a large bathroom."
il bagno,false,bagno,the bathroom,"home,facilities",masculine,singular,definite,il,il,n/a,,"Il bagno è occupato.","The bathroom is occupied."
bagni,false,bagno,bathrooms,"home,facilities",masculine,plural,none,n/a,n/a,n/a,plural form,"Bagni puliti al piano.","Clean bathrooms on the floor."
i bagni,false,bagno,the bathrooms,"home,facilities",masculine,plural,definite,i,i,n/a,,"I bagni sono chiusi.","The bathrooms are closed."
dei bagni,false,bagno,some bathrooms,"home,facilities",masculine,plural,articulated_preposition,i,dei,di,,"Ristrutturiamo dei bagni.","We’re renovating some bathrooms."
del bagno,false,bagno,of the bathroom,"home,facilities",masculine,singular,articulated_preposition,il,del,di,,"La porta del bagno scricchiola.","The bathroom door squeaks."
al bagno,false,bagno,to the bathroom,"home,facilities",masculine,singular,articulated_preposition,il,al,a,,"Vado al bagno.","I’m going to the bathroom."
ai bagni,false,bagno,to the bathrooms,"home,facilities",masculine,plural,articulated_preposition,i,ai,a,,"Accesso ai bagni a sinistra.","Access to the bathrooms on the left."
dal bagno,false,bagno,from the bathroom,"home,facilities",masculine,singular,articulated_preposition,il,dal,da,,"Esco dal bagno.","I exit the bathroom."
dai bagni,false,bagno,from the bathrooms,"home,facilities",masculine,plural,articulated_preposition,i,dai,da,,"Rumori dai bagni.","Noises from the bathrooms."
nel bagno,false,bagno,in the bathroom,"home,facilities",masculine,singular,articulated_preposition,il,nel,in,,"C’è sapone nel bagno.","There is soap in the bathroom."
nei bagni,false,bagno,in the bathrooms,"home,facilities",masculine,plural,articulated_preposition,i,nei,in,,"Cartelli nei bagni.","Signs in the bathrooms."
sul bagno,false,bagno,on the bathroom,"home,facilities",masculine,singular,articulated_preposition,il,sul,su,,"Lavori sul bagno oggi.","Work on the bathroom today."
sui bagni,false,bagno,on the bathrooms,"home,facilities",masculine,plural,articulated_preposition,i,sui,su,,"Interventi sui bagni pubblici.","Work on public bathrooms."
col bagno,false,bagno,with the bathroom,"home,facilities",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Problemi col bagno di servizio.","Problems with the service bathroom."
coi bagni,false,bagno,with the bathrooms,"home,facilities",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Lavoro coi bagni del piano.","I work with the bathrooms on the floor."
camera,true,camera,room,"home,travel",feminine,singular,none,n/a,n/a,n/a,base lemma,"Prenoto camera doppia.","I book a double room."
una camera,false,camera,a room,"home,travel",feminine,singular,indefinite,una,una,n/a,,"Cerco una camera silenziosa.","I’m looking for a quiet room."
la camera,false,camera,the room,"home,travel",feminine,singular,definite,la,la,n/a,,"La camera è luminosa.","The room is bright."
camere,false,camera,rooms,"home,travel",feminine,plural,none,n/a,n/a,n/a,plural form,"Camere libere stanotte.","Rooms available tonight."
