english_term,italian_term,part_of_speech,topics,english_base_term,italian_base_term
where is the train station,dov'è la stazione ferroviaria,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",where is the train station,dov'è la stazione ferroviaria
to the train station please,alla stazione ferroviaria per favore,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",to the train station please,alla stazione ferroviaria per favore
to the airport please,all'aeroporto per favore,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",to the airport please,all'aeroporto per favore
I want a taxi,vorrei un taxi,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",I want a taxi,vorrei un taxi
I would like,vorrei,verb,"[spotify_lessons, lesson_4_transportation_phrases]",would like,vorrei
I would like a ticket,vorrei un biglietto,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",I would like a ticket,vorrei un biglietto
a ticket to / a ticket for,un biglietto per,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",a ticket to / a ticket for,un biglietto per
the train to Rome / the train for Rome,il treno per Roma,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",the train to Rome / the train for Rome,il treno per Roma
the train from Naples,il treno da Napoli,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",the train from Naples,il treno da Napoli
the train from Naples to Rome,il treno da Napoli a Roma,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",the train from Naples to Rome,il treno da Napoli a Roma
first,primo / prima,adjective,"[spotify_lessons, lesson_4_transportation_phrases]",first,primo
first class,prima classe,noun,"[spotify_lessons, lesson_4_transportation_phrases]",class,classe
second class,seconda classe,noun,"[spotify_lessons, lesson_4_transportation_phrases]",class,classe
a one way ticket,un biglietto di andata,noun,"[spotify_lessons, lesson_4_transportation_phrases]",ticket,biglietto
round trip ticket,un biglietto di andata e ritorno,noun,"[spotify_lessons, lesson_4_transportation_phrases]",ticket,biglietto
to smoke,fumare,verb,"[spotify_lessons, lesson_4_transportation_phrases]",smoke,fumare
no smoking,vietato fumare,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",no smoking,vietato fumare
non-smokers,non fumatori,noun,"[spotify_lessons, lesson_4_transportation_phrases]",non-smoker,non fumatore
at what time does the train leave,a che ora parte il treno,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",at what time does the train leave,a che ora parte il treno
at what time does the train arrive,a che ora arriva il treno,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",at what time does the train arrive,a che ora arriva il treno
where is the bus to Milan,dov'è l'autobus per Milano,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",where is the bus to Milan,dov'è l'autobus per Milano
which number,quale numero,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",which number,quale numero
which seat,quale posto,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",which seat,quale posto
seat number five,posto numero cinque,phrase,"[spotify_lessons, lesson_4_transportation_phrases]",seat number five,posto numero cinque
a time table / a schedule,un orario,noun,"[spotify_lessons, lesson_4_transportation_phrases]",timetable,orario
the first train,il primo treno,noun,"[spotify_lessons, lesson_4_transportation_phrases]",train,treno
the second train,il secondo treno,noun,"[spotify_lessons, lesson_4_transportation_phrases]",train,treno
the next train,il prossimo treno,noun,"[spotify_lessons, lesson_4_transportation_phrases]",train,treno
the last train,l'ultimo treno,noun,"[spotify_lessons, lesson_4_transportation_phrases]",train,treno
the money,il denaro / i soldi,noun,"[spotify_lessons, lesson_5_money]",money,denaro
European money,euro,noun,"[spotify_lessons, lesson_5_money]",money,euro
the coin,la moneta,noun,"[spotify_lessons, lesson_5_money]",coin,moneta
the bank,la banca,noun,"[spotify_lessons, lesson_5_money]",bank,banca
where is the bank,dov'è la banca,phrase,"[spotify_lessons, lesson_5_money]",where is the bank,dov'è la banca
exchange,cambio,noun,"[spotify_lessons, lesson_5_money]",exchange,cambio
where is the ATM / where is the cash machine,dov'è il bancomat,phrase,"[spotify_lessons, lesson_5_money]",where is the ATM / where is the cash machine,dov'è il bancomat
the currency,la valuta,noun,"[spotify_lessons, lesson_5_money]",currency,valuta
the small change,gli spiccioli,noun,"[spotify_lessons, lesson_5_money]",change,spicciolo
to change money,cambiare valuta,verb,"[spotify_lessons, lesson_5_money]",change,cambiare
I would like to change some currency,vorrei cambiare della valuta,phrase,"[spotify_lessons, lesson_5_money]",I would like to change some currency,vorrei cambiare della valuta
to buy,comprare,verb,"[spotify_lessons, lesson_5_money]",buy,comprare
I would like to buy some Euros,vorrei comprare degli euro,phrase,"[spotify_lessons, lesson_5_money]",I would like to buy some Euros,vorrei comprare degli euro
the rate of exchange,il corso di cambio,noun,"[spotify_lessons, lesson_5_money]",exchange rate,corso di cambio
what is the exchange rate,qual è il corso di cambio,phrase,"[spotify_lessons, lesson_5_money]",what is the exchange rate,qual è il corso di cambio
a bank note,una banconota,noun,"[spotify_lessons, lesson_5_money]",banknote,banconota
a check,un assegno,noun,"[spotify_lessons, lesson_5_money]",check,assegno
to travel,viaggiare,verb,"[spotify_lessons, lesson_5_money]",travel,viaggiare
credit,credito,noun,"[spotify_lessons, lesson_5_money]",credit,credito
a credit card,una carta di credito,noun,"[spotify_lessons, lesson_5_money]",credit card,carta di credito
a hotel,un albergo / un hotel,noun,"[spotify_lessons, lesson_6_hotel]",hotel,albergo
a hostel,un ostello,noun,"[spotify_lessons, lesson_6_hotel]",hostel,ostello
a room,una stanza / una camera,noun,"[spotify_lessons, lesson_6_hotel]",room,stanza
a better room,una camera migliore,phrase,"[spotify_lessons, lesson_6_hotel]",a better room,una camera migliore
I would like a better room,vorrei una camera migliore,phrase,"[spotify_lessons, lesson_6_hotel]",I would like a better room,vorrei una camera migliore
a bathroom,un bagno,noun,"[spotify_lessons, lesson_6_hotel]",bathroom,bagno
with bathroom,con bagno,phrase,"[spotify_lessons, lesson_6_hotel]",with bathroom,con bagno
without bathroom,senza bagno,phrase,"[spotify_lessons, lesson_6_hotel]",without bathroom,senza bagno
a shower,una doccia,noun,"[spotify_lessons, lesson_6_hotel]",shower,doccia
a toilet,una toilette / un gabinetto,noun,"[spotify_lessons, lesson_6_hotel]",toilet,toilette
a wash basin,un lavandino,noun,"[spotify_lessons, lesson_6_hotel]",wash basin,lavandino
I would like a room with a bathroom and a shower,vorrei una camera con bagno e una doccia,phrase,"[spotify_lessons, lesson_6_hotel]",I would like a room with a bathroom and a shower,vorrei una camera con bagno e una doccia
how much does it cost,quanto costa,phrase,"[spotify_lessons, lesson_6_hotel]",how much does it cost,quanto costa
expensive,caro / costoso,adjective,"[spotify_lessons, lesson_6_hotel]",expensive,caro
very expensive,molto caro,phrase,"[spotify_lessons, lesson_6_hotel]",very expensive,molto caro
too much,troppo,adverb,"[spotify_lessons, lesson_6_hotel]",much,troppo
too expensive,troppo caro,phrase,"[spotify_lessons, lesson_6_hotel]",too expensive,troppo caro
it's too expensive,è troppo caro,phrase,"[spotify_lessons, lesson_6_hotel]",it's too expensive,è troppo caro
cheap,economico / a buon mercato,adjective,"[spotify_lessons, lesson_6_hotel]",cheap,economico
cheaper / more cheap,più economico,phrase,"[spotify_lessons, lesson_6_hotel]",cheaper / more cheap,più economico
do you have a less expensive room (polite),ha una camera meno cara,phrase,"[spotify_lessons, lesson_6_hotel]",do you have a less expensive room (polite),ha una camera meno cara
do you have the key? (polite),ha la chiave?,phrase,"[spotify_lessons, lesson_6_hotel]",do you have the key? (polite),ha la chiave?
the week,la settimana,noun,"[spotify_lessons, lesson_6_hotel]",week,settimana
per week,per settimana / a settimana,phrase,"[spotify_lessons, lesson_6_hotel]",per week,per settimana / a settimana
per night,per notte,phrase,"[spotify_lessons, lesson_6_hotel]",per night,per notte
air conditioning,aria condizionata,noun,"[spotify_lessons, lesson_6_hotel]",air conditioning,aria condizionata
vacancy / rooms available,stanze libere,phrase,"[spotify_lessons, lesson_6_hotel]",vacancy / rooms available,stanze libere
no vacancy / all occupied,tutto occupato,phrase,"[spotify_lessons, lesson_6_hotel]",no vacancy / all occupied,tutto occupato
it works,funziona,verb,"[spotify_lessons, lesson_6_hotel]",work,funzionare
it does not work,non funziona,phrase,"[spotify_lessons, lesson_6_hotel]",it does not work,non funziona
the shower does not work,la doccia non funziona,phrase,"[spotify_lessons, lesson_6_hotel]",the shower does not work,la doccia non funziona
the shower is broken,la doccia è rotta,phrase,"[spotify_lessons, lesson_6_hotel]",the shower is broken,la doccia è rotta
to make,fare,verb,"[spotify_lessons, lesson_6_hotel]",make,fare
I would like to make a reservation,vorrei fare una prenotazione,phrase,"[spotify_lessons, lesson_6_hotel]",I would like to make a reservation,vorrei fare una prenotazione
the water,l'acqua,noun,"[spotify_lessons, lesson_7_important_words]",water,acqua
drinking water,acqua potabile,phrase,"[spotify_lessons, lesson_7_important_words]",drinking water,acqua potabile
the luggage,i bagagli,noun,"[spotify_lessons, lesson_7_important_words]",luggage,bagaglio
my luggage,i miei bagagli,phrase,"[spotify_lessons, lesson_7_important_words]",my luggage,i miei bagagli
the suitcase,la valigia,noun,"[spotify_lessons, lesson_7_important_words]",suitcase,valigia
the suitcases,le valigie,noun,"[spotify_lessons, lesson_7_important_words]",suitcase,valigia
my suitcase,la mia valigia,phrase,"[spotify_lessons, lesson_7_important_words]",my suitcase,la mia valigia
my suitcases,le mie valigie,phrase,"[spotify_lessons, lesson_7_important_words]",my suitcases,le mie valigie
this suitcase,questa valigia,phrase,"[spotify_lessons, lesson_7_important_words]",this suitcase,questa valigia
that suitcase,quella valigia,phrase,"[spotify_lessons, lesson_7_important_words]",that suitcase,quella valigia
that one,quella / quello,pronoun,"[spotify_lessons, lesson_7_important_words]",one,quello
that one over there,quella là / quella lì,phrase,"[spotify_lessons, lesson_7_important_words]",that one over there,quella là / quella lì
this ticket,questo biglietto,phrase,"[spotify_lessons, lesson_7_important_words]",this ticket,questo biglietto
a backpack,uno zaino,noun,"[spotify_lessons, lesson_7_important_words]",backpack,zaino
the counter,il banco,noun,"[spotify_lessons, lesson_7_important_words]",counter,banco
the baggage claim,il ritiro bagagli,noun,"[spotify_lessons, lesson_7_important_words]",baggage claim,ritiro bagagli
the key,la chiave,noun,"[spotify_lessons, lesson_7_important_words]",key,chiave
a locker,un armadietto,noun,"[spotify_lessons, lesson_7_important_words]",locker,armadietto
the railroad,la ferrovia,noun,"[spotify_lessons, lesson_7_important_words]",railroad,ferrovia
the little town,la piazza,noun,"[spotify_lessons, lesson_7_important_words]",town,piazza
the village,il villaggio,noun,"[spotify_lessons, lesson_7_important_words]",village,villaggio
the city,la città,noun,"[spotify_lessons, lesson_7_important_words]",city,città
a map,una cartina,noun,"[spotify_lessons, lesson_7_important_words]",map,cartina
a map of the city,una cartina della città,phrase,"[spotify_lessons, lesson_7_important_words]",a map of the city,una cartina della città
open,aperto / aperta,adjective,"[spotify_lessons, lesson_7_important_words]",open,aperto
close,chiuso / chiusa,adjective,"[spotify_lessons, lesson_7_important_words]",close,chiuso
the passport,il passaporto,noun,"[spotify_lessons, lesson_7_important_words]",passport,passaporto
a ticket book / a block of tickets,un blocchetto di biglietti,noun,"[spotify_lessons, lesson_7_important_words]",ticket book,blocchetto
the police,la polizia,noun,"[spotify_lessons, lesson_7_important_words]",police,polizia
a police officer,un poliziotto / una guardia,noun,"[spotify_lessons, lesson_7_important_words]",police officer,poliziotto
to the right,a destra,phrase,"[spotify_lessons, lesson_8_directions]",to the right,a destra
to the left,a sinistra,phrase,"[spotify_lessons, lesson_8_directions]",to the left,a sinistra
turn to the right,gira a destra,phrase,"[spotify_lessons, lesson_8_directions]",turn to the right,gira a destra
turn to the left,gira a sinistra,phrase,"[spotify_lessons, lesson_8_directions]",turn to the left,gira a sinistra
ahead,avanti,adverb,"[spotify_lessons, lesson_8_directions]",ahead,avanti
straight ahead,dritto / sempre dritto,phrase,"[spotify_lessons, lesson_8_directions]",straight ahead,dritto / sempre dritto
the corner,l'angolo,noun,"[spotify_lessons, lesson_8_directions]",corner,angolo
around the corner,dietro l'angolo,phrase,"[spotify_lessons, lesson_8_directions]",around the corner,dietro l'angolo
the street,la strada,noun,"[spotify_lessons, lesson_8_directions]",street,strada
the side,il lato / il fianco,noun,"[spotify_lessons, lesson_8_directions]",side,lato
the other side,l'altro lato,noun,"[spotify_lessons, lesson_8_directions]",side,lato
the other side of the street,l'altro lato della strada,phrase,"[spotify_lessons, lesson_8_directions]",the other side of the street,l'altro lato della strada
the end of the street,la fine della strada,phrase,"[spotify_lessons, lesson_8_directions]",the end of the street,la fine della strada
to the end of the street,alla fine della strada,phrase,"[spotify_lessons, lesson_8_directions]",to the end of the street,alla fine della strada
to the bank,alla banca,phrase,"[spotify_lessons, lesson_8_directions]",to the bank,alla banca
here,qui / qua,adverb,"[spotify_lessons, lesson_8_directions]",here,qui
there,là / lì,adverb,"[spotify_lessons, lesson_8_directions]",there,là
over there / down there,laggiù,adverb,"[spotify_lessons, lesson_8_directions]",over there,laggiù
near,vicino / vicina,adjective,"[spotify_lessons, lesson_8_directions]",near,vicino
near the corner,vicino all'angolo,phrase,"[spotify_lessons, lesson_8_directions]",near the corner,vicino all'angolo
far,lontano / lontana,adjective,"[spotify_lessons, lesson_8_directions]",far,lontano
far from here,lontano da qui,phrase,"[spotify_lessons, lesson_8_directions]",far from here,lontano da qui
this address,questo indirizzo,noun,"[spotify_lessons, lesson_8_directions]",address,indirizzo
next to,vicino a,phrase,"[spotify_lessons, lesson_8_directions]",next to,vicino a
as far as,fino a,phrase,"[spotify_lessons, lesson_8_directions]",as far as,fino a
as far as the bank,fino alla banca,phrase,"[spotify_lessons, lesson_8_directions]",as far as the bank,fino alla banca
as far as the corner,fino all'angolo,phrase,"[spotify_lessons, lesson_8_directions]",as far as the corner,fino all'angolo
zero,zero,numeral,"[spotify_lessons, lesson_9_numbers]",zero,zero
one,uno,numeral,"[spotify_lessons, lesson_9_numbers]",one,uno
two,due,numeral,"[spotify_lessons, lesson_9_numbers]",two,due
three,tre,numeral,"[spotify_lessons, lesson_9_numbers]",three,tre
four,quattro,numeral,"[spotify_lessons, lesson_9_numbers]",four,quattro
five,cinque,numeral,"[spotify_lessons, lesson_9_numbers]",five,cinque
six,sei,numeral,"[spotify_lessons, lesson_9_numbers]",six,sei
seven,sette,numeral,"[spotify_lessons, lesson_9_numbers]",seven,sette
eight,otto,numeral,"[spotify_lessons, lesson_9_numbers]",eight,otto
nine,nove,numeral,"[spotify_lessons, lesson_9_numbers]",nine,nove
ten,dieci,numeral,"[spotify_lessons, lesson_9_numbers]",ten,dieci
eleven,undici,numeral,"[spotify_lessons, lesson_10_more_numbers]",eleven,undici
twelve,dodici,numeral,"[spotify_lessons, lesson_10_more_numbers]",twelve,dodici
thirteen,tredici,numeral,"[spotify_lessons, lesson_10_more_numbers]",thirteen,tredici
fourteen,quattordici,numeral,"[spotify_lessons, lesson_10_more_numbers]",fourteen,quattordici
fifteen,quindici,numeral,"[spotify_lessons, lesson_10_more_numbers]",fifteen,quindici
sixteen,sedici,numeral,"[spotify_lessons, lesson_10_more_numbers]",sixteen,sedici
seventeen,diciassette,numeral,"[spotify_lessons, lesson_10_more_numbers]",seventeen,diciassette
eighteen,diciotto,numeral,"[spotify_lessons, lesson_10_more_numbers]",eighteen,diciotto
nineteen,diciannove,numeral,"[spotify_lessons, lesson_10_more_numbers]",nineteen,diciannove
twenty,venti,numeral,"[spotify_lessons, lesson_10_more_numbers]",twenty,venti
twenty,venti,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty,venti
twenty one,ventuno,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty one,ventuno
twenty two,ventidue,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty two,ventidue
twenty three,ventitré,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty three,ventitré
twenty four,ventiquattro,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty four,ventiquattro
twenty five,venticinque,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty five,venticinque
twenty six,ventisei,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty six,ventisei
twenty seven,ventisette,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty seven,ventisette
twenty eight,ventotto,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty eight,ventotto
twenty nine,ventinove,numeral,"[spotify_lessons, lesson_11_big_numbers]",twenty nine,ventinove
thirty,trenta,numeral,"[spotify_lessons, lesson_11_big_numbers]",thirty,trenta
thirty one,trentuno,numeral,"[spotify_lessons, lesson_11_big_numbers]",thirty one,trentuno
thirty two,trentadue,numeral,"[spotify_lessons, lesson_11_big_numbers]",thirty two,trentadue
thirty three,trentatré,numeral,"[spotify_lessons, lesson_11_big_numbers]",thirty three,trentatré
forty,quaranta,numeral,"[spotify_lessons, lesson_11_big_numbers]",forty,quaranta
forty one,quarantuno,numeral,"[spotify_lessons, lesson_11_big_numbers]",forty one,quarantuno
forty two,quarantadue,numeral,"[spotify_lessons, lesson_11_big_numbers]",forty two,quarantadue
fifty,cinquanta,numeral,"[spotify_lessons, lesson_11_big_numbers]",fifty,cinquanta
sixty,sessanta,numeral,"[spotify_lessons, lesson_11_big_numbers]",sixty,sessanta
seventy,settanta,numeral,"[spotify_lessons, lesson_11_big_numbers]",seventy,settanta
eighty,ottanta,numeral,"[spotify_lessons, lesson_11_big_numbers]",eighty,ottanta
ninety,novanta,numeral,"[spotify_lessons, lesson_11_big_numbers]",ninety,novanta
one hundred,cento,numeral,"[spotify_lessons, lesson_11_big_numbers]",one hundred,cento
one hundred,cento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one hundred,cento
one hundred one,cento uno,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one hundred one,cento uno
one hundred two,cento due,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one hundred two,cento due
one hundred fifteen,cento quindici,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one hundred fifteen,cento quindici
two hundred,duecento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",two hundred,duecento
two hundred twenty,duecentoventi,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",two hundred twenty,duecentoventi
three hundred,trecento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",three hundred,trecento
four hundred,quattrocento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",four hundred,quattrocento
five hundred,cinquecento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",five hundred,cinquecento
six hundred,seicento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",six hundred,seicento
seven hundred,settecento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",seven hundred,settecento
eight hundred,ottocento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",eight hundred,ottocento
nine hundred,novecento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",nine hundred,novecento
one thousand,mille,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one thousand,mille
one thousand one hundred,millecento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one thousand one hundred,millecento
one thousand two hundred,milleduecento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one thousand two hundred,milleduecento
one thousand five hundred,millecinquecento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one thousand five hundred,millecinquecento
one thousand seven hundred,millesettecento,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one thousand seven hundred,millesettecento
ten thousand,diecimila,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",ten thousand,diecimila
twenty thousand,ventimila,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",twenty thousand,ventimila
one hundred thousand,centomila,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one hundred thousand,centomila
one million,un milione,numeral,"[spotify_lessons, lesson_12_very_big_numbers]",one million,milione
a table,un tavolo,noun,"[spotify_lessons, lesson_13_at_the_restaurant]",table,tavolo
for how many persons,per quante persone,phrase,"[spotify_lessons, lesson_13_at_the_restaurant]",for how many persons,per quante persone
we would like a table for two,vorremmo un tavolo per due,phrase,"[spotify_lessons, lesson_13_at_the_restaurant]",we would like a table for two,vorremmo un tavolo per due
I would like this one,vorrei questo,phrase,"[spotify_lessons, lesson_13_at_the_restaurant]",I would like this one,vorrei questo
I would like that one over there,vorrei quello laggiù,phrase,"[spotify_lessons, lesson_13_at_the_restaurant]",I would like that one over there,vorrei quello laggiù
another table,un altro tavolo,noun,"[spotify_lessons, lesson_13_at_the_restaurant]",table,tavolo
do you have another table,avete un altro tavolo,phrase,"[spotify_lessons, lesson_13_at_the_restaurant]",do you have another table,avete un altro tavolo
the window,la finestra,noun,"[spotify_lessons, lesson_13_at_the_restaurant]",window,finestra
near the window,vicino alla finestra,phrase,"[spotify_lessons, lesson_13_at_the_restaurant]",near the window,vicino alla finestra
the menu please,il menù per piacere,phrase,"[spotify_lessons, lesson_13_at_the_restaurant]",the menu please,il menù per piacere
the bill please,il conto per piacere,phrase,"[spotify_lessons, lesson_13_at_the_restaurant]",the bill please,il conto per piacere
included,incluso,adjective,"[spotify_lessons, lesson_13_at_the_restaurant]",included,incluso
