term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
fumavo,False,fumare,to smoke,verb,I was smoking,"Verbs & Actions,Spotify Lessons",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Da giovane fumavo molto.,When I was young I smoked a lot.,1591d08b77301d34b680a906dba327bb2b5a9e7d69a310590ff0cce3b33029b3,1488.0,d9460f90f0235b262c90c0838200f7e3dbad01a5e413f25bde4cb37aee7a797e,1488.0,foo-MAH-voh
fumavi,False,fumare,to smoke,verb,you were smoking,"Verbs & Actions,Spotify Lessons",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu fumavi spesso.,You used to smoke often.,83141ef6d1e31ffdf9e00cff1ddefdbbae4a829b775cfd5319f222616a4034f0,1536.0,81ec081f181313aede90351bfa2fc03ef91c08fa11c4d005a6b01fb379e29437,1464.0,foo-MAH-vee
fumava,False,fumare,to smoke,verb,he was smoking/she was smoking/you (formal) were smoking,"Verbs & Actions,Spotify Lessons",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Mio nonno fumava ogni sera.,My grandfather used to smoke every evening.,63532f274167be44a22b52fb2ee9647bad85bdb081d9dbe48d98d6875b1bab9d,5424.0,6a902dcf2c5e9834f080bae7e08495da8a0dea3582b0df8db3a3ff9daacc5f0b,1440.0,foo-MAH-vah
fumavamo,False,fumare,to smoke,verb,we were smoking,"Verbs & Actions,Spotify Lessons",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Durante le pause fumavamo fuori.,We used to smoke outside during breaks.,30a537ea24562b53f03874de28fb96329ef1c75a6682c987c1ba6ca7276fc273,1536.0,1029dd964683b2a611e7637b0bab56655fe58e37dd0746849ad14f2aa57a6426,1632.0,foo-mah-VAH-moh
fumavate,False,fumare,to smoke,verb,you (plural) were smoking,"Verbs & Actions,Spotify Lessons",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi fumavate molto allora.,You used to smoke a lot then.,93bec0b4ef3575d79ead54f2efcdf557f7f32f58c571e8b0e70d6bb151ef3bd9,2640.0,c2faf3def8b658cc98697403ddb35aa48aad596b77e7e4643d33436afaf779e6,1608.0,foo-mah-VAH-teh
fumavano,False,fumare,to smoke,verb,they were smoking,"Verbs & Actions,Spotify Lessons",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Fumavano vicino all'uscita.,They were smoking near the exit.,134e9eb4eb9e8b6f9b11f457457cb789a8bde27f6ee33ce316e97148e0342993,1560.0,4f79e3b51a259a0dee860fe19e0cefc52c5035bb9839bde532ba703c15c12afd,1584.0,foo-mah-VAH-noh
ho fumato,False,fumare,to smoke,verb,I have smoked,"Verbs & Actions,Spotify Lessons",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'fumato',Ho fumato oggi.,I have smoked today.,13c323febfaa058c79d5cd7501bb8a745edd7a5fd63af8d659fbde3e054268e4,1464.0,61ab1c10cbab64e609003a9ffc1976d78680f5258c488e18f0bd6c33190052d0,1560.0,OH foo-MAH-toh
hai fumato,False,fumare,to smoke,verb,you have smoked,"Verbs & Actions,Spotify Lessons",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'fumato',Hai fumato troppo.,You have smoked too much.,394718bf07b1f28cc40661e540c1eb481fc1e6308efb24622437535d95e58f28,1488.0,5a10300e7874cd9a6edda8a06f7c0e2c7eab1751e56f7bf82a66a8b78a7f9bd2,1608.0,EYE foo-MAH-toh
ha fumato,False,fumare,to smoke,verb,he has smoked/she has smoked/you (formal) have smoked,"Verbs & Actions,Spotify Lessons",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; also used as formal 'Lei',Ha fumato una sigaretta.,He has smoked a cigarette.,0bc3bb85aaae736179ecfe923d77ddfc54bf3ad32b4c824b4ccfb20fcd232fe1,5280.0,c0c6aa21c6a01d6cec1300a38778533d5734e878db055d748bd5226c1a116d22,1584.0,AH foo-MAH-toh
abbiamo fumato,False,fumare,to smoke,verb,we have smoked,"Verbs & Actions,Spotify Lessons",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'fumato',Abbiamo fumato fuori.,We have smoked outside.,7b4f4a1130c48166cb5f156ffdf137ae82ab26bc0b39575a52642466010863f3,1488.0,71ce02fc6b6863c4ca2959328e00a0bdddc6bf44c0a05412a443a75a5346e6f6,1968.0,ahb-BYAH-moh foo-MAH-toh
avete fumato,False,fumare,to smoke,verb,you (plural) have smoked,"Verbs & Actions,Spotify Lessons",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'fumato',Avete fumato qui?,Have you (plural) smoked here?,be6ae8f7c635165028b442cc3ea6d25a5c45e08464db725a086be290a8c2569e,2592.0,28f51f5cab04d6bd111a45a26ba884b8dec78d674a4dc6b1adf68d8a095d712a,1896.0,ah-VEH-teh foo-MAH-toh
hanno fumato,False,fumare,to smoke,verb,they have smoked,"Verbs & Actions,Spotify Lessons",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'fumato',Hanno fumato tutta la notte.,They have smoked all night.,31dc9d4e9a97550a48b0bd02c3b0d564fa60cf694165e69d703eb109aa36dcd1,1512.0,df685c1d104a5f116bdc5ea74d57887f5c2a8d7537dd8e93d8678376437625cb,1752.0,AHN-noh foo-MAH-toh
