term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
desolate,False,desolare,to sadden/devastate,verb,you (plural) sadden/devastate,"emotion,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi desolate l'atmosfera.,You (plural) sadden the atmosphere.,c4fd5eae8d6b71ae2479cb9998b580378fd20ca979ea0d317c6ce0b5f8e88547,feaf97593218841e72ff5d1a10090e36969c05e49ae428d794ee61ee60086b7e,3864.0,1560.0
desolano,False,desolare,to sadden/devastate,verb,they sadden/devastate,"emotion,verb",,3p,,plural,indicative,present,False,False,False,,,,,,I bombardamenti desolano le campagne.,The bombings devastate the countryside.,80f31c60df615ba2a867e52914709e31775a37e6e82e486e7f77727c35d2bfe3,63b1f403bfa9d5066849fb8caa111ddb53c072fb8a8a3d1f2ad3971adb1bc9d1,2736.0,1536.0
desolavo,False,desolare,to sadden/devastate,verb,I was saddening/devastating,"emotion,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Da giovane desolavo gli amici con drammi inutili.,As a young person I was saddening my friends with useless drama.,d687374705bdd563600260e712b5ada273a2450c52ce75980c0ef4ee112b8e4b,62a192adaf019f888a3fed8391ca69b94f0d63aaea1c8bda47442de150d56699,2952.0,1584.0
desolavi,False,desolare,to sadden/devastate,verb,you were saddening/devastating,"emotion,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu desolavi tua madre con i ritardi.,You were saddening your mother with the delays.,7041efaf9cbac7ecd2d03928e2f1e31666555ab7caf2c3c8ba1bba7ab1c59d53,a6b71519607ca208778495760662e335ca1560c6046b451195d8af242730c426,3000.0,1560.0
desolava,False,desolare,to sadden/devastate,verb,he was saddening/devastating/she was saddening/devastating/you (formal) were saddening/devastating,"emotion,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',La siccità desolava i campi.,The drought was devastating the fields.,f31040db06b55a4cedd9d92debb4773db4ec7e8c73068807af55e1bb3307409f,877b8c055f32a38bc55591544bcd861e906077d804e092199ebd806898dc76d9,9768.0,1536.0
desolavamo,False,desolare,to sadden/devastate,verb,we were saddening/devastating,"emotion,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Desolavamo il pubblico con discorsi lunghi.,We were saddening the audience with long speeches.,d61c61022a24de40fb5591b5347c92273c47a6f5abdd8381e6f9a102e96156c4,2b8ae2458d4b86e15775351fdb10dd2cb6784a4817ceac060161357ab723f3d9,3000.0,1704.0
desolavate,False,desolare,to sadden/devastate,verb,you (plural) were saddening/devastating,"emotion,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi desolavate tutti in ufficio.,You were saddening everyone at the office.,679c432b83d935289292e5cb9f2bdf723b964c8dc0eae2dc5e1e2db2a504d2b5,f6fe4775dc133149692655a261e0d75edefaf00138ab9ac1c9c09b805555d94d,4128.0,1704.0
desolavano,False,desolare,to sadden/devastate,verb,they were saddening/devastating,"emotion,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Le guerre desolavano la regione.,Wars were devastating the region.,9eeab194b47f34d6fa79a8407a6ccb813a5feb7d2e1b812084c52c0d608dd370,67de836c9315516d9611a64d69c2cd7b36313ee220302a041b8672ecd884c9ea,3000.0,1680.0
ho desolato,False,desolare,to sadden/devastate,verb,I have saddened/devastated,"emotion,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle desolato,Ho desolato il team con quella mail.,I have saddened the team with that email.,bd936ee761ae90517890590891aecbdeafc78b0ce719e24aedb6f724a44f1e4d,1db17d52727615937e54c9286dfe1ccca5da1b0654ae66b70a7dcaa15f0debba,2904.0,1680.0
hai desolato,False,desolare,to sadden/devastate,verb,you have saddened/devastated,"emotion,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle desolato,Hai desolato tuo padre con le parole.,You have saddened your father with the words.,89c13ecfaf58d36afd9a0b05f920c01c0ed91c838c3079a71ba503b03cb0d077,e204b5cc431e0bbd59e4c10ca6549b3e5b48a725c8287b935d89768c14893449,2952.0,1752.0
ha desolato,False,desolare,to sadden/devastate,verb,he has saddened/devastated/she has saddened/devastated/you (formal) have saddened/devastated,"emotion,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle desolato; also used as formal 'Lei',Ha desolato la comunità con la sua scelta.,He has devastated the community with his choice.,8f4bea9272663684d8159bbdb819f6345fa4402dabb74c639ddbac0763a642d6,15850c2a6aee85cd738458fd1b6b04eb34d89a0de7ca62770f8925303d75a6aa,9576.0,1704.0
abbiamo desolato,False,desolare,to sadden/devastate,verb,we have saddened/devastated,"emotion,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle desolato,Abbiamo desolato il pubblico con la notizia.,We have saddened the audience with the news.,8face16aaa9fadee374a880cd21d617182eef0cfb83a364c00e396f60d255b35,69f93f64d0df0384836608b0305a2741e8e1962b512fafbf23e2b8d5e7d25eab,2928.0,2088.0
avete desolato,False,desolare,to sadden/devastate,verb,you (plural) have saddened/devastated,"emotion,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle desolato,Avete desolato i bambini.,You (plural) have saddened the children.,f1c4d15693356726bb16cc53d7b04709aaffb8ecbae5a15796d519d3bb47d970,6af097ec6cdddb8ba8b1b5e6b6b58a4850ddb8e5aac49e77ecf5b895b995d0ce,4080.0,1992.0
hanno desolato,False,desolare,to sadden/devastate,verb,they have saddened/devastated,"emotion,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle desolato,Hanno desolato il quartiere.,They have devastated the neighborhood.,c19f42f461a8ee38f13643823eacce3357d1bb46fb84ac537b25f9700465c753,a45ad2b73206b69fc690127b5732e7c68e176d95354b3a08c813425412c81420,2952.0,1872.0
