term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,pronunciation
davamo,False,dare,to give,verb,we were giving,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,regular imperfect,Noi davamo regali ogni Natale.,We used to give gifts every Christmas.,dah-VAH-moh
davate,False,dare,to give,verb,you (plural) were giving,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,regular imperfect,Voi davate consigli spesso.,You used to give advice often.,dah-VAH-teh
davano,False,dare,to give,verb,they were giving,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,regular imperfect,Loro davano tutto per scontato.,They took everything for granted.,dah-VAH-noh
ho dato,False,dare,to give,verb,I have given,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Ho dato il libro.,I have given the book.,OH DAH-toh
hai dato,False,dare,to give,verb,you have given,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Hai dato la risposta.,You have given the answer.,AHEE DAH-toh
ha dato,False,dare,to give,verb,he has given/she has given/you (formal) have given,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; also used as formal 'Lei',Ha dato il consenso.,He has given consent.,AH DAH-toh
abbiamo dato,False,dare,to give,verb,we have given,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Abbiamo dato il meglio.,We have given our best.,ahb-BEEAH-moh DAH-toh
avete dato,False,dare,to give,verb,you (plural) have given,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Avete dato l'indirizzo.,You have given the address.,ah-VEH-teh DAH-toh
hanno dato,False,dare,to give,verb,they have given,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Hanno dato i soldi.,They have given the money.,AHN-noh DAH-toh
diedi,False,dare,to give,verb,I gave,"core,verb",,1s,,singular,indicative,passato remoto,False,False,False,,,,,passato remoto; literary/dated,Io diedi il libro l'anno scorso.,I gave the book last year.,DEEEH-dee
desti,False,dare,to give,verb,you gave,"core,verb",,2s,,singular,indicative,passato remoto,False,False,False,,,,,passato remoto,Tu desti una risposta secca.,You gave a blunt answer.,DEH-stee
diede,False,dare,to give,verb,he gave/she gave/you (formal) gave,"core,verb",,3s,,singular,indicative,passato remoto,False,False,False,,,,,passato remoto; literary/dated,Gli diede il libro.,He gave him the book.,DEEEH-deh
demmo,False,dare,to give,verb,we gave,"core,verb",,1p,,plural,indicative,passato remoto,False,False,False,,,,,passato remoto,Noi demmo la nostra parola.,We gave our word.,DEHM-moh
deste,False,dare,to give,verb,you (plural) gave,"core,verb",,2p,,plural,indicative,passato remoto,False,False,False,,,,,passato remoto,Voi deste il benvenuto agli ospiti.,You welcomed the guests.,DEH-steh
diedero,False,dare,to give,verb,they gave,"core,verb",,3p,,plural,indicative,passato remoto,False,False,False,,,,,passato remoto,Loro diedero il meglio di sé.,They gave their best.,deeeh-DEH-roh
