term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
davo,False,dare,to give,verb,I was giving,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io davo una mano ogni giorno.,I was giving a hand every day.,e1ab8a6337216aa3937a860505e966af59a8a7e164a02c1cd0fbb28cc64aa34e,c2d9190a40f2802c7dd22cf85bca81f3a87e2a88bbf51e1f28ca48f96f23bec5,1344.0,1248.0
davi,False,dare,to give,verb,you were giving,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu davi troppa fiducia.,You were giving too much trust.,68e631b81d7c325e357fc5fdfb8910635a5faa00e9310f633ad397b77643cf85,a3717b1d53314c57d46068d1acc07ef6bda15707dec380922cc6054a872cecd0,1368.0,1224.0
dava,False,dare,to give,verb,he was giving/she was giving/you (formal) were giving,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei dava sempre buoni consigli.,She was always giving good advice.,ffc842ed5255e754173c85c090e679eeeebf7b226438017f1463d4a53af91ed7,60ac864a980b277ce38b5c3e0b19eaf4ee1ff139afd6495e9d38f022bef4e5f4,5040.0,1248.0
davamo,False,dare,to give,verb,we were giving,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi davamo il massimo.,We were giving our best.,1a4d334f637c5e3834be3a5c685a28e7ac7ed5decc7f1e9291772d21a3ebb6dc,ec0450f8cf5f1f513b2d175dd90c72b58cbec72ac95b7d1532fdb57b1a6d80b5,1368.0,1392.0
davate,False,dare,to give,verb,you (plural) were giving,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi davate tutto.,You were giving everything.,ed8464300cb5d80f21c6c04220f375880cb706d6f592059520f7e60c0d7f8951,a0e1173ec38548e3b0daf820f6f3440f2e66815e268da34d2d0cc3dab92ff368,2472.0,1392.0
davano,False,dare,to give,verb,they were giving,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro davano soldi in beneficenza.,They were giving money to charity.,9c5252784a753c8279a480239457e273acd2a49d9403764273c3b09bf7d15345,601bee007e3495c60d38234a9513be95905c229c59759a26d9de2cf6cceb3c2b,1368.0,1392.0
ho dato,False,dare,to give,verb,I have given,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Ho dato la chiave a Luca.,I have given the key to Luca.,5218716e9d6e3d9c79a75bec82c35223280d6a98cefe5102a637fdc2a1bf82be,a7cab3a0571d99f9908bcb2191d71bd394b22d4efa851bcb301defdcc7016633,1296.0,1320.0
hai dato,False,dare,to give,verb,you have given,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Hai dato tutto oggi.,You have given everything today.,be114d8ee50eb39b14606d44e473826f7c40d4dfe14bdf39002788a8bebeea59,5a120d83cee581282444c6578c48f5f6c5fea159674b900a5957b78d4f654633,1344.0,1392.0
ha dato,False,dare,to give,verb,he has given/she has given/you (formal) have given,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; also used as formal 'Lei',Ha dato una risposta chiara.,He has given a clear answer.,8ef6938efa767d0b5e9b1106037dca57dc15ba1c7b654bb0b8eecd34d9acdfad,29dde84d1ddf71bb16e7553168ef621bdcbe9d0dff51aa028df4a7d32d853379,4992.0,1320.0
abbiamo dato,False,dare,to give,verb,we have given,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Abbiamo dato il nostro meglio.,We have given our best.,888ff52a90cba40b9418d184d89713380772d6950a2ce6dc65a19737dd352001,25b86688f1cb8cdf06e70dfad427a8358f2db5e9705f838d0e43fa9f042039cd,1344.0,1728.0
avete dato,False,dare,to give,verb,you (plural) have given,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Avete dato i documenti?,Have you given the documents?,89d5fc4d4a1235953403f734fc1798240ea0a6e5323acd67c412d898bfb99438,76215109f511826493202c3d52b9381962a86b0543c41071ebbc084b423aca74,2448.0,1632.0
hanno dato,False,dare,to give,verb,they have given,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'dato',Hanno dato il via al progetto.,They have started the project.,5435cdfd4c225f43b94514cf0cc69f302b79683dbe4c532f81a70446ff822ccc,c2acd4129bfd31b8302c6c973b0dc02f53dc5a57e44331e86a8b8bd3df905dae,1344.0,1536.0
