term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
cominciate,False,cominciare,to start,verb,you (plural) start,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi cominciate presto.,You (plural) start early.,cf1f193febf697a58ee75f367e8b005272cff1224667880e1185801046d17774,d7c06df9f62f95813cbcfc8f21d215089df75c0052b4927686dcbc66e6190537,2424.0,1632.0,koh-meen-CHYAH-teh
cominciano,False,cominciare,to start,verb,they start,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro cominciano la partita.,They start the match.,8526d364ae82c5d3e4d9fff84b782e8eb7aebfa9deafa8b53a6bd83f1c8c9c38,e0c523bb11a49b3a144d8392c990f3dcf4271fbde93afef17e284e1de33449f5,1296.0,1536.0,koh-meen-CHYAH-noh
cominciavo,False,cominciare,to start,verb,I was starting,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io cominciavo a studiare.,I was starting to study.,0f86134b7600dc5286361ee2f082c66e91cc46df19ae39b94622fdcb89c7f6f3,9d4d54980fa166b21d43262a0e4c96860aab4e0b6c128ba573e8c87760995ac8,1440.0,1632.0,koh-meen-CHYAH-voh
cominciavi,False,cominciare,to start,verb,you were starting,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu cominciavi sempre tardi.,You were starting late.,a4d358e43e9d333c628ca12c872091fef8e6a96bea9a7344b7008e0ac4207698,dd5b35600e8c229be7883df24f6b01cbd9ab33e1e016f002d7a6122559dd52bc,1464.0,1608.0,koh-meen-CHYAH-vee
cominciava,False,cominciare,to start,verb,he was starting/she was starting/you (formal) were starting,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei cominciava a piangere.,She was starting to cry.,4cdbfd31cc69d8451d58e24a6c4c5a1e2f117556d4aba93d46b7fdeded1378d1,a473a44027174ee9d2d4a992a7a69f3f8bb82f2f42ef2eb69e52c11285996e09,5184.0,1608.0,koh-meen-CHYAH-vah
cominciavamo,False,cominciare,to start,verb,we were starting,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi cominciavamo alle otto.,We were starting at eight.,1a8d0df62f4139f123ebfefcb1904c2760a1cc3d05b50011b353ab67a3c0925c,c216cae855823a6b8e088437ebadede1d6c7e9b8ebef77bbda3c88120ffd0f7d,1488.0,1752.0,koh-meen-chyah-VAH-moh
cominciavate,False,cominciare,to start,verb,you (plural) were starting,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi cominciavate piano.,You (plural) were starting slowly.,d852c1e4b637acd1047453a385c6226326689f10f166efd9ed150bd94c9617df,fb91cd72dfcba82affbd84d3336bd76fe7f492badf05292155c3ffd57e5625f7,2568.0,1752.0,koh-meen-chyah-VAH-teh
cominciavano,False,cominciare,to start,verb,they were starting,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro cominciavano a ridere.,They were starting to laugh.,4a9ed13212f3dc5e9277a43f54c7468c86fb1e4d0e79866b6850b057bc7db178,4e74ff753bdadaf92da2f6ab41c0228c138915bcaa6431982eb0cfcd99945cda,1488.0,1752.0,koh-meen-chyah-VAH-noh
ho cominciato,False,cominciare,to start,verb,I have started,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; intransitive also uses essere,Ho cominciato a lavorare.,I have started to work.,8c377a0e12c4b58a7098b1252fc1a2616785a71dc159c13855006877744b9c13,268b62023b0fdde5fa73b411fdd43d1ab5ad539fe84e23eb5b77887be8b8d59f,1368.0,1752.0,OH koh-meen-CHYAH-toh
hai cominciato,False,cominciare,to start,verb,you have started,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; intransitive also uses essere,Hai cominciato il libro?,Have you started the book?,401eebcc767c882f3309f52544faac807ad67840e6f30a69def39514c0c8a7f2,34a979f328e6afff229303f404287f186b8b83612e60f3295b00f5c604935a5c,1416.0,1800.0,EYE koh-meen-CHYAH-toh
ha cominciato,False,cominciare,to start,verb,he has started/she has started/you (formal) have started,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; intransitive also uses essere; also used as formal 'Lei',Ha cominciato a parlare.,He has started to speak.,0bd3f60f6ddf18e57efd0f8102b0814eee994c70909a28672806117100a3b6d2,68d4bd9c6317b3f41ef82f8bc7a7532ce1027f887a9181d44fcc2580ee4b48f4,5112.0,1776.0,AH koh-meen-CHYAH-toh
abbiamo cominciato,False,cominciare,to start,verb,we have started,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; intransitive also uses essere,Abbiamo cominciato tardi.,We have started late.,80207480a02158e3631aceffaacda05cfabf3aff5fd60d375e36a74fb454bba3,9ac5111ef54a2b27957e81b16da22b8e819800737482438348154d2eec38d1f6,1416.0,2160.0,ahb-BYAH-moh koh-meen-CHYAH-toh
avete cominciato,False,cominciare,to start,verb,you (plural) have started,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; intransitive also uses essere,Avete cominciato il corso.,You (plural) have started the course.,c8e5d1d1e1d358f8914515d6966052088bfb016e5148b173fcb6010c16181607,f863fc5f939b29b5f4525b54382dfbf7f31c02cc5b4f5806afa2c56d827fb98b,2496.0,2064.0,ah-VEH-teh koh-meen-CHYAH-toh
hanno cominciato,False,cominciare,to start,verb,they have started,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; intransitive also uses essere,Hanno cominciato la riunione.,They have started the meeting.,e515320e35151191f79650a6234d9907106469d2e94329c7966e30ed7202474e,6c09c7e60f42d1f852c6963283b6ec3e8372eccba7422ed9ce3a9619c7163d1e,1416.0,1968.0,AHN-noh koh-meen-CHYAH-toh
